,0,1,2,3
0,Donald G. Mitchell,"Youth is in a grand flush, like the hot days of ending summer; and pleasant dreams thrall your spirit, like the smoky atmosphere that bathes the landscape of an August day.","[dreams, day, youth]",age
1,Holbrook Jackson,No man is ever old enough to know better.,"[man, know, better]",age
2,Paulina Porizkova,"My first recognition of age setting in was exactly on my 36th birthday. I have no idea why, on this day of all days, I looked in the mirror and realized my face no longer looked young.","[birthday, day, mirror]",age
3,Helen Gurley Brown,"After you're older, two things are possibly more important than any others: health and money.","[money, health, important]",age
4,Harold Coffin,Middle age is the awkward period when Father Time starts catching up with Mother Nature.,"[time, nature, father]",age
5,Hume Cronyn,The whole business of marshaling one's energies becomes more and more important as one grows older.,"[business, important, older]",age
6,Sarah Orne Jewett,"When I was as you are now, towering in the confidence of twenty-one, little did I suspect that I should be at forty-nine, what I now am.","[confidence, you, now]",age
7,Robert Quillen,"As we grow older, our bodies get shorter and our anecdotes longer.","[grow, older, get]",age
8,Samuel Ullman,"Nobody grows old merely by living a number of years. We grow old by deserting our ideals. Years may wrinkle the skin, but to give up enthusiasm wrinkles the soul.","[soul, living, enthusiasm]",age
9,Bob Wells,"The tendency of old age to the body, say the physiologists, is to form bone. It is as rare as it is pleasant to meet with an old man whose opinions are not ossified.","[man, old age, body]",age
10,Ira Gershwin,"Old age adds to the respect due to virtue, but it takes nothing from the contempt inspired by vice; it whitens only the hair.","[respect, old age, hair]",age
11,Alan Bleasdale,"To resist the frigidity of old age, one must combine the body, the mind, and the heart. And to keep these in parallel vigor one must exercise, study, and love.","[love, heart, mind]",age
