,0,1,2,3
0,Helen Keller,Walking with a friend in the dark is better than walking alone in the light.,"[friendship, light, walking]",alone
1,Taylor Caldwell,Don't let the past steal your present. This is the message of Christmas: We are never alone.,"[christmas, past, present]",alone
2,Anthony Burgess,"Laugh and the world laughs with you, snore and you sleep alone.","[funny, sleep, world]",alone
3,Audrey Hepburn,"For beautiful eyes, look for the good in others; for beautiful lips, speak only words of kindness; and for poise, walk with the knowledge that you are never alone.","[wisdom, kindness, knowledge]",alone
4,Douglas Coupland,The time you feel lonely is the time you most need to be by yourself.,"[time, yourself, lonely]",alone
5,Orson Welles,"We're born alone, we live alone, we die alone. Only through our love and friendship can we create the illusion for the moment that we're not alone.","[love, friendship, moment]",alone
6,Calvin Coolidge,Nothing in this world can take the place of persistence. Talent will not: nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not: the world is full of educated derelicts. Persistence and determination alone are omnipotent.,"[education, failure]",alone
7,Anne Frank,"The best remedy for those who are afraid, lonely or unhappy is to go outside, somewhere where they can be quiet, alone with the heavens, nature and God. Because only then does one feel that all is as it should be.","[best, nature, god]",alone
8,Chantal Kreviazuk,"I'm learning a lot about myself being alone, and doing what I'm doing.","[learning, myself]",alone
9,Henry Rollins,Loneliness adds beauty to life. It puts a special burn on sunsets and makes night air smell better.,"[life, beauty, loneliness]",alone
10,Harvey Mackay,"None of us got to where we are alone. Whether the assistance we received was obvious or subtle, acknowledging someone's help is a big part of understanding the importance of saying thank you.","[thankful, thank you, help]",alone
11,Paul Tillich,Loneliness expresses the pain of being alone and solitude expresses the glory of being alone.,"[loneliness, pain]",alone
12,Thomas Merton,Love is our true destiny. We do not find the meaning of life by ourselves alone - we find it with another.,"[life, love, love is]",alone
13,Conor Oberst,When everything is lonely I can be my best friend.,"[best, best friend, lonely]",alone
14,Anne Hathaway,Loneliness is my least favorite thing about life. The thing that I'm most worried about is just being alone without anybody to care for or someone who will care for me.,"[life, loneliness]",alone
15,Marilyn Monroe,It's better to be unhappy alone than unhappy with someone - so far.,"[unhappy, someone, better]",alone
16,Swami Vivekananda,"Take up one idea. Make that one idea your life - think of it, dream of it, live on that idea. Let the brain, muscles, nerves, every part of your body, be full of that idea, and just leave every other idea alone. This is the way to success.","[life, success, brain]",alone
17,B. R. Ambedkar,"Unlike a drop of water which loses its identity when it joins the ocean, man does not lose his being in the society in which he lives. Man's life is independent. He is born not for the development of the society alone, but for the development of his self.","[life, water, society]",alone
18,A. P. J. Abdul Kalam,Look at the sky. We are not alone. The whole universe is friendly to us and conspires only to give the best to those who dream and work.,"[best, work, sky]",alone
19,Robin Williams,I used to think that the worst thing in life was to end up alone. It's not. The worst thing in life is to end up with people who make you feel alone.,"[life, end, people]",alone
20,Helen Keller,Alone we can do so little; together we can do so much.,"[together, much, little]",alone
21,Johann Wolfgang von Goethe,The soul that sees beauty may sometimes walk alone.,"[beauty, soul, walk]",alone
22,James A. Garfield,Man cannot live by bread alone; he must have peanut butter.,"[funny, man, live]",alone
23,George Washington,"It is far better to be alone, than to be in bad company.","[company, better, bad]",alone
24,Celine Dion,"Some people can't stand being alone. I love solitude and silence. But when I come out of it, I'm a regular talking machine. It's all or nothing for me.","[love, silence, being alone]",alone
25,Justin Timberlake,The best part about being alone is that you really don't have to answer to anybody. You do what you want.,"[best, being alone, want]",alone
