,0,1,2,3
0,Joel Osteen,"Christmas is the perfect time to celebrate the love of God and family and to create memories that will last forever. Jesus is God's perfect, indescribable gift. The amazing thing is that not only are we able to receive this gift, but we are able to share it with others on Christmas and every other day of the year.","[christmas, love, family]",amazing
1,Jake Owen,"I was given such a great gift. It's a miracle that never stops amazing me and reminding me to give thanks, every day. Having a wife and daughter gives me a lot more purpose. I was much more selfish before, but now I think about what kind of role model I'll be. I just want to be a better man.","[thankful, great, daughter]",amazing
2,Josie Loren,"God has blessed me with an amazing family, friends and work colleagues that have been my joy, my support, and my sanity. I don't know what I'd do without them.","[family, work, god]",amazing
3,Conan O'Brien,"Work hard, be kind, and amazing things will happen.","[work, work hard, be kind]",amazing
4,Tiger Woods,"My dad was my best friend and greatest role model. He was an amazing dad, coach, mentor, soldier, husband and friend.","[best, dad, greatest]",amazing
5,e. e. cummings,"I thank you God for this most amazing day, for the leaping greenly spirits of trees, and for the blue dream of sky and for everything which is natural, which is infinite, which is yes.","[inspirational, god, sky]",amazing
6,Zig Ziglar,Isn't it amazing how much stuff we get done the day before vacation?,"[day, vacation, done]",amazing
7,Edward Abbey,"May your trails be crooked, winding, lonesome, dangerous, leading to the most amazing view. May your mountains rise into and above the clouds.","[nature, mountains, clouds]",amazing
8,Harry S Truman,It is amazing what you can accomplish if you do not care who gets the credit.,"[care, accomplish, credit]",amazing
9,Felicia Day,"Social media is an amazing tool, but it's really the face-to-face interaction that makes a long-term impact.","[social media, media, impact]",amazing
10,Sam Walton,"Outstanding leaders go out of their way to boost the self-esteem of their personnel. If people believe in themselves, it's amazing what they can accomplish.","[leadership, believe, people]",amazing
11,Tim Tebow,I'm not perfect. And who knows how many times I've fallen short. We all fall short. That's the amazing thing about the grace of God.,"[god, grace, not perfect]",amazing
12,Jerry Seinfeld,It's amazing that the amount of news that happens in the world every day always just exactly fits the newspaper.,"[funny, day, world]",amazing
13,Jamie Oliver,"What I've enjoyed most, though, is meeting people who have a real interest in food and sharing ideas with them. Good food is a global thing and I find that there is always something new and amazing to learn - I love it!","[love, food, good]",amazing
14,Kourtney Kardashian,"Motherhood has most definitely changed me and my life. It's so crazy how drastic even the small details change - in such an amazing way. Even silly things, like the fact that all of my pictures on my cell phone used to be of me at photo shoots - conceited, I know! - but now every single picture on my phone is of Mason.","[life, change, small]",amazing
15,Lea Michele,"Growing up in New York has influenced my style so much, and I have an amazing relationship with my stylist, Estee Stanley. We have so much fun with the whole process. She picks out dresses, I try things on and play dress up, and we get creative to see what works.","[relationship, fun, style]",amazing
16,Bill Burr,"Did you ever spell a word so bad that your spell check has absolutely no clue what you're trying to spell? What do you end up getting, you end up getting, like, a question mark. You got a million dollars of technology just looking back at you like, 'You got me, buddy. Which is pretty amazing because I have all the words.'","[technology, end, words]",amazing
17,Vin Diesel,The video game culture was an important thing to keep alive in the film because we're in a new era right now. The idea that kids can play video games like Grand Theft Auto or any video game is amazing. The video games are one step before a whole other virtual universe.,"[culture, video games]",amazing
18,Joe Namath,"When you have confidence, you can have a lot of fun. And when you have fun, you can do amazing things.","[confidence, fun, you]",amazing
19,Steve Kerr,"Despite the amazing diversity we're blessed with in this country, schools are still in large part segregated because of economic disparity. Sports are one of the few areas where kids are really given the opportunity to interact with those of different races and religions.","[sports, diversity, blessed]",amazing
20,Steve Jobs,"Part of what made the Macintosh great was that the people working on it were musicians, poets, and artists, and zoologists, and historians. They also happened to be the best computer scientists in the world. But if it hadn't been computer science, these people would have been doing amazing things in other fields.","[best, science, great]",amazing
21,Justin Verlander,"For me, seeing the progression of video games and consoles - whether it be PlayStation, Xbox, or whatever - I think just seeing how good they've gotten from the days when I first started playing is just amazing.","[good, video games, me]",amazing
22,Geri Halliwell,"The truth sets you free. It's a very liberating thing, when you say this is who I am warts and all and then you can just get on with life. It's amazing.","[life, truth, i am]",amazing
23,Mary-Kate Olsen,"I love getting amazing jackets, because you can wear your pajamas underneath and everyone's like, 'Oh, fabulous jacket,' and I'm like, 'You should see what's underneath!'","[love, see, pajamas]",amazing
24,Stephenie Meyer,"With 'The Host,' I think the actors could be really big names. That would be cool. I'd love to see Robert Redford put on a beard and be Jeb; he would be amazing... Matt Damon has some very Jared-esque qualities, and then Casey Affleck as Ian and Ben Affleck as Kyle. Imagine the interplay.","[love, cool, beard]",amazing
25,Emma Roberts,"I love vintage shopping, I think it's really fun. And I love the feeling of finding the most amazing piece for less.","[love, fun, shopping]",amazing
