,0,1,2,3
0,William Hurt,"But I am not going to live for ever. And the more I know it, the more amazed I am by being here at all.","[i am, live, know]",amazing
1,Michael Bolton,"Considering the amount of information we're bombarded by, it's amazing if a song can transcend time.","[time, information, song]",amazing
2,Carol Alt,Elle MacPherson is absolutely amazing; she is just so beautiful.,"[beautiful, she, absolutely]",amazing
3,Chris O'Donnell,It's the most amazing feeling to hold your child in your arms.,"[child, feeling, hold]",amazing
4,Corin Nemec,Emmanuel Lewis was amazing to work with. I'll love that guy to the end of time.,"[love, work, time]",amazing
5,Deborah Norville,"When you're true to who you are, amazing things happen.","[things happen, happen, true]",amazing
6,Joe Lando,I'm the poster boy for Propecia. It's amazing.,"[boy, poster, poster boy]",amazing
7,Peter Andre,It's amazing how stress keeps you trim.,"[stress, you, how]",amazing
8,Mac Davis,It's pretty amazing to me that my first hit record was an Elvis Presley record.,"[me, pretty, first]",amazing
9,Rima Fakih,My family is just an amazing melting pot of wonderful religions and faiths.,"[family, religions, wonderful]",amazing
10,Edwin Land,"If you dream of something worth doing and then simply go to work on it and don't think anything of personalities, or emotional conflicts, or of money, or of family distractions; it is amazing how quickly you get through those 5,000 steps.","[family, work, money]",amazing
11,Jamie Luner,It's amazing the hours you pull when you're the lead of a show.,"[you, hours, lead]",amazing
