,0,1,2,3
0,Henri Nouwen,"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come.","[life, positive, love]",anger
1,Joel Osteen,"Every day we have plenty of opportunities to get angry, stressed or offended. But what you're doing when you indulge these negative emotions is giving something outside yourself power over your happiness. You can choose to not let little things upset you.","[happiness, power, giving]",anger
2,Buddha,"You will not be punished for your anger, you will be punished by your anger.","[you, will, your]",anger
3,Taylor Swift,"Red is such an interesting color to correlate with emotion, because it's on both ends of the spectrum. On one end you have happiness, falling in love, infatuation with someone, passion, all that. On the other end, you've got obsession, jealousy, danger, fear, anger and frustration.","[love, happiness, fear]",anger
4,Ralph Waldo Emerson,"For every minute you remain angry, you give up sixty seconds of peace of mind.","[peace, mind, peace of mind]",anger
5,Laurence J. Peter,Speak when you are angry - and you'll make the best speech you'll ever regret.,"[best, regret, speak]",anger
6,Josh Billings,Silence is one of the hardest arguments to refute.,"[silence, hardest, refute]",anger
7,Christopher Morley,A man who has never made a woman angry is a failure in life.,"[life, failure, woman]",anger
8,Kevin Bacon,"I really believe that all of us have a lot of darkness in our souls. Anger, rage, fear, sadness. I don't think that's only reserved for people who have horrible upbringings. I think it really exists and is part of the human condition. I think in the course of your life you figure out ways to deal with that.","[life, fear, sad]",anger
9,Regina Brett,"Some days, 24 hours is too much to stay put in, so I take the day hour by hour, moment by moment. I break the task, the challenge, the fear into small, bite-size pieces. I can handle a piece of fear, depression, anger, pain, sadness, loneliness, illness. I actually put my hands up to my face, one next to each eye, like blinders on a horse.","[fear, horse, day]",anger
10,Douglas Horton,"While seeking revenge, dig two graves - one for yourself.","[revenge, yourself, dig]",anger
11,Aristotle,"Anybody can become angry - that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way - that is not within everybody's power and is not easy.","[time, power, purpose]",anger
12,Buddha,Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else; you are the one who gets burned.,"[someone, you, coal]",anger
13,Thomas Jefferson,"When angry count to ten before you speak. If very angry, count to one hundred.","[speak, angry, you]",anger
14,Sylvester Stallone,"There's a natural law of karma that vindictive people, who go out of their way to hurt others, will end up broke and alone.","[alone, end, karma]",anger
15,Mahatma Gandhi,Anger is the enemy of non-violence and pride is a monster that swallows it up.,"[pride, enemy, monster]",anger
16,William Arthur Ward,It is wise to direct your anger towards problems - not people; to focus your energies on answers - not excuses.,"[focus, wise, excuses]",anger
17,Mahatma Gandhi,Anger and intolerance are the enemies of correct understanding.,"[understanding, intolerance]",anger
18,Stephen Hawking,People won't have time for you if you are always angry or complaining.,"[time, people, angry]",anger
19,William Congreve,"Heaven has no rage like love to hatred turned, nor hell a fury like a woman scorned.","[love, woman, hell]",anger
20,Dalai Lama,"Appearance is something absolute, but reality is not that way - everything is interdependent, not absolute. So that view is very helpful to maintain a peace of mind because the main destroyer of a peaceful mind is anger.","[peace, mind, reality]",anger
21,Confucius,"When anger rises, think of the consequences.","[consequences, think, rises]",anger
22,Petrarch,"Five enemies of peace inhabit with us - avarice, ambition, envy, anger, and pride; if these were to be banished, we should infallibly enjoy perpetual peace.","[peace, pride, ambition]",anger
23,Booker T. Washington,I shall allow no man to belittle my soul by making me hate him.,"[hate, soul, man]",anger
24,Kurt Cobain,"My body is damaged from music in two ways. I have a red irritation in my stomach. It's psychosomatic, caused by all the anger and the screaming. I have scoliosis, where the curvature of your spine is bent, and the weight of my guitar has made it worse. I'm always in pain, and that adds to the anger in our music.","[music, pain, red]",anger
25,Isaac Asimov,Violence is the last refuge of the incompetent.,"[violence, incompetent]",anger
