,0,1,2,3
0,Booth Tarkington,Arguments only confirm people in their own opinions.,"[people, opinions, own]",anger
1,Matthew Stover,"There's a reason why anger, fear, and hatred are paths to the dark side: they all spring from a single source - the same source as a certain flavor of love. A dangerously sweet, addictive flavor.","[love, fear, dark]",anger
2,Nagarjuna,"Although you may spend your life killing, You will not exhaust all your foes. But if you quell your own anger, your real enemy will be slain.","[life, enemy, you]",anger
3,Drew Fuller,"All I do is have fun. When I'm not working, it's about making people laugh. I love making jokes about things. Even when someone's mad at me, I'll deflect anger with humor. My days are filled with laughter. If I'm not laughing, I'm not happy.","[love, happy, laughter]",anger
4,Nancy Garden,"My writing books with positive gay characters has come more out of anger than anything else: anger at not having been able to find honest, accurate books about people like myself as a teen, books that show we're as diverse as straight people and that we can lead happy, healthy, productive lives just as straight people can.","[positive, happy, myself]",anger
5,Alan Bleasdale,"There is not in nature, a thing that makes man so deformed, so beastly, as doth intemperate anger.","[nature, man, makes]",anger
6,Horace Silver,"I personally do not believe in politics, hatred, or anger in my musical composition.","[politics, believe, hatred]",anger
7,Thylias Moss,"Anger becomes limiting, restricting. You can't see through it. While anger is there, look at that, too. But after a while, you have to look at something else.","[look, see, you]",anger
8,"George Savile, 1st Marquess of Halifax","Anger is never without an argument, but seldom with a good one.","[good, argument, without]",anger
9,James Knowles III,"I grew up here, and it's always been a very diverse community. So for people to come out and say that there's some long-standing anger or there's a history of racial tension is absolutely ridiculous. There's not a black-white divide in Ferguson.","[history, community, people]",anger
10,Bede Jarrett,The world needs anger. The world often continues to allow evil because it isn't angry enough.,"[evil, world, angry]",anger
11,Nell Hudson,"I think, often, when you are in just a lot of pain, it comes out as anger.","[pain, think, you]",anger
