,0,1,2,3
0,Martin Luther,"There is no more lovely, friendly and charming relationship, communion or company than a good marriage.","[relationship, marriage, good]",anniversary
1,Simone Signoret,"Chains do not hold a marriage together. It is threads, hundreds of tiny threads, which sew people together through the years.","[marriage, together, people]",anniversary
2,Mitt Romney,"Mom and Dad were married 64 years. And if you wondered what their secret was, you could have asked the local florist - because every day Dad gave Mom a rose, which he put on her bedside table. That's how she found out what happened on the day my father died - she went looking for him because that morning, there was no rose.","[morning, father, mom]",anniversary
3,Julia Child,The secret of a happy marriage is finding the right person. You know they're right if you love to be with them all the time.,"[love, time, marriage]",anniversary
4,Pope John Paul II,"Marriage is an act of will that signifies and involves a mutual gift, which unites the spouses and binds them to their eventual souls, with whom they make up a sole family - a domestic church.","[family, marriage, gift]",anniversary
5,Paul Sweeney,"A wedding anniversary is the celebration of love, trust, partnership, tolerance and tenacity. The order varies for any given year.","[love, trust, wedding]",anniversary
6,Robert A. Heinlein,May you live as long as you wish and love as long as you live.,"[love, live, wish]",anniversary
7,Zane Grey,"Love grows more tremendously full, swift, poignant, as the years multiply.","[love, more, years]",anniversary
8,Jonathan Swift,May you live all the days of your life.,"[life, live, you]",anniversary
9,Barbara Hershey,"Yes, it was love at first sight. I feel that after all these years, I have finally found my soul mate.","[love, soul, feel]",anniversary
10,Doug Larson,More marriages might survive if the partners realized that sometimes the better comes after the worse.,"[better, sometimes, survive]",anniversary
11,Honore de Balzac,One should believe in marriage as in the immortality of the soul.,"[marriage, soul, believe]",anniversary
12,William O. Douglas,"Marriage is a coming together for better or for worse, hopefully enduring, and intimate to the degree of being sacred.","[marriage, together, better]",anniversary
13,Jim Carrey,A lot of good love can happen in ten years.,"[love, good, happen]",anniversary
14,Henny Youngman,"I've been in love with the same woman for forty-one years. If my wife finds out, she'll kill me.","[love, woman, wife]",anniversary
15,Adam Schiff,"Each year on the anniversary of Martin Luther King Jr.'s birth, America has the opportunity to reflect on our nation's progress towards the realization of his dream.","[progress, opportunity]",anniversary
16,Todd Tiahrt,"Next month, I will celebrate my 30th anniversary of marriage with my beautiful bride, Vicki. Our marriage has been a blessing. I have gained even more respect for the institution over the past 3 decades and will defend it against attack.","[marriage, respect, beautiful]",anniversary
17,Henry Lawson,"It is a matter of public shame that while we have now commemorated our hundredth anniversary, not one in every ten children attending Public schools throughout the colonies is acquainted with a single historical fact about Australia.","[children, matter, colonies]",anniversary
18,George Bernard Shaw,"Marriage is an alliance entered into by a man who can't sleep with the window shut, and a woman who can't sleep with the window open.","[marriage, sleep, woman]",anniversary
19,Henny Youngman,"Some people ask the secret of our long marriage. We take time to go to a restaurant two times a week. A little candlelight, dinner, soft music and dancing. She goes Tuesdays, I go Fridays.","[music, time, marriage]",anniversary
20,Katherine Kelly,I always took 'Coronation Street' a year at a time anyway. It was the 50th anniversary; I'd been there five years. It just felt right to leave.,"[time, year, leave]",anniversary
21,Jonathan Swift,Under this window in stormy weather I marry this man and woman together; Let none but Him who rules the thunder Put this man and woman asunder.,"[together, woman, man]",anniversary
22,Marilyn Monroe,"Experts on romance say for a happy marriage there has to be more than a passionate love. For a lasting union, they insist, there must be a genuine liking for each other. Which, in my book, is a good definition for friendship.","[love, friendship, marriage]",anniversary
23,W. Somerset Maugham,"We are not the same persons this year as last; nor are those we love. It is a happy chance if we, changing, continue to love a changed person.","[love, happy, year]",anniversary
24,Mel Gibson,"After about 20 years of marriage, I'm finally starting to scratch the surface of what women want. And I think the answer lies somewhere between conversation and chocolate.","[marriage, women, chocolate]",anniversary
25,Kyle Chandler,"I love the institution of marriage, and I love my marriage.","[love, marriage, institution]",anniversary
