,0,1,2,3
0,Kenny Marchant,"This year, as we celebrate the 230th anniversary of America's independence, please remember the symbols that are sacred to this country. Fly Old Glory high and show your respect and admiration for this great nation and the values we hold dear.","[respect, great, patriotism]",anniversary
1,Shelly-Ann Fraser-Pryce,"I want to tell Jamaica, Happy 50th Anniversary.","[happy, want, tell]",anniversary
2,Mac Thornberry,"The day before the anniversary of D-Day, we lost a man who was equaled by few and surpassed by none as a leader in the cause of freedom: Ronald Reagan.","[freedom, leader, day]",anniversary
3,Uta Hagen,We had a relationship that lasted 44 years. Herbert and I lived together 10 years before we were married. He always gave me a little heart for whatever anniversary.,"[relationship, together]",anniversary
4,Melanie Chisholm,I feel there should have been some recognition of the Spice Girls at this year's 25th anniversary. We flew the flag for Britain around the globe in the 1990s and we achieved a hell of a lot.,"[year, hell, recognition]",anniversary
5,Don Sherwood,The 150th anniversary of Penn State will highlight what is important and good about this distinguished institution and the fine people and research that it produces.,"[good, research, people]",anniversary
6,Leonard Boswell,As the third anniversary of the September 11th attacks draws near we must ensure our nation is prepared to handle the continued threat of violence and terrorism on our country.,"[violence, terrorism, country]",anniversary
7,Jon Porter,"Presently, the Commission for Commemorating 350 Years of American Jewish History has been brought about to encourage and sponsor a variety of historical activities that advance our understanding of the American Jewish experience as it marks this milestone anniversary.","[history, experience]",anniversary
8,Don Shula,"And this year is going to be the 25th anniversary of the 17-0 team, the only undefeated season.","[team, season, year]",anniversary
9,Molly Harper,"I am a disaster magnet. I came home from our first anniversary vacation with jellyfish stings, a puncture wound from a wrought iron pineapple and a cork-shaped bruise in my cleavage.","[home, vacation, i am]",anniversary
10,Tom Stoppard,"My intention still is to write a play to commemorate, possibly rather skeptically, the 50th anniversary of the Russian revolution. I started it at the beginning of 1966, but confronted with the enormous importance and reality of that revolution, I absolutely boggle. I don't know what to do about it.","[beginning, reality]",anniversary
11,Phil Lesh,"Actually, the year anniversary of what you just heard, my son Grahame and I are going to be in a play together, and I'm acting for the first time in front of an audience that doesn't consist of a high school drama class.","[time, together, school]",anniversary
12,Mara Liasson,Both the Obama and Romney campaigns said they pulled all their political ads today in observance of the September 11th anniversary. But politics wasn't very far offstage. The Obama campaign sees foreign policy as an advantage this year.,"[today, politics, political]",anniversary
13,Toni Tennille,"Actually, the year 2000 is our 25th anniversary of doing Captain & Tennille. I can't believe it. It's like, how is this possible?","[believe, year, doing]",anniversary
14,Wale,"I dated a lot, but I never really had anyone who was worthy of an anniversary. And most girlfriends never made it to a year, anyway.","[dating, year, girlfriends]",anniversary
15,H. L. Mencken,"Strike an average between what a woman thinks of her husband a month before she marries him and what she thinks of him a year afterward, and you will have the truth about him.","[truth, woman, year]",anniversary
16,Robert Gottlieb,"In 1998, Vanity Fair asked me to write a big piece for them on the 50th anniversary of the New York City Ballet. My life, to a great extent, had been spent at and with the New York City Ballet, and I decided to try it. It was very scary, writing about something I loved so much and had such strong opinions about.","[life, great, strong]",anniversary
17,Chuck Norris,"Despite what Washington thinks or does on this 15th anniversary, we the people will never forget those who perished and the lessons learned on Sept. 11, 2001.","[people, never forget, forget]",anniversary
18,Tom Brokaw,"In the spring of 1984, I went to the northwest of France, to Normandy, to prepare an NBC documentary on the 40th anniversary of D-Day.","[spring, france, documentary]",anniversary
19,Blake Shelton,"I think you have to be willing to take a bullet for somebody if you're going to stand up there, take your vows, and be married to them for the rest of your life.","[life, stand up, stand]",anniversary
20,Mariella Frostrup,"We invest less in our friendships and expect more of friends than any other relationship. We spend days working out where to book for a romantic dinner, weeks wondering how to celebrate a partner or parent's birthday, and seconds forgetting a friend's important anniversary.","[birthday, relationship]",anniversary
21,Ava DuVernay,"I am honored to be one of this year's Urbanworld ambassadors for the festival's 20th anniversary, joining my friend David Oyelowo. I have always had a special relationship with Urbanworld, back to my days as a festival publicist to previewing my earlier films and now as an ambassador.","[relationship, i am, year]",anniversary
22,Barbra Streisand,Why does a woman work ten years to change a man's habits and then complain that he's not the man she married?,"[change, work, woman]",anniversary
23,Philippe Petit,"Every year, I am conscious of the anniversary of my 1974 World Trade Center walk.","[i am, world, year]",anniversary
24,Elizabeth Esty,We want to take the energy surrounding the Sandy Hook anniversary that might otherwise be consumed by grief or anger - or this week in San Bernardino by fear - and channel some of that to honor our common humanity and love each other.,"[love, fear, anger]",anniversary
25,Gloria Macapagal Arroyo,I was invited by President Bush to come to the United States on the occasion of the 50th anniversary of the mutual defense treaty.,"[treaty, president, mutual]",anniversary
