,0,1,2,3
0,David Allan Coe,It is not the beauty of a building you should look at; its the construction of the foundation that will stand the test of time.,"[time, beauty, foundation]",architecture
1,Julia Morgan,"Architecture is a visual art, and the buildings speak for themselves.","[art, speak, buildings]",architecture
2,Arthur Erickson,"Whenever we witness art in a building, we are aware of an energy contained by it.","[art, building, energy]",architecture
3,Zaha Hadid,"I don't think that architecture is only about shelter, is only about a very simple enclosure. It should be able to excite you, to calm you, to make you think.","[simple, calm, think]",architecture
4,Richard Rogers,"My passion and great enjoyment for architecture, and the reason the older I get the more I enjoy it, is because I believe we - architects - can effect the quality of life of the people.","[life, passion, great]",architecture
5,Antoni Gaudi,Those who look for the laws of Nature as a support for their new works collaborate with the creator.,"[nature, support, look]",architecture
6,Ludwig Mies van der Rohe,Architecture is the will of an epoch translated into space.,"[space, will, epoch]",architecture
7,Coco Chanel,Fashion is architecture: it is a matter of proportions.,"[design, fashion, matter]",architecture
8,Gilbert K. Chesterton,"All architecture is great architecture after sunset; perhaps architecture is really a nocturnal art, like the art of fireworks.","[art, sunset, great]",architecture
9,Winston Churchill,We shape our buildings; thereafter they shape us.,"[buildings, shape, us]",architecture
10,Arthur Erickson,"Rationalism is the enemy of art, though necessary as a basis for architecture.","[art, enemy, though]",architecture
11,Herbert Simon,"Engineering, medicine, business, architecture and painting are concerned not with the necessary but with the contingent - not with how things are but with how they might be - in short, with design.","[business, design]",architecture
12,Frank Lloyd Wright,"Every great architect is - necessarily - a great poet. He must be a great original interpreter of his time, his day, his age.","[time, age, great]",architecture
13,Ludwig Mies van der Rohe,Architecture starts when you carefully put two bricks together. There it begins.,"[together, you, two]",architecture
14,Bob Dylan,"I paint mostly from real life. It has to start with that. Real people, real street scenes, behind the curtain scenes, live models, paintings, photographs, staged setups, architecture, grids, graphic design. Whatever it takes to make it work.","[life, work, design]",architecture
15,John Ruskin,No architecture is so haughty as that which is simple.,"[simple, which, haughty]",architecture
16,Richard Rogers,Form follows profit is the aesthetic principle of our times.,"[profit, principle, aesthetic]",architecture
17,Vitruvius,Nothing requires the architect's care more than the due proportions of buildings.,"[care, nothing, buildings]",architecture
18,Harry Seidler,"Architecture is not an inspirational business, it's a rational procedure to do sensible and hopefully beautiful things; that's all.","[inspirational, business]",architecture
19,Constantin Brancusi,Architecture is inhabited sculpture.,"[sculpture, inhabited]",architecture
20,Alvar Aalto,"Building art is a synthesis of life in materialised form. We should try to bring in under the same hat not a splintered way of thinking, but all in harmony together.","[life, art, together]",architecture
21,Alvar Aalto,"God created paper for the purpose of drawing architecture on it. Everything else is, at least for me, an abuse of paper.","[god, purpose, drawing]",architecture
22,Ludwig Mies van der Rohe,"Architecture depends on its time. It is the crystallization of its inner structure, the slow unfolding of its form.","[time, slow, structure]",architecture
23,Rem Koolhaas,What is now called 'green architecture' is an opportunistic caricature of a much deeper consideration of the issues related to sustainability that architecture has been engaged with for many years. It was one of the first professions that was deeply concerned with these issues and that had an intellectual response to them.,"[green, intellectual]",architecture
24,Philip Treacy,"In Rome, I particularly love the history, churches, sculptures and architecture and the fact that you can walk along a tiny cobbled street and turn the corner to find the Trevi Fountain. London is evocative of other eras and full of history.","[love, history, london]",architecture
25,Louis Sullivan,Form follows function.,"[function, follows, form]",architecture
