,0,1,2,3
0,Charles Jencks,"If you look at any leaf on any tree branch, it's similar to but not exactly a repetition of the previous branch. So the new science of complexity or showing how an architecture can be produced just as quickly, cheaply and efficiently by using computer production methods to get the slight variation, the self-similarity.","[science, tree, leaf]",architecture
1,John Ruskin,"We require from buildings two kinds of goodness: first, the doing their practical duty well: then that they be graceful and pleasing in doing it.","[doing, goodness, buildings]",architecture
2,Voltaire,"The ancient Romans built their greatest masterpieces of architecture, their amphitheaters, for wild beasts to fight in.","[greatest, fight, wild]",architecture
3,Louis Kahn,Architecture is the thoughtful making of space.,"[thoughtful, space, making]",architecture
4,Jim Woodring,"That Moorish architecture is all over the place, of course. It affects me everywhere I see it, as it does so many people. But Brand Library was a special place to me, and I know I've paid homage to it many times in my drawings.","[people, me, library]",architecture
5,Le Corbusier,"Architecture is the learned game, correct and magnificent, of forms assembled in the light.","[light, game, learned]",architecture
6,Louis Kahn,"A great building must begin with the unmeasurable, must go through measurable means when it is being designed and in the end must be unmeasurable.","[great, end, building]",architecture
7,R. Buckminster Fuller,"We are called to be architects of the future, not its victims.","[future, victims, architects]",architecture
8,Helmut Jahn,"A city building, you experience when you walk; a suburban building, you experience when you drive.","[experience, walk, building]",architecture
9,Alvar Aalto,Nothing is as dangerous in architecture as dealing with separated problems. If we split life into separated problems we split the possibilities to make good building art.,"[life, art, good]",architecture
10,Renzo Piano,"There is something about giving everything to your profession. In Italian, an obsession is not necessarily negative. It's the art of putting all your energy into one thing; it's the art of transforming even what you eat for lunch into architecture.","[art, giving, lunch]",architecture
11,Michael Graves,I have no requirements for a style of architecture.,"[style, requirements]",architecture
12,Rem Koolhaas,Escape from the architecture ghetto is one of the major drivers and has been from the very beginning.,"[beginning, escape, ghetto]",architecture
13,Ai Weiwei,"I see the Beijing National Stadium as an architectural project. I accepted Herzog and De Meuron's invitation to collaborate on the design, and our proposal won the competition. From beginning to end, I stayed with the project. I am committed to fostering relationships between a city and its architecture.","[end, design, competition]",architecture
14,Louis Kahn,"If people want to see Beaux-Arts, it's fine with me. I'm interested in good architecture as anybody else.","[good, people, me]",architecture
15,P. J. O'Rourke,"On inspection, Gaudi's architecture isn't whimsical at all.","[inspection, whimsical]",architecture
16,John Updike,The substance of fictional architecture is not bricks and mortar but evanescent consciousness.,"[consciousness, bricks]",architecture
17,Adam Carolla,"In my early 20s I was so miserable doing construction, I wanted something that paid money. I liked nice stuff. I liked cars and architecture, and things that cost money. I wanted to not swing a hammer, and make money... and not do stuff that was dirty. I attempted to get into comedy. I started to do stand-up, but I wasn't very good at it.","[money, good, construction]",architecture
18,Cherie Lunghi,"I enjoy art, architecture, museums, churches and temples; anything that gives me insight into the history and soul of the place I'm in. I can also be a beach bum - I like to laze in the shade of a palm tree with a good book or float in a warm sea at sundown.","[art, history, good]",architecture
19,Jim Rohn,Whatever good things we build end up building us.,"[good, end, good things]",architecture
20,Ludwig Mies van der Rohe,Less is more.,"[less is more, more, less]",architecture
21,Martha Graham,"To me, a building - if it's beautiful - is the love of one man, he's made it out of his love for space, materials, things like that.","[love, beautiful, man]",architecture
22,Guillaume Apollinaire,"A structure becomes architectural, and not sculptural, when its elements no longer have their justification in nature.","[nature, structure]",architecture
23,Maya Lin,"Even though I build buildings and I pursue my architecture, I pursue it as an artist. I deliberately keep a tiny studio. I don't want to be an architectural firm. I want to remain an artist.","[artist, want, buildings]",architecture
24,Donna Karan,"I love building spaces: architecture, furniture, all of it, probably more than fashion. The development procedure is more tactile. It's about space and form and it's something you can share with other people.","[love, people, fashion]",architecture
25,John Portman,"Architects in the past have tended to concentrate their attention on the building as a static object. I believe dynamics are more important: the dynamics of people, their interaction with spaces and environmental condition.","[environmental, past, believe]",architecture
