,0,1,2,3
0,Norman Lindsay,Every mind which has given itself to self-expression in art is aware of a directing agency outside its conscious control which it has agreed to label 'inspiration'.,"[mind, control, inspiration]",art
1,Walter Annenberg,People who think about art as an investment are pathetic.,"[finance, people, investment]",art
2,Paul Cezanne,I am more a friend of art than a producer of painting.,"[i am, painting, friend]",art
3,Robert Musil,Don't you know that every perfect life would mean the end of art?,"[life, end, perfect]",art
4,E. M. Forster,"The work of art assumes the existence of the perfect spectator, and is indifferent to the fact that no such person exists.","[work, perfect, existence]",art
5,Charlie Sheen,"We're going to shoot one Polaroid per show. I'm going to sign this before it even develops because I know that once it develops with my signature on it, it's worth a fortune. I'll make this a work of magic warlock art.","[work, magic, know]",art
6,Lazaro Hernandez,A lot of art and visual crafts are based on appropriating things.,"[visual, things, crafts]",art
7,Ray Bradbury,"Science fiction is any idea that occurs in the head and doesn't exist yet, but soon will, and will change everything for everybody, and nothing will ever be the same again. As soon as you have an idea that changes some small part of the world you are writing science fiction. It is always the art of the possible, never the impossible.","[change, science, writing]",art
8,Milan Kundera,"You can understand nothing about art, particularly modern art, if you do not understand that imagination is a value in itself.","[imagination, value, nothing]",art
9,Neil Gaiman,I think the short story is a very underrated art form. We know that novels deserve respect.,"[respect, short, know]",art
10,Guy Oseary,"I'm a people person, very approachable. I go out every night, tons of functions. I love all facets of this industry... Music, film, TV, books, art. I love being around creative people.","[love, music, night]",art
11,Daphne Guinness,"Through art, you create your own world.","[world, you, create]",art
12,Johnny Weir,"To me, figure skating is an art form, and that's what I always try to bring in, even to my competitive programs.","[me, try, skating]",art
13,Lynda Resnick,The best thing about art is that it is the one luxury in life that can be enjoyed by everyone. And it lasts forever.,"[life, best, luxury]",art
14,William S. Burroughs,"Visual art and writing don't exist on an aesthetic hierarchy that positions one above the other, because each is capable of things the other can't do at all. Sometimes one picture is equal to 30 pages of discourse, just as there are things images are completely incapable of communicating.","[writing, equal, picture]",art
15,Mikhail Baryshnikov,The essence of all art is to have pleasure in giving pleasure.,"[giving, pleasure, essence]",art
16,Madonna Ciccone,I am my own experiment. I am my own work of art.,"[work, i am, my own]",art
17,Wassily Kandinsky,"A painter, who finds no satisfaction in mere representation, however artistic, in his longing to express his inner life, cannot but envy the ease with which music, the most non-material of the arts today, achieves this end. He naturally seeks to apply the methods of music to his own art.","[life, music, today]",art
18,Tom Folsom,"I was walking down a street and after his death and saw a billboard on the side of a brick wall for Van's shoes. It was a picture of Hopper's face, and all it said was, 'Hopper Lives.' So I think he's still part of youth culture. There are lessons to be learned from Hopper about being a young person who wants to live the art life in America.","[life, death, culture]",art
19,Oscar Wilde,"Art never harms itself by keeping aloof from the social problems of the day: rather, by so doing, it more completely realises for us that which we desire.","[day, problems, doing]",art
20,Philip James Bailey,Art is man's nature; nature is God's art.,"[nature, god, man]",art
21,Edward Steichen,"When that shutter clicks, anything else that can be done afterward is not worth consideration.","[worth, done, anything]",art
22,Willem de Kooning,An artist is forced by others to paint out of his own free will.,"[artist, free, free will]",art
23,Jackson Pollock,Painting is self-discovery. Every good artist paints what he is.,"[good, artist, painting]",art
24,Henri Cartier-Bresson,"The creative act lasts but a brief moment, a lightning instant of give-and-take, just long enough for you to level the camera and to trap the fleeting prey in your little box.","[creative, moment, camera]",art
25,Pierre Bonnard,A painting that is well composed is half finished.,"[painting, half, well]",art
