,0,1,2,3
0,John C. Maxwell,"People may hear your words, but they feel your attitude.","[people, words, may]",attitude
1,Shawn Ashmore,Style is a reflection of your attitude and your personality.,"[reflection, personality]",attitude
2,Joel Osteen,"I believe if you keep your faith, you keep your trust, you keep the right attitude, if you're grateful, you'll see God open up new doors.","[positive, trust, god]",attitude
3,Maya Angelou,"If you don't like something, change it. If you can't change it, change your attitude.","[change, you, something]",attitude
4,Hans Selye,Adopting the right attitude can convert a negative stress into a positive one.,"[positive, stress, negative]",attitude
5,Winston Churchill,Attitude is a little thing that makes a big difference.,"[difference, big, little]",attitude
6,Joyce Meyer,"I believe that a trusting attitude and a patient attitude go hand in hand. You see, when you let go and learn to trust God, it releases joy in your life. And when you trust God, you're able to be more patient. Patience is not just about waiting for something... it's about how you wait, or your attitude while waiting.","[life, trust, patience]",attitude
7,Allen Klein,"Your attitude is like a box of crayons that color your world. Constantly color your picture gray, and your picture will always be bleak. Try adding some bright colors to the picture by including humor, and your picture begins to lighten up.","[positive, humor, color]",attitude
8,E. F. Schumacher,"Eagles come in all shapes and sizes, but you will recognize them chiefly by their attitudes.","[you, eagles, will]",attitude
9,Amisha Patel,"Being sexy is all about attitude, not body type. It's a state of mind.","[mind, sexy, body]",attitude
10,Zig Ziglar,"Your attitude, not your aptitude, will determine your altitude.","[will, altitude, your]",attitude
11,Steven Biko,"Black Consciousness is an attitude of the mind and a way of life, the most positive call to emanate from the black world for a long time.","[life, positive, time]",attitude
12,Joel Osteen,Choosing to be positive and having a grateful attitude is going to determine how you're going to live your life.,"[life, positive, grateful]",attitude
13,Albert Einstein,Weakness of attitude becomes weakness of character.,"[character, weakness, becomes]",attitude
14,Ralph Marston,"Excellence is not a skill, it's an attitude.","[excellence, skill]",attitude
15,Pat Riley,"If you have a positive attitude and constantly strive to give your best effort, eventually you will overcome your immediate problems and find you are ready for greater challenges.","[positive, best, effort]",attitude
16,Scott Hamilton,The only disability in life is a bad attitude.,"[life, disability, life is a]",attitude
17,Thomas Jefferson,Nothing can stop the man with the right mental attitude from achieving his goal; nothing on earth can help the man with the wrong mental attitude.,"[goal, achieving, man]",attitude
18,Wade Boggs,"A positive attitude causes a chain reaction of positive thoughts, events and outcomes. It is a catalyst and it sparks extraordinary results.","[positive, thoughts]",attitude
19,Aldous Huxley,"The secret of genius is to carry the spirit of the child into old age, which means never losing your enthusiasm.","[age, losing, old age]",attitude
20,Harold S. Geneen,Leadership is practiced not so much in words as in attitude and in actions.,"[leadership, words, actions]",attitude
21,Brian Tracy,"Develop an attitude of gratitude, and give thanks for everything that happens to you, knowing that every step forward is a step toward achieving something bigger and better than your current situation.","[gratitude, achieving, step]",attitude
22,Tom Stoppard,A healthy attitude is contagious but don't wait to catch it from others. Be a carrier.,"[health, healthy, wait]",attitude
23,Lou Holtz,Ability is what you're capable of doing. Motivation determines what you do. Attitude determines how well you do it.,"[motivation, doing, you]",attitude
24,Loretta Young,Wearing the correct dress for any occasion is a matter of good manners.,"[good, dress, manners]",attitude
25,John C. Maxwell,The greatest day in your life and mine is when we take total responsibility for our attitudes. That's the day we truly grow up.,"[life, greatest]",attitude
