,0,1,2,3
0,James E. Faust,"All women have appealing features. I do not refer to model-type appeal, but rather that which comes from your personality, your attitude, and your expressions. I urge you to enhance the natural, God-given, feminine gifts with which you have been so richly blessed.","[women, blessed, personality]",attitude
1,James E. Faust,"What is worthy or unworthy on the Sabbath day will have to be judged by each of us by trying to be honest with the Lord. On the Sabbath day, we should do what we have to do and what we ought to do in an attitude of worshipfulness and then limit our other activities.","[day, trying, limit]",attitude
2,Kangana Ranaut,"They will always assume that this guy - an upcoming actor, what if he becomes a star tomorrow? He would not work with me then... so I might as well choose to be nice. But women are not treated with the same attitude. Women they treat really badly.","[work, women, tomorrow]",attitude
3,Victoria Osteen,"I think when you have an optimistic attitude, and you believe that God is guiding you, that you will find the good things in your life and that you will lead to good relationships and good people in your life. And you can make the most of what he's given you.","[life, god, good]",attitude
4,Victoria Osteen,"With His love, you can wake up every day with an attitude of faith and expectancy.","[love, faith, day]",attitude
5,Victoria Osteen,It's important to recognize that forgiveness is more than mere words; it's a heart attitude that induces a spiritual transformation.,"[forgiveness, spiritual]",attitude
6,Victoria Osteen,I love David's attitude in the Bible. He wasn't afraid to go against the trends. He wasn't going to be defined by the opinions of others.,"[love, opinions, bible]",attitude
7,Jason Day,"Anything can happen, so you have to control your attitude and stay strong.","[strong, control, happen]",attitude
8,Jason Day,"You have to come in to major championships, and your attitude has to be on point.","[you, point, championships]",attitude
9,Jason Day,"If you're going to have a bad attitude, you may as well not even tee it up that week because you probably won't play good anyways.","[good, week, you]",attitude
10,Mariella Frostrup,I have a very childish attitude to books - a very non-analytic enthusiasm... like Alice falling down the chute.,"[enthusiasm, down, childish]",attitude
11,Mariella Frostrup,"Quite honestly, if we do manage to destroy the planet with our devil-may-care attitude to natural resources, I'd suggest we leave, as a dossier in our defence, the collected letters to agony aunts and uncles down the generations. It would certainly prove that we weren't all bad!","[down, bad, leave]",attitude
12,Henry Louis Gates,We can revolutionize the attitude of inner city brown and black kids to learning. We need a civil rights movement within the African-American community.,"[learning, community, black]",attitude
13,Jim Harrison,You do manage a somewhat religious attitude toward your art. It is a calling rather than a job.,"[art, job, you]",attitude
14,Seamus Heaney,"At home in Ireland, there's a habit of avoidance, an ironical attitude towards the authority figure.","[home, authority, habit]",attitude
15,Joan Collins,I think it has something to do with being British. We don't take ourselves as seriously as some other countries do. I think a lot of people take themselves far too seriously; I find that a very tedious attitude.,"[people, find, think]",attitude
16,Karen Salmansohn,"When you feel stuck in a hard time, jump-start a pro-change attitude by letting go of possessions that no longer work for you - like old clothes and old shoes.","[work, time, shoes]",attitude
17,Jesse Eisenberg,"I tend to be pessimistic about everything: If things seem to be going good, I'm worried that it's going to end; if things are bad, then I'm worried that it's going to be permanent. It's not a very comfortable attitude to have all the time.","[time, good, end]",attitude
18,Jerry Della Femina,"As long as the attitude is to only show the sheet metal, then automobile advertising will continue to be wretched.","[advertising, metal, long]",attitude
19,Reuven Rivlin,"It seems to me that many of the belligerent Jewish movements that were built upon hatred of Arabs - and I'm not only talking about Lieberman, but within the Likud as well - grew out of the patronizing socialist attitude that said, 'They'll be there, and we'll be here.'","[me, said, talking]",attitude
20,Chevy Chase,I was always the guy getting kicked out of my classes at school for having an attitude problem.,"[school, problem, always]",attitude
21,Kimbal Musk,"I had this attitude, that Silicon Valley obnoxious attitude, that I know what I'm doing, and the rest was going to be pretty easy.","[easy, doing, know]",attitude
22,Jenny Slate,"I like to wear dresses and skirts when I go onstage because the attitude that I have is, 'I'm so excited to introduce myself to you.' And I want to be wearing what I'd be wearing to a date or a dinner party.","[myself, dinner, party]",attitude
23,Julie Burchill,My second husband believed I had such a fickle attitude to friendship that each Friday he would update the list of my 'Top Ten' friends in the manner of a Top Of The Pops chart countdown.,"[friendship, friends, husband]",attitude
24,Richard Flanagan,There's always been something deeply disturbing about the Abbott government's attitude to women.,"[women, government, something]",attitude
25,Terry Teachout,"I am, as it happens, a baby boomer, but not one who feels any broad-gauge nostalgia for the '60s and '70s. My attitude resembles that of my parents, who were born in the '20s and lived through the Great Depression and World War II.","[war, great, parents]",attitude
