,0,1,2,3
0,Jenn Proske,Love yourself. It is important to stay positive because beauty comes from the inside out.,"[positive, love]",beauty
1,Audrey Hepburn,"The beauty of a woman must be seen from in her eyes, because that is the doorway to her heart, the place where love resides.","[love, eyes, heart]",beauty
2,John Ray,Beauty is power; a smile is its sword.,"[smile, power, sword]",beauty
3,Zoe Kravitz,"Beauty is when you can appreciate yourself. When you love yourself, that's when you're most beautiful.","[love, beautiful]",beauty
4,Marilyn Monroe,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.","[madness, imperfection]",beauty
5,Mahatma Gandhi,"When I admire the wonders of a sunset or the beauty of the moon, my soul expands in the worship of the creator.","[sunset, religion, moon]",beauty
6,Eleanor Roosevelt,The future belongs to those who believe in the beauty of their dreams.,"[future, dreams, believe]",beauty
7,Anne Frank,Think of all the beauty still left around you and be happy.,"[happy, be happy, think]",beauty
8,Joseph B. Wirthlin,"The more often we see the things around us - even the beautiful and wonderful things - the more they become invisible to us. That is why we often take for granted the beauty of this world: the flowers, the trees, the birds, the clouds - even those we love. Because we see things so often, we see them less and less.","[love, flowers, beautiful]",beauty
9,Ashley Smith,"Life is full of beauty. Notice it. Notice the bumble bee, the small child, and the smiling faces. Smell the rain, and feel the wind. Live your life to the fullest potential, and fight for your dreams.","[life, dreams, rain]",beauty
10,Rabindranath Tagore,Beauty is truth's smile when she beholds her own face in a perfect mirror.,"[smile, truth, mirror]",beauty
11,Confucius,"Everything has beauty, but not everyone sees it.","[everyone, everything, sees]",beauty
12,David Allan Coe,It is not the beauty of a building you should look at; its the construction of the foundation that will stand the test of time.,"[time, architecture]",beauty
13,Rumi,Let the beauty of what you love be what you do.,"[love, work, you]",beauty
14,Audrey Hepburn,The beauty of a woman is not in a facial mode but the true beauty in a woman is reflected in her soul. It is the caring that she lovingly gives the passion that she shows. The beauty of a woman grows with the passing years.,"[passion, caring, woman]",beauty
15,Victoria Justice,It's nice to just embrace the natural beauty within you.,"[natural beauty, nice, you]",beauty
16,Adlai E. Stevenson,"Do you know the difference between a beautiful woman and a charming one? A beauty is a woman you notice, a charmer is one who notices you.","[beautiful woman, beautiful]",beauty
17,Joyce Meyer,"Consider a tree for a moment. As beautiful as trees are to look at, we don't see what goes on underground - as they grow roots. Trees must develop deep roots in order to grow strong and produce their beauty. But we don't see the roots. We just see and enjoy the beauty. In much the same way, what goes on inside of us is like the roots of a tree.","[deep, beautiful, strong]",beauty
18,Ralph Waldo Emerson,Love of beauty is taste. The creation of beauty is art.,"[love, art, creation]",beauty
19,Jawaharlal Nehru,"We live in a wonderful world that is full of beauty, charm and adventure. There is no end to the adventures that we can have if only we seek them with our eyes open.","[adventure, eyes, end]",beauty
20,Henry Rollins,Loneliness adds beauty to life. It puts a special burn on sunsets and makes night air smell better.,"[life, alone, loneliness]",beauty
21,Akhenaton,"When virtue and modesty enlighten her charms, the lustre of a beautiful woman is brighter than the stars of heaven, and the influence of her power it is in vain to resist.","[stars, power]",beauty
22,Mark Hyman,"Don't get me wrong, I admire elegance and have an appreciation of the finer things in life. But to me, beauty lies in simplicity.","[life, appreciation]",beauty
23,Johann Wolfgang von Goethe,The soul that sees beauty may sometimes walk alone.,"[alone, soul, walk]",beauty
24,Rumi,"Beauty surrounds us, but usually we need to be walking in a garden to know it.","[walking, know, garden]",beauty
25,Chanakya,Education is the best friend. An educated person is respected everywhere. Education beats the beauty and the youth.,"[education, best, best friend]",beauty
