,0,1,2,3
0,Bayard Taylor,"I envy those old Greek bathers, into whose hands were delivered Pericles, and Alcibiades, and the perfect models of Phidias. They had daily before their eyes the highest types of Beauty which the world has ever produced; for of all things that are beautiful, the human body is the crown.","[daily, eyes, beautiful]",beauty
1,Marjane Satrapi,"If today I have to make a political statement, it is, 'I love beauty.' I think beauty makes people better.","[love, today, political]",beauty
2,Christian Louboutin,"Cinderella is not only an iconic character when it comes to beauty, grace and fairytale love, but also shoes.","[love, character, grace]",beauty
3,Wale,"Not to sound corny, but intelligence is big. Everything fades, and everything can be modified. But intelligence is something you can't fake. I'm not even talking about whether you can read a thesaurus backwards. But there is a beauty in common sense.","[intelligence, fake, talking]",beauty
4,Ralph Waite,"The beauty of life is in people who feel some obligation to enhance life. Without that, we're only half alive.","[life, people, feel]",beauty
5,Ellen Hopkins,Nonfiction speaks to the head. Fiction speaks to the heart. Poetry speaks to the soul. It's the essence of beauty. The essence of pain. It pleases the eye and the ear.,"[poetry, heart, pain]",beauty
6,Nia Peeples,"Health and beauty is not just about what you apply. If you don't have it together on the inside, then nothing else is going to matter.","[health, together, nothing]",beauty
7,Robert Adams,"I began making pictures because I wanted to record what supports hope: the untranslatable mystery and beauty of the world. Along the way, however, the camera also caught evidence against hope, and I eventually concluded that this, too, belonged in pictures if they were to be truthful and thus useful.","[hope, world, camera]",beauty
8,Ricky Schroder,"I didn't grow up around wild horses, no. But I've appreciated their beauty and their power ever since I can remember.","[power, grow, remember]",beauty
9,Umberto Eco,Beauty is boring because it is predictable.,"[boring, predictable, because]",beauty
10,Ishmael Beah,"We all find joy and radiance and a reason to move on even in the most dire of circumstances. Even in chaos and madness, there's still a beauty that comes from just the vibrancy of another human spirit.","[joy, chaos, madness]",beauty
11,Annie Dillard,"The notion of the infinite variety of detail and the multiplicity of forms is a pleasing one; in complexity are the fringes of beauty, and in variety are generosity and exuberance.","[generosity, detail, infinite]",beauty
12,Jonas Mekas,"In a meadow full of flowers, you cannot walk through and breathe those smells and see all those colors and remain angry. We have to support the beauty, the poetry, of life.","[life, poetry, flowers]",beauty
13,Juliette Binoche,"When you really put your heart in the work, you don't think of how you look. And I think that's the beauty of it.","[work, heart, look]",beauty
14,Queen Latifah,Beauty is not just a white girl. It's so many different flavors and shades.,"[girl, white, different]",beauty
15,Jeff Beck,"Sometimes when I do an overdub solo, they'll keep four or five of my attempts and then mix the bits that they like to make a solo up out of them. It's not against the rules, really - I can learn my own solos, then. But that's the whole beauty of multi-track recording, isn't it?","[rules, learn, sometimes]",beauty
16,Marc Jacobs,"To me, beauty and makeup and color is like the finishing touch on everything.","[color, makeup, me]",beauty
17,Philip Johnson,"I like the thought that what we are to do on this earth is embellish it for its greater beauty, so that oncoming generations can look back to the shapes we leave here and get the same thrill that I get in looking back at theirs - at the Parthenon, at Chartres Cathedral.","[thought, looking, earth]",beauty
18,Emma McLaughlin,A Hallmark card with paragraphs about my beauty written by a stranger is vaguely depressing.,"[depressing, hallmark, about]",beauty
19,Eduardo Paes,"Rio is an energetic, vibrant place, full of beauty and nature. But we face the kinds of problems any developing metropolis does - with pollution, traffic congestion, poverty. Distribution of green areas, for example, is not uniform. Madureira, the heart of the suburb in Rio, is a concrete jungle.","[nature, heart, poverty]",beauty
20,John O'Donohue,"When we hear the word 'beauty', we inevitably think that beauty belongs in a special elite realm where only the extraordinary dwells. Yet without realizing it, each day each one of us is visited by beauty. When you actually listen to people, it is surprising how often beauty is mentioned. A world without beauty would be unbearable.","[day, world, people]",beauty
21,Theophilus London,"I admire natural, untouched beauty.","[admire, natural, untouched]",beauty
22,Tabatha Coffey,"Being in the beauty industry has taught me that most of us are never satisfied with how we look. We all wish we had better hair, could lose that last 10 pounds, or look like someone else. I always see the beauty in the clients that have sat in my chair, and I've tried to help them see it, too, and feel good about themselves.","[good, help, me]",beauty
23,Cote de Pablo,"I've seen the majestic beauty of nature and the overwhelming perfection of it. To me, there's nothing closer to God than that.","[nature, god, perfection]",beauty
24,Erin Heatherton,"Inner beauty radiates from within, and there's nothing more beautiful than when a woman feels beautiful on the inside.","[beautiful, woman, nothing]",beauty
25,Andie MacDowell,I always say that kindness is the greatest beauty that you can have.,"[kindness, greatest, you]",beauty
