,0,1,2,3
0,"H. Jackson Brown, Jr.",The best preparation for tomorrow is doing your best today.,"[inspirational, today]",best
1,Helen Keller,The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.,"[inspirational, beautiful]",best
2,St. Jerome,"Good, better, best. Never let it rest. 'Til your good is better and your better is best.","[motivational, good, better]",best
3,Joyce Brothers,"A strong, positive self-image is the best possible preparation for success.","[positive, success, strong]",best
4,Lou Holtz,Do right. Do your best. Treat others as you want to be treated.,"[do your best, treat, want]",best
5,Audrey Hepburn,The best thing to hold onto in life is each other.,"[life, love, hold]",best
6,Henry Ford,My best friend is the one who brings out the best in me.,"[friendship, best friend, me]",best
7,Kim Kardashian,"At the end of the day, life is about being happy being who you are, and I feel like we are so blessed to have the support system and the best family to really just support each other no matter what we're going through.","[life, family, happy]",best
8,Og Mandino,"Always do your best. What you plant now, you will harvest later.","[motivational, do your best]",best
9,Buddha,"Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.","[inspirational, health]",best
10,Benjamin Franklin,An investment in knowledge pays the best interest.,"[education, knowledge]",best
11,Ralph Waldo Emerson,Write it on your heart that every day is the best day in the year.,"[new year's, heart, day]",best
12,Walt Whitman,"I am as bad as the worst, but, thank God, I am as good as the best.","[god, good, thank god]",best
13,Magdalena Neuner,"My life motto is 'Do my best, so that I can't blame myself for anything.'","[life, myself, motto]",best
14,Richard Bach,The best way to pay for a lovely moment is to enjoy it.,"[happiness, moment, enjoy]",best
15,Nick Cannon,"Nobody can predict the future. You just have to give your all to the relationship you're in and do your best to take care of your partner, communicate and give them every last drop of love you have. I think one of the most important things in a relationship is caring for your significant other through good times and bad.","[love, relationship, future]",best
16,Chris Hadfield,"Ultimately, leadership is not about glorious crowning acts. It's about keeping your team focused on a goal and motivated to do their best to achieve it, especially when the stakes are high and the consequences really matter. It is about laying the groundwork for others' success, and then standing back and letting them shine.","[success, leadership, goal]",best
17,Bill Watterson,Things are never quite as scary when you've got a best friend.,"[friendship, best friend]",best
18,Mahatma Gandhi,The best way to find yourself is to lose yourself in the service of others.,"[service, yourself, find]",best
19,William Makepeace Thackeray,"To love and win is the best thing. To love and lose, the next best.","[love, win, lose]",best
20,Dave Pelzer,"To help yourself, you must be yourself. Be the best that you can be. When you make a mistake, learn from it, pick yourself up and move on.","[moving on, be yourself]",best
21,Vince Lombardi,"The price of success is hard work, dedication to the job at hand, and the determination that whether we win or lose, we have applied the best of ourselves to the task at hand.","[success, work, hard work]",best
22,Gretchen Rubin,"One of the best ways to make yourself happy in the present is to recall happy times from the past. Photos are a great memory-prompt, and because we tend to take photos of happy occasions, they weight our memories to the good.","[memories, good, happy]",best
23,Audrey Hepburn,"I believe in pink. I believe that laughing is the best calorie burner. I believe in kissing, kissing a lot. I believe in being strong when everything seems to be going wrong. I believe that happy girls are the prettiest girls. I believe that tomorrow is another day and I believe in miracles.","[inspirational, happy, strong]",best
24,Marilyn Monroe,"I'm selfish, impatient, and a little insecure. I make mistakes, I'm out of control, and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.","[mistakes, selfish, control]",best
25,Ernest Hemingway,The best way to find out if you can trust somebody is to trust them.,"[trust, find, way]",best
