,0,1,2,3
0,Marvin Gaye,Negotiating means getting the best of your opponent.,"[opponent, your, negotiating]",best
1,Dustin Hoffman,I did a movie called Marathon Man and it was one of my best memories.,"[memories, man, marathon]",best
2,John McEnroe,"The important thing is to learn a lesson every time you lose. Life is a learning process and you have to try to learn what's best for you. Let me tell you, life is not fun when you're banging your head against a brick wall all the time.","[life, time, learning]",best
3,Pierre Charron,"The most excellent and divine counsel, the best and most profitable advertisement of all others, but the least practiced, is to study and learn how to know ourselves. This is the foundation of wisdom and the highway to whatever is good.","[wisdom, good, foundation]",best
4,Jeff Gordon,You've got to be the best person you can be in your life.,"[life, you, person]",best
5,Moliere,The trees that are slow to grow bear the best fruit.,"[nature, grow, trees]",best
6,W. C. Fields,The best cure for insomnia is to get a lot of sleep.,"[sleep, insomnia, get]",best
7,Kin Hubbard,"Of all the home remedies, a good wife is best.","[home, good, wife]",best
8,Norman Cousins,He who keeps his cool best wins.,"[cool, he, wins]",best
9,Dean Inge,Let none of us delude himself by supposing that honesty is always the best policy. It is not.,"[honesty, always, honesty is]",best
10,William Styron,Reading - the best state yet to keep absolute loneliness at bay.,"[loneliness, reading, state]",best
11,Karl Barth,The best theology would need no advocates; it would prove itself.,"[need, prove, itself]",best
12,John Mayer,I'd like to think the best of me was still hiding up in my sleeve.,"[me, think, hiding]",best
13,Charles Dickens,There are books of which the backs and covers are by far the best parts.,"[parts, which, far]",best
14,"William F. Buckley, Jr.",The best defense against usurpatory government is an assertive citizenry.,"[government, against]",best
15,Walter Winchell,The best way to get along is never to forgive an enemy or forget a friend.,"[enemy, forgive, friend]",best
16,W. C. Fields,Set up another case bartender! The best thing for a case of nerves is a case of Scotch.,"[bartender, scotch, thing]",best
17,Paul Valery,The purpose of psychology is to give us a completely different idea of the things we know best.,"[purpose, know, psychology]",best
18,Harriet Beecher Stowe,"It's a matter of taking the side of the weak against the strong, something the best people have always done.","[strong, people, matter]",best
19,Lucy Maud Montgomery,In this world you've just got to hope for the best and prepare for the worst and take whatever God sends.,"[hope, god, world]",best
20,Oprah Winfrey,"As you become more clear about who you really are, you'll be better able to decide what is best for you - the first time around.","[time, better, you]",best
21,Christopher Morley,"From now until the end of time no one else will ever see life with my eyes, and I mean to make the best of my chance.","[life, time, eyes]",best
22,William Feather,The prizes go to those who meet emergencies successfully. And the way to meet emergencies is to do each daily task the best we can.,"[daily, way, meet]",best
23,Michelle Pfeiffer,"Like all parents, my husband and I just do the best we can, hold our breath and hope we've set aside enough money for our kid's therapy.","[hope, money, parents]",best
24,Anna Garlin Spencer,"Can a woman become a genius of the first class? Nobody can know unless women in general shall have equal opportunity with men in education, in vocational choice, and in social welcome of their best intellectual work for a number of generations.","[education, work, women]",best
25,Samuel Smiles,"Progress, of the best kind, is comparatively slow. Great results cannot be achieved at once; and we must be satisfied to advance in life as we walk, step by step.","[life, great, progress]",best
