,0,1,2,3
0,Voltaire,God gave us the gift of life; it is up to us to give ourselves the gift of living well.,"[life, god, gift]",birthday
1,William Barclay,There are two great days in a person's life - the day we are born and the day we discover why.,"[life, great, day]",birthday
2,Ausonius,"Let us never know what old age is. Let us know the happiness time brings, not count the years.","[happiness, time, age]",birthday
3,Brian Tracy,The greatest gift that you can give to others is the gift of unconditional love and acceptance.,"[love, greatest, gift]",birthday
4,Dr. Seuss,Today you are you! That is truer than true! There is no one alive who is you-er than you!,"[today, true, you]",birthday
5,Oprah Winfrey,"The more you praise and celebrate your life, the more there is in life to celebrate.","[life, celebrate, praise]",birthday
6,Abhishek Bachchan,"A birthday is just another day where you go to work and people give you love. Age is just a state of mind, and you are as old as you think you are. You have to count your blessings and be happy.","[love, work, age]",birthday
7,Paris Hilton,"The way I see it, you should live everyday like its your birthday.","[live, way, see]",birthday
8,Satchel Paige,"Age is a case of mind over matter. If you don't mind, it don't matter.","[age, mind, matter]",birthday
9,Brad Garrett,"You take away all the other luxuries in life, and if you can make someone smile and laugh, you have given the most special gift: happiness.","[life, happiness, smile]",birthday
10,Buddy Valastro,"Cakes are special. Every birthday, every celebration ends with something sweet, a cake, and people remember. It's all about the memories.","[memories, cake, people]",birthday
11,Pablo Picasso,It takes a long time to become young.,"[time, young, long]",birthday
12,George Meredith,"Don't just count your years, make your years count.","[count, years, just]",birthday
13,Pablo Picasso,Youth has no age.,"[age, youth]",birthday
14,Bob Hope,You know you're getting old when the candles cost more than the cake.,"[cake, know, you]",birthday
15,Madeleine L'Engle,The great thing about getting older is that you don't lose all the other ages you've been.,"[great, getting older, you]",birthday
16,Plautus,Let us celebrate the occasion with wine and sweet words.,"[wine, celebrate, words]",birthday
17,Ella Fitzgerald,The only thing better than singing is more singing.,"[singing, better, more]",birthday
18,Satchel Paige,How old would you be if you didn't know how old you are?,"[know, you, old]",birthday
19,George Harrison,"All the world is birthday cake, so take a piece, but not too much.","[cake, world, too much]",birthday
20,Phylicia Rashad,"Any time women come together with a collective intention, it's a powerful thing. Whether it's sitting down making a quilt, in a kitchen preparing a meal, in a club reading the same book, or around the table playing cards, or planning a birthday party, when women come together with a collective intention, magic happens.","[time, women, together]",birthday
21,Jean Paul,Our birthdays are feathers in the broad wing of time.,"[time, feathers, broad]",birthday
22,Steven Wright,"I intend to live forever. So far, so good.","[good, live, forever]",birthday
23,Lucius Annaeus Seneca,"A gift consists not in what is done or given, but in the intention of the giver or doer.","[gift, done, intention]",birthday
24,Shirley Bassey,"You don't get older, you get better.","[better, you, older]",birthday
25,Kurt Vonnegut,About astrology and palmistry: they are good because they make people vivid and full of possibilities. They are communism at its best. Everybody has a birthday and almost everybody has a palm.,"[best, good, people]",birthday
