,0,1,2,3
0,Michael Weatherly,"I started running around my 30th birthday. I wanted to lose weight; I didn't anticipate the serenity. Being in motion, suddenly my body was busy and so my head could work out some issues I had swept under a carpet of wine and cheese. Good therapy, that's a good run.","[work, good, fitness]",birthday
1,Ryan O'Neal,"I saw Farrah Fawcett originally when she and her boyfriend, Lee Majors, came over to my house for a birthday party that I was having for my ex-wife, Leigh Taylor-Young.","[party, she, birthday party]",birthday
2,Homaro Cantu,"Most of us have fond memories of food from our childhood. Whether it was our mom's homemade lasagna or a memorable chocolate birthday cake, food has a way of transporting us back to the past.","[food, memories, mom]",birthday
3,Kirsten Dunst,"I think the best thing about my job is that I have my life documented, which not many people get to have. They have a photo here and there and maybe some video footage from a birthday. My kids will be able to see me growing up.","[life, best, job]",birthday
4,Cathy Guisewite,"I wanted Cathy and Irving to actually say 'I do' and be pronounced husband and wife on Feb. 5, which is my mom's birthday.","[mom, wife, husband]",birthday
5,Bat for Lashes,"I had Hallowe'en parties every year, as it was my birthday five days before. My parents would actually put prosthetic noses on, and my dad would wear a top-hat and tails, put on a fake curly moustache, and hold a pipe.","[dad, parents, year]",birthday
6,Jessi Klein,"If I have one wish for my birthday, it is that 35 is the end of desperation and the beginning of acceptance. Part of that is believing that if I'm meant to give birth, I will.","[end, beginning, acceptance]",birthday
7,Emma McLaughlin,"The more Mommy blogs going nuclear over playground etiquette I read and birthday parties of glazed adults munching cupcakes like demoralized zombies I attend, I realize this is what my friends who conceived before me meant by, 'You just won't care.'","[friends, me, care]",birthday
8,Noel Wells,"I'm one of those people who had Christmas and my birthday always combined, and generally, my birthday was pretty much ignored. But my parents are always good about making some kind of special effort to make me feel like I also have a birthday that exists.","[christmas, good, parents]",birthday
9,Nikki Reed,I've never really made a big deal out of my birthday.,"[big, never, made]",birthday
10,Kaui Hart Hemmings,"For my 11th birthday, I asked to be adopted.","[asked, adopted]",birthday
11,Shawn Levy,"Even when I was a kid, I had a good thing with kids. To this day, if I go to a birthday party with one of my kids, I swear to you, I am so much happier hanging out with my kids and their friends than talking to the grown-ups.","[good, day, i am]",birthday
12,Bruce Barton,"If you can give your child only one gift, let it be enthusiasm.","[gift, child, enthusiasm]",birthday
13,Nadine Gordimer,People give one another things that can't be gift wrapped.,"[gift, people, things]",birthday
14,David Ulevitch,My mother still sends a cake to the office for my birthday.,"[mother, cake, office]",birthday
15,Sean Combs,I have had fans make me the big picture collages of the photo books; I have had fans send me birthday cakes... sing to me on my voicemail. I have had fans flash me. I have had older fans give me their bras and underwear onstage.,"[me, picture, big picture]",birthday
16,John L. Phillips,There weren't any astronauts until I was about 10. Yuri Gagarin went into space right around my 10th birthday.,"[space, right, about]",birthday
17,Rod Taylor,"I suddenly realized how much I loved her when we attended Alfred Hitchcock's 75th birthday party last August. There was something magical about that night, and it made me see how much she really meant to me.","[night, me, party]",birthday
18,Victor Cruz,My mom and my father's birthday are on the same day.,"[father, mom, day]",birthday
19,Jonathan Keltz,"My 21st birthday was awesome. I was in L.A., and it was great. I had a bunch of friends that came out. The night ended up in a completely different direction than we thought it was going to go.","[great, friends, night]",birthday
20,Romola Garai,"If you are an actress in L.A., on your 40th birthday they should just hand you the keys to the lunatic asylum.","[you, actress, hand]",birthday
21,Charlie Trotter,I timed my previous wife's pregnancy to the moment to have my son born on Bob Dylan's 50th birthday. There is no bigger Bob Dylan fan than me. You don't just time the day and impregnate your wife to get your kid to be born on Bob Dylan's 50th birthday.,"[time, day, son]",birthday
22,Marianne Williamson,One of the shocks of a 50th birthday is realizing the fundamental fact that your youth is irrevocably over.,"[youth, fact, over]",birthday
23,Jeff Dunham,"Family time was very difficult when my girls were little, but I never missed a birthday; I was there for every major event.","[family, time, difficult]",birthday
24,Lily James,"I used to go to musicals every birthday - that was my birthday present. We'd go to London, me and my two brothers and mum and dad. I think I saw 'Mamma Mia' about five times.","[dad, london, me]",birthday
25,Rachel Sklar,"Less than two weeks before my 34th birthday, I bought pots. Most people were amazed that I did not previously own pots, but that was before I explained that I had never used my oven, and used my stovetop for my dishrack.","[people, two, most]",birthday
