,0,1,2,3
0,Jose Ortega y Gasset,Tell me to what you pay attention and I will tell you who you are.,"[me, attention, you]",brainy
1,Winston Churchill,"We make a living by what we get, but we make a life by what we give.","[life, living, give]",brainy
2,Henry David Thoreau,"As a single footstep will not make a path on the earth, so a single thought will not make a pathway in the mind. To make a deep physical path, we walk again and again. To make a deep mental path, we must think over and over the kind of thoughts we wish to dominate our lives.","[deep, path, mind]",brainy
3,Albert Einstein,Insanity: doing the same thing over and over again and expecting different results.,"[doing, results, insanity]",brainy
4,"Martin Luther King, Jr.",The time is always right to do what is right.,"[time, always, right]",brainy
5,Albert Einstein,"It's not that I'm so smart, it's just that I stay with problems longer.","[smart, problems, just]",brainy
6,Mark Twain,It is better to keep your mouth closed and let people think you are a fool than to open it and remove all doubt.,"[fool, people, doubt]",brainy
7,Leonardo da Vinci,Simplicity is the ultimate sophistication.,"[simplicity, sophistication]",brainy
8,Yogi Berra,"If you don't know where you are going, you might wind up someplace else.","[wind, know, you]",brainy
9,Tony Robbins,"If you do what you've always done, you'll get what you've always gotten.","[you, done, always]",brainy
10,Thomas Jefferson,"In matters of style, swim with the current; in matters of principle, stand like a rock.","[style, stand, rock]",brainy
11,Albert Einstein,"Once we accept our limits, we go beyond them.","[limits, accept, beyond]",brainy
12,Theodore Roosevelt,"Nobody cares how much you know, until they know how much you care.","[care, know, you]",brainy
13,Sigmund Freud,"The mind is like an iceberg, it floats with one-seventh of its bulk above water.","[water, mind, above]",brainy
14,"Martin Luther King, Jr.",Everything that we see is a shadow cast by that which we do not see.,"[shadow, see, everything]",brainy
15,Wilson Mizner,Be nice to people on your way up because you'll meet them on your way down.,"[people, nice, down]",brainy
16,Sai Baba,"All action results from thought, so it is thoughts that matter.","[thoughts, thought, action]",brainy
17,Neil Armstrong,Mystery creates wonder and wonder is the basis of man's desire to understand.,"[man, desire, mystery]",brainy
18,Helen Keller,One can never consent to creep when one feels an impulse to soar.,"[never, soar, consent]",brainy
19,Louis Pasteur,Fortune favors the prepared mind.,"[mind, fortune, prepared]",brainy
20,John Ruskin,Quality is never an accident. It is always the result of intelligent effort.,"[effort, quality, intelligent]",brainy
21,Lucius Annaeus Seneca,"A gem cannot be polished without friction, nor a man perfected without trials.","[man, trials, without]",brainy
22,Nikos Kazantzakis,The real meaning of enlightenment is to gaze with undimmed eyes on all darkness.,"[eyes, darkness, meaning]",brainy
23,Robert W. Service,It isn't the mountain ahead that wears you out; it's the grain of sand in your shoe.,"[mountain, ahead, shoe]",brainy
24,Zhuangzi,"We cling to our own point of view, as though everything depended on it. Yet our opinions have no permanence; like autumn and winter, they gradually pass away.","[winter, autumn, opinions]",brainy
25,Aristotle,Courage is the first of human qualities because it is the quality which guarantees the others.,"[courage, quality, others]",brainy
