,0,1,2,3
0,Michael Leunig,"An education system suits some more than others. It can lead you out into life or lead you on a wild goose chase. It can help to make you miserable, or dull and nasty and insipid, or profoundly stupid in the special way that 'brainy' people can be.","[life, education, stupid]",brainy
1,George Eliot,Nothing is so good as it seems beforehand.,"[good, nothing, seems]",brainy
2,Arthur Schopenhauer,We forfeit three-quarters of ourselves in order to be like other people.,"[people, ourselves, order]",brainy
3,Ellie Goulding,"I was super brainy and a proper geek at school, but there would always be a boy. But that sort of obsession did turn me into a songwriter. My writing has always come from that feeling of infatuation.","[school, writing, me]",brainy
4,Jean-Paul Sartre,It is only in our decisions that we are important.,"[decisions, important, only]",brainy
5,Jean-Paul Sartre,We do not judge the people we love.,"[love, people, judge]",brainy
6,Karl Pilkington,Sometimes you can know too much. A lot of brainy people like Stephen Fry are quite depressive.,"[people, know, you]",brainy
7,Karl Pilkington,"At the end of the day, teachers aren't going to mess about trying to make me into an Einstein, 'cause it was never gonna happen. We can't all be brainy, can we? That's just the way the world is.","[end, day, world]",brainy
8,Albert Schweitzer,Truth has no special time of its own. Its hour is now - always.,"[time, truth, special]",brainy
9,Donald Rumsfeld,"If in doubt, don't. If still in doubt, do what's right.","[doubt, right, still]",brainy
10,Georg C. Lichtenberg,Even truth needs to be clad in new garments if it is to appeal to a new age.,"[age, truth, new]",brainy
11,Frank Lloyd Wright,There is nothing more uncommon than common sense.,"[nothing, common sense, more]",brainy
12,Gustave Flaubert,"One can be the master of what one does, but never of what one feels.","[master, never, feels]",brainy
13,John Dryden,"Ill habits gather unseen degrees, as brooks make rivers, rivers run to seas.","[habits, rivers, degrees]",brainy
14,Josh Hutcherson,"I like both athletic girls and girly girls. It depends on their personality. I like girls who can go out and play sports with me and throw the football around, but you don't want a girl who's too much tougher than you. I like brainy girls who can respond to what I'm saying.","[sports, football, girl]",brainy
15,Audre Lorde,There are no new ideas. There are only new ways of making them felt.,"[ideas, new ideas, new]",brainy
16,Laurence J. Peter,A man doesn't know what he knows until he knows what he doesn't know.,"[man, know, he]",brainy
17,Herodotus,The destiny of man is in his own soul.,"[soul, man, destiny]",brainy
18,Thomas a Kempis,Great tranquility of heart is his who cares for neither praise nor blame.,"[great, heart, blame]",brainy
19,Ansel Adams,In wisdom gathered over time I have found that every experience is a form of exploration.,"[time, wisdom, experience]",brainy
20,George Henry Lewes,Genius is rarely able to give any account of its own processes.,"[genius, processes, own]",brainy
21,Alfred Adler,It is easier to fight for one's principles than to live up to them.,"[fight, live, principles]",brainy
22,Steven Moffat,Brainy's the new sexy.,"[sexy, new]",brainy
23,Saul Bellow,A great deal of intelligence can be invested in ignorance when the need for illusion is deep.,"[great, intelligence, deep]",brainy
24,Maximillian Degenerez,The brainy class is made up of individuals who think for themselves and beyond formal education are continuous learners who tend to be self-taught.,"[education, think, class]",brainy
25,Maximillian Degenerez,I always knew I was brainy. It struck me when I was a child that I wanted to be an adult because I never felt I belonged among children whose minds were so much simpler than mine.,"[children, me, child]",brainy
