,0,1,2,3
0,Steve Jobs,Great things in business are never done by one person. They're done by a team of people.,"[great, team, people]",business
1,Colin Powell,"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.","[success, work, hard work]",business
2,Leonardo da Vinci,"I love those who can smile in trouble, who can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but they whose heart is firm, and whose conscience approves their conduct, will pursue their principles unto death.","[love, smile, strength]",business
3,Anthony Hopkins,"My philosophy is it's none of my business what people say of me and think of me. I am what I am, and I do what I do. I expect nothing and accept everything. And it makes life so much easier.","[life, i am, philosophy]",business
4,Mark Twain,"Whenever you find yourself on the side of the majority, it is time to pause and reflect.","[time, yourself, find]",business
5,Thomas Paine,"I love the man that can smile in trouble, that can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but he whose heart is firm, and whose conscience approves his conduct, will pursue his principles unto death.","[love, smile, strength]",business
6,Henry Ford,A business that makes nothing but money is a poor business.,"[money, nothing, poor]",business
7,Theodore Isaac Rubin,Happiness does not come from doing easy work but from the afterglow of satisfaction that comes after the achievement of a difficult task that demanded our best.,"[happiness, best, work]",business
8,Al Lopez,"Do what you love to do and give it your very best. Whether it's business or baseball, or the theater, or any field. If you don't love what you're doing and you can't give it your best, get out of it. Life is too short. You'll be an old man before you know it.","[life, love, best]",business
9,Sanford I. Weill,Details create the big picture.,"[details, picture, create]",business
10,Elon Musk,"If you're trying to create a company, it's like baking a cake. You have to have all the ingredients in the right proportion.","[cake, trying, baking]",business
11,Sam Walton,We're all working together; that's the secret.,"[working together, together]",business
12,Tupac Shakur,There's nobody in the business strong enough to scare me.,"[strong, me, nobody]",business
13,Rick Santorum,"The more moral the people are in their business dealings, the less paperwork you need, the more handshakes you can have, the more the wheels of capitalism work better because there's trust in the marketplace. Business ethics is not a joke. And, in fact, I think most businesses that I've dealt with encourage exactly that type of behavior.","[work, trust, ethics]",business
14,Walt Whitman,"After you have exhausted what there is in business, politics, conviviality, and so on - have found that none of these finally satisfy, or permanently wear - what remains? Nature remains.","[nature, politics, you]",business
15,Helen Keller,"Life is an exciting business, and most exciting when it is lived for others.","[life, lived, others]",business
16,J. Paul Getty,"The meek shall inherit the Earth, but not its mineral rights.","[earth, rights, inherit]",business
17,W. Clement Stone,Sales are contingent upon the attitude of the salesman - not the attitude of the prospect.,"[attitude, sales, salesman]",business
18,Dee Hock,"An organization, no matter how well designed, is only as good as the people who live and work in it.","[work, good, people]",business
19,Bill Gates,The first rule of any technology used in a business is that automation applied to an efficient operation will magnify the efficiency. The second is that automation applied to an inefficient operation will magnify the inefficiency.,"[technology, efficiency, will]",business
20,Dave Barry,Camping is nature's way of promoting the motel business.,"[nature, way, camping]",business
21,Robert Kiyosaki,"If you or I fail at business, we fail. If we cheat and fail, we go to jail. But if you're rich and politically connected, your incompetence may be protected by a government bailout.","[government, rich, you]",business
22,Richard Chamberlain,"'Handsome' means many things to many people. If people consider me handsome, I feel flattered - and have my parents to thank for it. Realistically, it doesn't hurt to be good-looking, especially in this business.","[beauty, parents, people]",business
23,Edward Gibbon,Our work is the presentation of our capabilities.,"[work, presentation]",business
24,Max de Pree,"The first responsibility of a leader is to define reality. The last is to say thank you. In between, the leader is a servant.","[leader, responsibility]",business
25,Ivanka Trump,"In both business and personal life, I've always found that travel inspires me more than anything else I do. Evidence of the languages, cultures, scenery, food, and design sensibilities that I discover all over the world can be found in every piece of my jewelry.","[life, travel, food]",business
