,0,1,2,3
0,Fred Allen,An advertising agency is 85 percent confusion and 15 percent commission.,"[advertising, confusion]",business
1,Steve Ballmer,We don't have a monopoly. We have market share. There's a difference.,"[difference, monopoly, share]",business
2,Steve Ballmer,What we've gone through in the last several years has caused some people to question 'Can we trust Microsoft?',"[trust, people, some people]",business
3,Rose Kennedy,More business is lost every year through neglect than through any other cause.,"[year, lost, neglect]",business
4,Paula Abdul,Everyone is your best friend when you are successful. Make sure that the people that you surround yourself with are also the people that you are not afraid of failing with.,"[best, surround yourself]",business
5,Robert Orben,"Every day I get up and look through the Forbes list of the richest people in America. If I'm not there, I go to work.","[work, day, america]",business
6,Norman Cousins,Government in the U.S. today is a senior partner in every business in the country.,"[today, government, partner]",business
7,Andre Maurois,The most important quality in a leader is that of being acknowledged as such. All leaders whose fitness is questioned are clearly lacking in force.,"[fitness, leader, quality]",business
8,Andre Maurois,Business is a combination of war and sport.,"[war, combination]",business
9,Jeff Rich,Never argue with a profit.,"[profit, never, argue]",business
10,Tom Allen,Family farms and small businesses are the backbone of our communities.,"[family, small, backbone]",business
11,Arnold H. Glasow,A consultant is someone who saves his client almost enough to pay his fee.,"[someone, enough, consultant]",business
12,Harry Emerson Fosdick,Don't simply retire from something; have something to retire to.,"[retire, something, simply]",business
13,Jerry Greenfield,Business can be a source of progressive change.,"[change, progressive, source]",business
14,Thomas J. Watson,Nothing so conclusively proves a man's ability to lead others as what he does from day to day to lead himself.,"[day, man, nothing]",business
15,Thomas J. Watson,"If you aren't playing well, the game isn't as much fun. When that happens I tell myself just to go out and play as I did when I was a kid.","[myself, fun, game]",business
16,Thomas J. Watson,"Whenever an individual or a business decides that success has been attained, progress stops.","[success, progress]",business
17,Andre Malraux,"To command is to serve, nothing more and nothing less.","[nothing, serve, command]",business
18,"Edward Whitacre, Jr.","No partnership between two independent companies, no matter how well run, can match the speed, effectiveness, responsiveness and efficiency of a solely owned company.","[company, efficiency]",business
19,John Greenleaf Whittier,"As a small businessperson, you have no greater leverage than the truth.","[truth, small, you]",business
20,Garet Garrett,Business is in itself a power.,"[power, itself]",business
21,A. C. Benson,"One's mind has a way of making itself up in the background, and it suddenly becomes clear what one means to do.","[mind, way, clear]",business
22,Evan Esar,"Definition of a Statistician: A man who believes figures don't lie, but admits than under analysis some of them won't stand up either.","[stand up, man, stand]",business
23,Terry Semel,Our new attitude is how can we put you in front of our customer.,"[attitude, customer, you]",business
24,Howard Hughes,"My father told me, never have partners.","[father, me, never]",business
25,Henry R. Luce,"Business, more than any other occupation, is a continual dealing with the future; it is a continual calculation, an instinctive exercise in foresight.","[future, exercise, occupation]",business
