,0,1,2,3
0,Joel Osteen,"See, when you drive home today, you've got a big windshield on the front of your car. And you've got a little bitty rearview mirror. And the reason the windshield is so large and the rearview mirror is so small is because what's happened in your past is not near as important as what's in your future.","[home, future, today]",car
1,Mario Lopez,"There's three things men always talk about - women, sports, and cars.","[women, sports, men]",car
2,Valentino Rossi,"Maybe the bike is more dangerous, but the passion for the car for me is second to the bike.","[passion, me, bike]",car
3,Dale Earnhardt,It's a never ending battle of making your cars better and also trying to be better yourself.,"[battle, yourself, trying]",car
4,Louis C. K.,Cars and cameras are the two things I let myself be materialistic about. I don't care about other stuff.,"[myself, care, two]",car
5,Elayne Boosler,"I am thankful the most important key in history was invented. It's not the key to your house, your car, your boat, your safety deposit box, your bike lock or your private community. It's the key to order, sanity, and peace of mind. The key is 'Delete.'","[peace, history, thankful]",car
6,Prince Philip,"When a man opens a car door for his wife, it's either a new car or a new wife.","[marriage, man, wife]",car
7,Jill Scott,"Heartbreak was the impetus to me writing poems and music in the first place. Over the years, I had my heart broken so badly that if I didn't find a way to get all the pain out, I was going to lose my mind. I was crazy! Like, wanting to slash tires and smash car windows. Crazy! I was so hurt that I had to write.","[music, heart, mind]",car
8,Alexandra Paul,The cars we drive say a lot about us.,"[drive, say, us]",car
9,J. Cole,"There was the time I bought three cars in the span of three or four weeks. It was crazy; it wasn't greedy. It was mine, my girl's, my mom's. I got Benzes for my ladies. But I felt crazy. You have to understand I come from a world where we're very modest. But that's not greedy. That's nice, right?","[time, mom, girl]",car
10,Luke Mably,I'm a typical guy. Driving cars and speed are really fun.,"[fun, driving, speed]",car
11,Ginni Rometty,"Every day I get to 'Think' and work on everything from digitizing electric grids so they can accommodate renewable energy and enable mass adoption of electric cars, helping major cities reduce congestion and pollution, to developing new micro-finance programs that help tiny businesses get started in markets such as Brazil, India, Africa.","[work, day, help]",car
12,George Best,"I spent a lot of money on booze, birds and fast cars. The rest I just squandered.","[money, birds, rest]",car
13,E. B. White,"Everything in life is somewhere else, and you get there in a car.","[life, you, everything]",car
14,Erma Bombeck,Never have more children than you have car windows.,"[funny, children, you]",car
15,David Byrne,"On a bike, being just slightly above pedestrian and car eye level, one gets a perfect view of the goings-on in one's own town.","[eye, perfect, bike]",car
16,Theodore Roosevelt,"A man who has never gone to school may steal from a freight car; but if he has a university education, he may steal the whole railroad.","[education, school, man]",car
17,Elon Musk,"When Henry Ford made cheap, reliable cars people said, 'Nah, what's wrong with a horse?' That was a huge bet he made, and it worked.","[business, horse, people]",car
18,River Phoenix,I don't want to die in a car accident. When I die it'll be a glorious day. It'll probably be a waterfall.,"[day, die, want]",car
19,Valentino Rossi,I race to win. If I am on the bike or in a car it will always be the same.,"[i am, win, bike]",car
20,Nicolas Cage,"One of the things that's interesting to me is I find things like caffeine and stunts actually relax me. When they're putting a bit of gel on my arm and lighting me on fire, or when I'm about to go into a high-speed car chase or rev a motorcycle up pretty fast, I find everything else around me slows down.","[fire, relax, motorcycle]",car
21,Ice T,"I'm just disillusioned with the hip-hop sound right now. It's too materialistic. You know, I'm the kind of guy ... I can't do that. If you track my movement, you'll never see a picture of me with any girl that wasn't mine, or my own car. My jewelry, my clothes. What kind of gangsta rapper has a stylist? A stylist?!","[girl, me, know]",car
22,Doug Larson,"If all the cars in the United States were placed end to end, it would probably be Labor Day Weekend.","[end, day, labor]",car
23,Kiran Ahluwalia,"I want a car that will last 10 years or longer because I totally hate the process of researching, shopping for a new car, and then haggling for the price. I wish I could just snap my fingers and my car is there.","[hate, shopping, wish]",car
24,Rudolf Diesel,"The automobile engine will come, and then I will consider my life's work complete.","[life, work, automobile]",car
25,Dudley Moore,The best car safety device is a rear-view mirror with a cop in it.,"[best, mirror, safety]",car
