,0,1,2,3
0,Oskar Schindler,"If you saw a dog going to be crushed under a car, wouldn't you help him?","[dog, help, you]",car
1,Ken Jennings,"If I start outsourcing all my navigation to a little talking box in my car, I'm sort of screwed. I'm going to lose my car in the parking lot every single time.","[time, start, talking]",car
2,Jessica Pare,"I like to sing around the bonfire, in my car and in the shower.","[shower, like, sing]",car
3,Guy Fieri,"There are races and then there are races. And without a doubt, the Indy 500 is the race that I've always wanted to attend. And now, to be driving the Corvette Pace Car... this is going to be unbelievable.","[doubt, driving, race]",car
4,Kylie Jenner,"I'm way flashier on Instagram and Snapchat because I feel like that's what people want to see, and that's I've always done, so I'm not going to stop. People want to see my cars and my purses. People love fashion. But that's so not me.","[love, people, me]",car
5,Melania Trump,"I don't have a nanny. I have a chef, and I have my assistant, and that's it. I do it myself. You know, those hours with your child are really important ones, even if it's just the two of you, being quiet in the car together.","[myself, together, chef]",car
6,June Singer,"Is it sufficient that you have learned to drive the car, or shall we look and see what is under the hood? Most people go through life without ever knowing.","[life, people, hood]",car
7,Joe Biden,"I know I'm not supposed to like muscle cars, but I like muscle cars.","[know, muscle, like]",car
8,Seth Shostak,"The fact that we can't easily foresee clues that would betray an intelligence a million millennia farther down the road suggests that we're like ants trying to discover humans. Ask yourself: Would ants ever recognize houses, cars, or fire hydrants as the work of advanced biology?","[work, intelligence, fire]",car
9,Mark-Paul Gosselaar,But my passion is racing cars. It's what I like to do in my off time.,"[time, passion, racing]",car
10,Fabrice Muamba,"Family and God - that is what's important. Money, cars, those are things that come and go.","[family, money, god]",car
11,Ellen Goodman,"Normal is getting dressed in clothes that you buy for work, driving through traffic in a car that you are still paying for, in order to get to a job that you need so you can pay for the clothes, car and the house that you leave empty all day in order to afford to live in it.","[work, day, job]",car
12,Manal al-Sharif,When women break that taboo and they're not afraid to drive that car by herself - that's it. Now she has the guts to speak up for herself and take action.,"[women, speak, action]",car
13,Adam Carolla,My first car was a motorcycle.,"[motorcycle, first]",car
14,David Alan Grier,Every little kid has always wanted to be a race car driver. This gets some of that out.,"[race, always, kid]",car
15,James Hillman,"The culture is going into a psychological depression. We are concerned about our place in the world, about being competitive: Will my children have as much as I have? Will I ever own my own home? How can I pay for a new car? Are immigrants taking away my white world?","[home, children, culture]",car
16,Sebastian Thrun,I'm really looking forward to a time when generations after us look back and say how ridiculous it was that humans were driving cars.,"[time, looking forward]",car
17,Afrika Bambaataa,"You want to buy cars and houses and castles, all of that's on you and how America has systematized your mind to be into materialism. Hip-hop ain't got nothing to do with that. I'm glad that anybody making money has picked themselves up - I just want them to give some of it back to the community.","[money, community, mind]",car
18,John Lydon,"Move to Italy. I mean it: they know about living in debt; they don't care. I stayed out there for five months while I was making a film called 'Order Of Death,' and they've really got it sussed. Nice cars. Sharp suits. Great food. Stroll into work at 10. Lunch from 12 till three. Leave work at five. That's living!","[work, death, food]",car
19,Tony Stewart,Get in the race car do what I do then go home. We don't have freedom to do anything anymore.,"[home, freedom, race]",car
20,Henry Kravis,"I was an economics major in college, and every summer after school, I would drive my car from California, from Claremont men's college at the time, to New York. And I worked on Wall Street.","[time, college, school]",car
21,Shirley Henderson,"It's such a stress always trying to get bigger houses and larger cars and better schools. Of course, parents want to give their children the best opportunities in life, but sometimes that can stifle them.","[life, best, children]",car
22,Kenny Scharf,"I always thought it would be a great thing to do an art carwash. So you can actually go and get your car washed, but while you're sitting around waiting you can walk in that hallway where you look at the cars going through the window, and that could be changing exhibitions.","[art, great, waiting]",car
23,Zygmunt Bauman,"Relationships, like cars, should undergo regular services to make sure they are still roadworthy.","[relationships, like, should]",car
24,Terry Wogan,"I've never wanted to drive a car fast for the sake of it. I mean, I like nice cars. I've got the Bentley, I've had a Lotus, I've had a Rolls-Royce and a few Jaguars, including an E-type. But I'm not somebody for driving tremendously fast.","[nice, driving, drive]",car
25,Al Unser,"I've got a great team of engineers behind this race car. I've got a great bunch of mechanics that make it reliable. This car is developed to go out there and be better than the Reynard, and I feel that it is.","[great, team, engineers]",car
