,0,1,2,3
0,Oprah Winfrey,Cheers to a new year and another chance for us to get it right.,"[new year's, year, new year]",chance
1,Desmond Tutu,Forgiveness says you are given another chance to make a new beginning.,"[forgiveness, beginning]",chance
2,Ricky Nelson,"To reminisce with my old friends, a chance to share some memories, and play our songs again.","[memories, old friends]",chance
3,Theodore Roosevelt,Far and away the best prize that life has to offer is the chance to work hard at work worth doing.,"[life, best, work]",chance
4,Victor Webster,I don't want to miss out on the chance of having a good time.,"[time, good]",chance
5,Garth Brooks,Just keep taking chances and having fun.,"[having fun, fun, taking]",chance
6,Jim Rohn,"If you are not willing to risk the unusual, you will have to settle for the ordinary.","[risk, settle, you]",chance
7,Mary Tyler Moore,"Take chances, make mistakes. That's how you grow. Pain nourishes your courage. You have to fail in order to practice being brave.","[courage, mistakes, pain]",chance
8,James Cash Penney,Growth is never by mere chance; it is the result of forces working together.,"[working together, growth]",chance
9,Duke Ellington,A problem is a chance for you to do your best.,"[best, do your best, problem]",chance
10,Wayne Brady,"My mom didn't let me play video games growing up, so now I do. Gaming gives me a chance to just let go, blow somebody up and fight somebody from another dimension. It's all escapism.","[mom, video games, fight]",chance
11,Gever Tulley,Persistence and resilience only come from having been given the chance to work though difficult problems.,"[work, persistence, problems]",chance
12,Paulo Coelho,You have to take risks. We will only understand the miracle of life fully when we allow the unexpected to happen.,"[life, unexpected, happen]",chance
13,Mark Zuckerberg,"The biggest risk is not taking any risk... In a world that changing really quickly, the only strategy that is guaranteed to fail is not taking risks.","[strategy, risk, world]",chance
14,Thomas Jefferson,"Our greatest happiness does not depend on the condition of life in which chance has placed us, but is always the result of a good conscience, good health, occupation, and freedom in all just pursuits.","[life, happiness, health]",chance
15,Winston Churchill,A lie gets halfway around the world before the truth has a chance to get its pants on.,"[truth, world, lie]",chance
16,Frances O'Grady,"All the evidence shows very clearly that if you are a member of a trade union you are likely to get better pay, more equal pay, better health and safety, more chance to get training, more chance to have conditions of work that help if you have caring responsibilities... the list goes on!","[work, health, caring]",chance
17,Carl Sagan,"Personally, I would be delighted if there were a life after death, especially if it permitted me to continue to learn about this world and others, if it gave me a chance to discover how history turns out.","[life, learning, death]",chance
18,Paul Auster,"The world is so unpredictable. Things happen suddenly, unexpectedly. We want to feel we are in control of our own existence. In some ways we are, in some ways we're not. We are ruled by the forces of chance and coincidence.","[world, control]",chance
19,Jack Lew,"I think there's no higher calling in terms of a career than public service, which is a chance to make a difference in people's lives and improve the world.","[service, public service]",chance
20,Lindsey Vonn,"If you go around being afraid, you're never going to enjoy life. You have only one chance, so you've got to have fun.","[life, fun, enjoy life]",chance
21,Robert Altman,Filmmaking is a chance to live many lifetimes.,"[filmmaking, live, movies]",chance
22,John F. Kennedy,There are risks and costs to action. But they are far less than the long range risks of comfortable inaction.,"[action, risks, inaction]",chance
23,Pierre Trudeau,"Luck, that's when preparation and opportunity meet.","[opportunity, preparation]",chance
24,Robert H. Schuller,It takes but one positive thought when given a chance to survive and thrive to overpower an entire army of negative thoughts.,"[positive, thoughts, thought]",chance
25,William Jennings Bryan,"Destiny is no matter of chance. It is a matter of choice. It is not a thing to be waited for, it is a thing to be achieved.","[future, destiny, choice]",chance
