,0,1,2,3
0,Richard Linklater,"It's luck that one thing works out and one doesn't, it's sort of happenstance.","[luck, thing, sort]",chance
1,George Vecsey,"The football playoffs feature one-off affairs, without bad feelings building from weekend to weekend. In addition, football uses platoons for offense and defense and kicking, so only the interior linemen have a chance to really get up close and personal with one another.","[football, building, bad]",chance
2,Mark McGwire,"I study pitchers. I visualize pitches. That gives me a better chance every time I step into the box. That doesn't mean I'm going to get a hit every game, but that's one of the reasons I've come a long way as a hitter.","[time, me, step]",chance
3,Howard Dean,"I have my warts. I sometimes say things that get me in trouble. In other words, I lead with my heart and not my head. That's the only chance we have against George Bush.","[heart, words, me]",chance
4,Orison Swett Marden,"Unless you have prepared yourself to profit by your chance, the opportunity will only make you ridiculous. A great occasion is valuable to you just in proportion as you have educated yourself to make use of it.","[great, opportunity, yourself]",chance
5,Nancy Astor,"In passing, also, I would like to say that the first time Adam had a chance he laid the blame on a woman.","[time, woman, blame]",chance
6,William Cowper,"A fool must now and then be right, by chance.","[fool, right, now]",chance
7,Will Cuppy,The Dodo never had a chance. He seems to have been invented for the sole purpose of becoming extinct and that was all he was good for.,"[good, purpose, never]",chance
8,Traian Basescu,I assure you I will not miss the chance to show you that you were right when you voted for me.,"[me, you, will]",chance
9,Kenny Baker,I started out Ice skating with 'Holiday On Ice' and just got offered the part of R2 by chance.,"[holiday, skating, ice]",chance
10,Gary Coleman,"I parody myself every chance I get. I try to make fun of myself and let people know that I'm a human being, and these things that have happened to me are real. I'm not just some cartoon who exists and suddenly doesn't exist.","[myself, fun, people]",chance
11,Patrick Swayze,"You can't be pregnant in leotards, and this is the last chance for us to get our bodies into the shape of concert dancers and capture it with the magic of film.","[magic, you, concert]",chance
12,John Pilger,The censorship is such on television in the U.S. that films like mine don't stand a chance.,"[censorship, stand]",chance
13,Charlie Daniels,"We didn't have a garage to rehearse in. We had to aggravate the folks in the house. But I got a chance to play in a beer joint, and that's how it started.","[beer, play, house]",chance
14,Sean Combs,"I got a chance to have my dream come true, and I wanted to make sure I made the decision as to when I dropped my last album. If I don't feel like this album is an incredible piece of work, then I'm cool with the albums I've done. I don't have to put out another album.","[work, cool, decision]",chance
15,Gerard Butler,I knew I'd just done one of the most amazing things that I will ever get a chance to do. Just to be part of a musical that's not your background and to pull it off and to think that we've done something that's really special.,"[amazing, think, special]",chance
16,Emeril Lagasse,"If somebody has a chance to put my food in their mouth, that tells the story.","[food, mouth, story]",chance
17,Bernard Cornwell,It's fun. I sit down every day and tell stories. Some folk would kill to get that chance.,"[day, fun, down]",chance
18,Bill Delahunt,This is a chance for me to listen and learn. There's no more important and rewarding part of my job.,"[job, me, learn]",chance
19,Rick Allen,"But the irony is that because the band isn't the focus any more, it allows me the chance to enjoy being a member of Def Leppard much more.","[focus, me, enjoy]",chance
20,Stuart Pearce,"But to me the bottom line is the more education you can give yourself, and the more preparation you can do, the less chance of failing.","[education, preparation, me]",chance
21,Tony Levin,"John was great to work with, and a lot of fun. I wish I'd had the chance to make more music with him, of course, and to get to know him better.","[music, work, great]",chance
22,Keith Jarrett,Musicians are always gigging and never have a chance to stop for a minute.,"[musicians, stop, always]",chance
23,Ayaan Hirsi Ali,They decided to let immigrants in and I am an immigrant. They gave us a chance to participate in this country's life and I took it.,"[life, i am, immigrants]",chance
24,Rebecca Harding Davis,"TO preach a sermon or edit a newspaper were the two things in life which I always felt I could do with credit to myself and benefit to the world, if I only had the chance.","[life, myself, world]",chance
25,Irving Babbitt,Anyone who thus looks up has some chance of becoming worthy to be looked up to in turn.,"[turn, looks, becoming]",chance
