,0,1,2,3
0,Jimmy Dean,"I can't change the direction of the wind, but I can adjust my sails to always reach my destination.","[inspirational, destination]",change
1,Nelson Mandela,Education is the most powerful weapon which you can use to change the world.,"[education, world]",change
2,Norman Vincent Peale,Change your thoughts and you change your world.,"[inspirational, thoughts]",change
3,Maya Angelou,"If you don't like something, change it. If you can't change it, change your attitude.","[attitude, you, something]",change
4,Harriet Tubman,"Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.","[strength, dreams, patience]",change
5,Malala Yousafzai,"Let us remember: One book, one pen, one child, and one teacher can change the world.","[inspirational, teacher]",change
6,Sarah Ban Breathnach,"New Year's Day. A fresh start. A new chapter in life waiting to be written. New questions to be asked, embraced, and loved. Answers to be discovered and then lived in this transformative year of delight and self-discovery. Today carve out a quiet interlude for yourself in which to dream, pen in hand. Only dreams give birth to change.","[life, new year's, dreams]",change
7,George Bernard Shaw,"Progress is impossible without change, and those who cannot change their minds cannot change anything.","[progress, impossible, minds]",change
8,Frederick Douglass,"If there is no struggle, there is no progress.","[progress, struggle]",change
9,Mahatma Gandhi,You must be the change you wish to see in the world.,"[world, wish, see]",change
10,John F. Kennedy,Change is the law of life. And those who look only to the past or present are certain to miss the future.,"[life, future, past]",change
11,Leo Buscaglia,Change is the end result of all true learning.,"[education, learning, end]",change
12,Nikos Kazantzakis,"Since we cannot change reality, let us change the eyes which see reality.","[eyes, reality, see]",change
13,Barack Obama,Change will not come if we wait for some other person or some other time. We are the ones we've been waiting for. We are the change that we seek.,"[time, waiting, wait]",change
14,Don Miguel Ruiz,"Always Do Your Best. Your best is going to change from moment to moment; it will be different when you are healthy as opposed to sick. Under any circumstance, simply do your best, and you will avoid self-judgment, self-abuse and regret.","[positive, best, regret]",change
15,William Pollard,"Without change there is no innovation, creativity, or incentive for improvement. Those who initiate change will have a better opportunity to manage the change that is inevitable.","[innovation, creativity]",change
16,Kyle Schmid,"This past year has been something else... it's opened my eyes to many things and many people. It's had its ups and downs and ins and outs. And I believe we've all been able to take something from that and grow in our own imparticular ways. We've over come obstacles, and set in motion opportunities that can change our own individual lives.","[eyes, past, obstacles]",change
17,William Arthur Ward,"Gratitude can transform common days into thanksgivings, turn routine jobs into joy, and change ordinary opportunities into blessings.","[gratitude, joy, thanksgiving]",change
18,Steve Jobs,"No one wants to die. Even people who want to go to heaven don't want to die to get there. And yet death is the destination we all share. No one has ever escaped it. And that is as it should be, because Death is very likely the single best invention of Life. It is Life's change agent. It clears out the old to make way for the new.","[life, best, death]",change
19,Ban Ki-moon,"Saving our planet, lifting people out of poverty, advancing economic growth... these are one and the same fight. We must connect the dots between climate change, water scarcity, energy shortages, global health, food security and women's empowerment. Solutions to one problem must be solutions for all.","[food, health, women]",change
20,William Arthur Ward,The pessimist complains about the wind; the optimist expects it to change; the realist adjusts the sails.,"[wisdom, wind, optimist]",change
21,Lewis B. Smedes,"Forgiving does not erase the bitter past. A healed memory is not a deleted memory. Instead, forgiving what we cannot forget creates a new way to remember. We change the memory of our past into a hope for our future.","[hope, future, moving on]",change
22,Soren Kierkegaard,"Prayer does not change God, but it changes him who prays.","[god, religion, prayer]",change
23,Lillian Hellman,People change and forget to tell each other.,"[relationship, people]",change
24,Mohammed bin Rashid Al Maktoum,"My theory on life is that life is beautiful. Life doesn't change. You have a day, and a night, and a month, and a year. We people change - we can be miserable or we can be happy. It's what you make of your life.","[life, happy, beautiful]",change
25,Winston Churchill,To improve is to change; to be perfect is to change often.,"[perfect, improve, often]",change
