,0,1,2,3
0,Alan Watts,"The only way to make sense out of change is to plunge into it, move with it, and join the dance.","[dance, way, move]",change
1,Walt Disney,Times and conditions change so rapidly that we must keep our aim constantly focused on the future.,"[future, aim, focused]",change
2,Viktor E. Frankl,When we are no longer able to change a situation - we are challenged to change ourselves.,"[situation, ourselves]",change
3,Malala Yousafzai,"The terrorists thought they would change my aims and stop my ambitions, but nothing changed in my life except this: weakness, fear and hopelessness died. Strength, power and courage were born.","[life, strength, courage]",change
4,Mitchell Baker,"I've learned that for many people, change is uncomfortable. Maybe they want to go through it, and they can see the benefit of it, but at a gut level, change is uncomfortable.","[people, people change, want]",change
5,Robert Anthony,"When you blame others, you give up your power to change.","[power, blame, you]",change
6,Margaret Mead,"Never doubt that a small group of thoughtful, committed citizens can change the world; indeed, it's the only thing that ever has.","[environmental, small]",change
7,Christopher McCandless,"So many people live within unhappy circumstances and yet will not take the initiative to change their situation because they are conditioned to a life of security, conformity, and conservation, all of which may appear to give one peace of mind, but in reality, nothing is more damaging to the adventurous spirit.","[life, peace, mind]",change
8,Nicholas Sparks,I don't know that love changes. People change. Circumstances change.,"[love, people, people change]",change
9,Jim Rohn,"If you don't like how things are, change it! You're not a tree.","[motivational, tree, you]",change
10,Margaret Mead,"A small group of thoughtful people could change the world. Indeed, it's the only thing that ever has.","[change the world, small]",change
11,William Arthur Ward,"Change, like sunshine, can be a friend or a foe, a blessing or a curse, a dawn or a dusk.","[sunshine, blessing, friend]",change
12,Elon Musk,"Some people don't like change, but you need to embrace change if the alternative is disaster.","[people, you, some people]",change
13,Stephen Covey,"Every human has four endowments - self awareness, conscience, independent will and creative imagination. These give us the ultimate human freedom... The power to choose, to respond, to change.","[freedom, power, imagination]",change
14,Hillary Clinton,"It is often when night looks darkest, it is often before the fever breaks that one senses the gathering momentum for change, when one feels that resurrection of hope in the midst of despair and apathy.","[hope, night, momentum]",change
15,Katharine Hepburn,"We are taught you must blame your father, your sisters, your brothers, the school, the teachers - but never blame yourself. It's never your fault. But it's always your fault, because if you wanted to change you're the one who has got to change.","[motivational, father, school]",change
16,John Boyd Orr,There can be no peace in the world so long as a large proportion of the population lack the necessities of life and believe that a change of the political and economic system will make them available. World peace must be based on world plenty.,"[life, peace, believe]",change
17,Kourtney Kardashian,"Motherhood has most definitely changed me and my life. It's so crazy how drastic even the small details change - in such an amazing way. Even silly things, like the fact that all of my pictures on my cell phone used to be of me at photo shoots - conceited, I know! - but now every single picture on my phone is of Mason.","[life, amazing, small]",change
18,Miranda Lambert,"My mom was always saying: 'Be whatever you want to be, but stick with it. Don't waver. Don't change who you are for anybody.'","[mom, want, you]",change
19,Mikhail Gorbachev,"We could only solve our problems by cooperating with other countries. It would have been paradoxical not to cooperate. And therefore we needed to put an end to the Iron Curtain, to change the nature of international relations, to rid them of ideological confrontation, and particularly to end the arms race.","[nature, end, problems]",change
20,Rupert Murdoch,The world is changing very fast. Big will not beat small anymore. It will be the fast beating the slow.,"[small, world, slow]",change
21,Victor Hugo,"Change your opinions, keep to your principles; change your leaves, keep intact your roots.","[roots, opinions, principles]",change
22,Carl Rogers,"In my early professional years I was asking the question: How can I treat, or cure, or change this person? Now I would phrase the question in this way: How can I provide a relationship which this person may use for his own personal growth?","[relationship, growth, treat]",change
23,Abraham Maslow,What is necessary to change a person is to change his awareness of himself.,"[awareness, person, himself]",change
24,Tom Brady,"We all have experiences in our lives that change us, and we all learn from people, like my dad, but at the end of the day, it's only us. And we're only responsible to make ourselves happy.","[happy, dad, end]",change
25,Brett Favre,Injuries obviously change the way you approach the game.,"[game, injuries, way]",change
