,0,1,2,3
0,Thomas S. Monson,Christmas is the spirit of giving without a thought of getting. It is happiness because we see joy in people. It is forgetting self and finding time for others. It is discarding the meaningless and stressing the true values.,"[happiness, time, joy]",christmas
1,Joel Osteen,"Christmas is the perfect time to celebrate the love of God and family and to create memories that will last forever. Jesus is God's perfect, indescribable gift. The amazing thing is that not only are we able to receive this gift, but we are able to share it with others on Christmas and every other day of the year.","[love, family, time]",christmas
2,Norman Vincent Peale,"Christmas waves a magic wand over this world, and behold, everything is softer and more beautiful.","[beautiful, world, magic]",christmas
3,Edna Ferber,Christmas isn't a season. It's a feeling.,"[season, feeling]",christmas
4,David Cameron,Christmas gives us the opportunity to pause and reflect on the important things around us - a time when we can look back on the year that has passed and prepare for the year ahead.,"[time, opportunity, year]",christmas
5,Winston Churchill,Christmas is a season not only of rejoicing but of reflection.,"[reflection, season, only]",christmas
6,Dale Evans,"Christmas, my child, is love in action. Every time we love, every time we give, it's Christmas.","[love, time, action]",christmas
7,Thomas S. Monson,"The spirit of Christmas is the spirit of love and of generosity and of goodness. It illuminates the picture window of the soul, and we look out upon the world's busy life and become more interested in people than in things.","[life, love, soul]",christmas
8,Roy L. Smith,He who has not Christmas in his heart will never find it under a tree.,"[heart, tree, find]",christmas
9,Dr. Seuss,"Maybe Christmas, the Grinch thought, doesn't come from a store.","[thought, store, maybe]",christmas
10,Pope Francis,"Christmas is joy, religious joy, an inner joy of light and peace.","[peace, light, joy]",christmas
11,Jesus Christ,"And know that I am with you always; yes, to the end of time.","[time, end, i am]",christmas
12,Calvin Coolidge,"Christmas is not a time nor a season, but a state of mind. To cherish peace and goodwill, to be plenteous in mercy, is to have the real spirit of Christmas.","[time, peace, mind]",christmas
13,Alexander Smith,Christmas is the day that holds all time together.,"[time, together, day]",christmas
14,Caroline Kennedy,"It's true, Christmas can feel like a lot of work, particularly for mothers. But when you look back on all the Christmases in your life, you'll find you've created family traditions and lasting memories. Those memories, good and bad, are really what help to keep a family together over the long haul.","[life, family, work]",christmas
15,Taylor Caldwell,Don't let the past steal your present. This is the message of Christmas: We are never alone.,"[alone, past, present]",christmas
16,Charles Dickens,"I will honor Christmas in my heart, and try to keep it all the year.","[heart, honor, year]",christmas
17,Pindar,"Every gift which is given, even though is be small, is in reality great, if it is given with affection.","[great, gift, small]",christmas
18,Pope Francis,"God never gives someone a gift they are not capable of receiving. If he gives us the gift of Christmas, it is because we all have the ability to understand and receive it.","[god, gift, someone]",christmas
19,Benjamin Franklin,A good conscience is a continual Christmas.,"[good, conscience]",christmas
20,Alice Cooper,The two most joyous times of the year are Christmas morning and the end of school.,"[morning, end, school]",christmas
21,Charles Dickens,"Happy, happy Christmas, that can win us back to the delusions of our childhood days, recall to the old man the pleasures of his youth, and transport the traveler back to his own fireside and quiet home!","[home, happy, childhood]",christmas
22,Freya Stark,"Christmas... is not an external event at all, but a piece of one's home that one carries in one's heart.","[home, heart, event]",christmas
23,George Carlin,The main reason Santa is so jolly is because he knows where all the bad girls live.,"[santa, live, reason]",christmas
24,B. C. Forbes,Christmas is a tonic for our souls. It moves us to think of others rather than of ourselves. It directs our thoughts to giving.,"[giving, thoughts, think]",christmas
25,Washington Irving,"Christmas is a season for kindling the fire for hospitality in the hall, the genial flame of charity in the heart.","[heart, charity, fire]",christmas
