,0,1,2,3
0,George Clooney,"On Christmas morning, before we could open our Christmas presents, we would go to this stranger's home and bring them presents. I remember helping clean the house up and putting up a tree. My father believed that you have a responsibility to look after everyone else.","[home, morning, father]",christmas
1,R. Kelly,"I gave a Christmas party last year - well, two Christmases ago - where I did a Sam Cooke show. I didn't perform as R. Kelly. I performed the Sam Cooke show from 1964, when he performed at the Copacabana.","[year, party, two]",christmas
2,Jhumpa Lahiri,"Almost any American can connect on some level to a family background of having come across some ocean. They say, 'My great-grandparents came from wherever... this is why we have this last name, why we do this thing at Christmas.' All the details get watered down but don't quite disappear.","[family, ocean, american]",christmas
3,Lewis Black,"Online, there's no time. It's always Christmas.","[time, always, online]",christmas
4,Lewis Black,"I like indoor Christmas trees. And I like people who decorate their homes with lights and all that crap. I think it's a healthy outlet for them. If they weren't covering their lawns with twinkling lights, they'd be doing something that was really, really creepy.","[people, healthy, lights]",christmas
5,Anne Lamott,"My mother was a not-too-devoted atheist. She went to Episcopal church on Christmas Eve every year, and that was mostly it.","[mother, year, she]",christmas
6,Tom Brokaw,"Sometime in the early Seventies, gender-free toys were briefly a popular idea. So at Christmas on the California beach in 1972, we downplayed the dolls with frilly dresses and loaded up Santa's sack with toy trucks and earth movers for our three daughters.","[santa, beach, earth]",christmas
7,Kourtney Kardashian,"Before Christmas, I host a party for our kids and all their friends. We love to make a mess while decorating gingerbread houses.","[love, friends, party]",christmas
8,Kourtney Kardashian,"My parents got me a sewing machine for Christmas during my senior year of high school. I made three pieces of clothing and had a fashion show at the end of the year, where we had to wear the clothes that we made. I took it to a whole new level; I made all my friends clothes.","[end, school, parents]",christmas
9,Blake Shelton,"The way my family always did Christmas was on Christmas Eve, it wasn't really centered around a dinner on Christmas Eve. It was more about keeping the kids calm. Sometime after dark is when we were going to open all the presents underneath the tree from Mom, Dad and the kids and everything - just the family presents was every Christmas Eve.","[family, mom, dad]",christmas
10,John Legend,I don't have a real recipe with measurements for my chicken stew. I just kind of make it up as I go. I made it for the first time one Christmas when I came home from college. It's guaranteed to cure a cold.,"[time, home, college]",christmas
11,Ellie Goulding,Christmas in L.A. is weird. There's no snow. It's not even cold.,"[snow, weird, cold]",christmas
12,Victoria Osteen,"We should celebrate Christmas throughout the year, but I believe the whole concept of giving was the basis of Christmas, that it was a charitable, you know, giving, and I think we got carried away with giving.","[giving, believe, celebrate]",christmas
13,Nikki Reed,"If I'm getting on an airplane or anywhere, really, I have a lunch box and stuff. It's a running joke with my friends and family - everyone gives me lunch boxes for Christmas.","[family, friends and family]",christmas
14,Joan Didion,It kills me when people talk about California hedonism. Anybody who talks about California hedonism has never spent a Christmas in Sacramento.,"[people, me, california]",christmas
15,Peter Dinklage,I was once part of a Christmas cabaret. I sang 'I Saw Mommy Kissing Santa Claus.' I tap-danced. I had a ten-gallon hat. It was quite absurd.,"[santa, santa claus, hat]",christmas
16,Chris Evans,"For a long time all I wanted for Christmas were books about outdoor survival. I was convinced that the woods were calling me. I camped a lot, I took classes. At 18, I told myself if I don't live in the woods by myself by the time I'm 25, I have failed.","[time, myself, survival]",christmas
17,Ben Stein,"I am a Jew, and every single one of my ancestors was Jewish. And it does not bother me even a little bit when people call those beautiful lit up, bejeweled trees Christmas trees. I don't feel threatened. I don't feel discriminated against.","[beautiful, i am, people]",christmas
18,Ben Stein,"It doesn't bother me a bit when people say, 'Merry Christmas' to me. I don't think they are slighting me or getting ready to put me in a ghetto. In fact, I kind of like it.","[people, me, think]",christmas
19,Michio Kaku,"I'm a physicist, and we have something called Moore's Law, which says computer power doubles every 18 months. So every Christmas, we more or less assume that our toys and appliances are more or less twice as powerful as the previous Christmas.","[power, law, powerful]",christmas
20,Julian Baggini,"In my experience, those who make the biggest fuss about not spending much at Christmas are generally the ones who buy what they want and eat where they want 12 months a year.","[experience, year, want]",christmas
21,Julian Baggini,"Christmas is a rare occasion when we are reminded that we have obligations to people we did not choose to be related to, and that love is not just a spontaneous feeling but something we sometimes really have to work at, with people we may not even much like.","[love, work, love is]",christmas
22,Jeremy Corbyn,"I still have the Triumph Palm Beach I was given for Christmas when I was 11. By today's standards, it is heavy and slow, but was my pride and joy at the time.","[time, joy, today]",christmas
23,Sean Bean,"When I first started shooting 'Sharpe,' back in the early 1990s, I'd kiss my two elder daughters goodbye at the end of August - Evie wasn't even born then - and I wouldn't see them again until Christmas. That was tough. They were hard times.","[end, goodbye, kiss]",christmas
24,Kendall Jenner,I would literally sit at home and have my friends take pictures of me on my little Canon camera that my mom gave me for Christmas.,"[home, mom, friends]",christmas
25,Danny Meyer,I grew up in a reform Jewish family in St. Louis. Our idea of Judaism was no bar mitzvahs and a Christmas tree that had a skirt at the bottom embroidered with the names of my grandparents.,"[family, tree, grandparents]",christmas
