,0,1,2,3
0,Plato,Wise men speak because they have something to say; Fools because they have to say something.,"[wise, men, speak]",communication
1,Yehuda Berg,"Words are singularly the most powerful force available to humanity. We can choose to use this force constructively with words of encouragement, or destructively using words of despair. Words have energy and power with the ability to help, to heal, to hinder, to hurt, to harm, to humiliate and to humble.","[power, humble, humanity]",communication
2,Iyanla Vanzant,"In my deepest, darkest moments, what really got me through was a prayer. Sometimes my prayer was 'Help me.' Sometimes a prayer was 'Thank you.' What I've discovered is that intimate connection and communication with my creator will always get me through because I know my support, my help, is just a prayer away.","[faith, prayer, thank you]",communication
3,William Shakespeare,Brevity is the soul of wit.,"[soul, wit, brevity]",communication
4,Tony Robbins,"To effectively communicate, we must realize that we are all different in the way we perceive the world and use this understanding as a guide to our communication with others.","[world, understanding, way]",communication
5,George Bernard Shaw,The single biggest problem in communication is the illusion that it has taken place.,"[problem, illusion, place]",communication
6,Epictetus,We have two ears and one mouth so that we can listen twice as much as we speak.,"[speak, mouth, listen]",communication
7,Peter Drucker,The most important thing in communication is hearing what isn't said.,"[important, said]",communication
8,Paul J. Meyer,Communication - the human connection - is the key to personal and career success.,"[success, career, connection]",communication
9,Stephen Covey,Trust is the glue of life. It's the most essential ingredient in effective communication. It's the foundational principle that holds all relationships.,"[life, trust, relationships]",communication
10,Voltaire,To hold a pen is to be at war.,"[war, pen, hold]",communication
11,Mireille Guiliano,"Intelligence, knowledge or experience are important and might get you a job, but strong communication skills are what will get you promoted.","[knowledge, experience]",communication
12,Harry S Truman,"If you can't convince them, confuse them.","[you, convince, confuse]",communication
13,Nathaniel Hawthorne,"Words - so innocent and powerless as they are, as standing in a dictionary, how potent for good and evil they become in the hands of one who knows how to combine them.","[good, evil, good and evil]",communication
14,Charles Dickens,Electric communication will never be a substitute for the face of someone who with their soul encourages another person to be brave and true.,"[soul, brave, face]",communication
15,Joel Osteen,"You can change your world by changing your words... Remember, death and life are in the power of the tongue.","[life, change, death]",communication
16,Bill Gates,"I think it's fair to say that personal computers have become the most empowering tool we've ever created. They're tools of communication, they're tools of creativity, and they can be shaped by their user.","[creativity, computers, think]",communication
17,Charles Baudelaire,"It is by universal misunderstanding that all agree. For if, by ill luck, people understood each other, they would never agree.","[luck, people, agree]",communication
18,Christopher Morley,There is only one rule for being a good talker - learn to listen.,"[good, learn, listen]",communication
19,Rollo May,"Communication leads to community, that is, to understanding, intimacy and mutual valuing.","[community, understanding]",communication
20,Jim Rohn,"Take advantage of every opportunity to practice your communication skills so that when important occasions arise, you will have the gift, the style, the sharpness, the clarity, and the emotions to affect other people.","[opportunity, gift, style]",communication
21,James Cash Penney,"The art of effective listening is essential to clear communication, and clear communication is necessary to management success.","[success, art, management]",communication
22,James Humes,The art of communication is the language of leadership.,"[leadership, art, language]",communication
23,Philip K. Dick,"The basic tool for the manipulation of reality is the manipulation of words. If you can control the meaning of words, you can control the people who must use the words.","[people, reality, words]",communication
24,Anne Morrow Lindbergh,"Good communication is just as stimulating as black coffee, and just as hard to sleep after.","[good, sleep, coffee]",communication
25,Gustave Flaubert,The art of writing is the art of discovering what you believe.,"[art, believe, writing]",communication
