,0,1,2,3
0,David Cronenberg,"The filmmaking process is a very personal one to me, I mean it really is a personal kind of communication. It's not as though its a study of fear or any of that stuff.","[fear, me, filmmaking]",communication
1,Marc Garneau,"Canada's a huge country, so to be able to unite the country through communication satellite technology or to be able to observe it through remote sensing technology from space is a natural fit for a country like Canada.","[technology, space, canada]",communication
2,Jo Ann Davis,"As our country increasingly relies on electronic information storage and communication, it is imperative that our Government amend our information security laws accordingly.","[government, security]",communication
3,Marshall McLuhan,Societies have always been shaped more by the nature of the media by which men communicate than by the content of the communication.,"[nature, men, media]",communication
4,John Sweeney,The church acknowledges some Scientologists choose to sever communications with family members who leave. The church says it is a fundamental human right to cease communication with someone. It adds disconnection is used against expelled members and those who attack the church.,"[family, choose, someone]",communication
5,Tony Campolo,The first reason for the preponderant influence of those Evangelicals who define themselves as advocates of Religious Right theological and political ideologies is that they have both the financial means and technological know-how to make widespread use of modern electronic forms of communication.,"[influence, political]",communication
6,Naomi Judd,It's so important for those living with chronic pain to establish good communication with both their healthcare professionals and caregivers. Clear communication about pain is vital to receiving proper diagnosis and effective treatment.,"[good, pain, living]",communication
7,Quentin Bryce,"The bonds that women share around the world, wherever we come from, they're very powerful and they have an ease of communication because we share those very important things of our families, our mothering, of improving opportunities for the next generation.","[women, opportunities]",communication
8,Ben Horowitz,"With communication technology in general, there's a kind of certain critical mass of people. Once you get to 15% of the world's entire population using one communication technology, that's a big deal. It's beyond the theoretical at this point. The people who think it's a fad have probably not been paying that much attention.","[technology, world, people]",communication
9,Evgeny Morozov,The idea that the Internet favors the oppressed rather than the oppressor is marred by what I call cyber-utopianism: a naive belief in the emancipatory nature of online communication that rests on a stubborn refusal to admit its downside.,"[nature, internet, belief]",communication
10,Sylvester Stallone,"I try to combine in my paintings cinematic feeling, emotional feeling, and sometimes actually writing on the page to combine all the different elements of communication.","[writing, page, try]",communication
11,Ben Horowitz,"As a company grows, communication becomes its biggest challenge.","[challenge, company, grows]",communication
12,John le Carre,"I think, increasingly, despite what we are being told is an ever more open world of communication, there is a terrible alienation in the ordinary man between what he is being told and what he secretly believes.","[man, world, think]",communication
13,Tracy Morgan,People live too much of their lives on email or the Internet or text messages these days. We're losing all of our communication skills.,"[losing, internet, people]",communication
14,Clive Sinclair,"Copywriting cuts the communication cord between word and feeling. By offering instant gratification, it atrophies more subtle emotions.","[emotions, feeling, word]",communication
15,Doug Aitken,"Communication is paramount, and what medium or what format you utilize should be a non-issue. In some respects, that has created a barrier for new media, especially web new media, because often times maybe the media itself comes before the concept, before the ideas, and ends up navigating or dictating the outcome.","[media, ideas, you]",communication
16,Story Musgrave,"If we ever start communicating with living creatures from other planets, the number one priority is, how are you going to communicate information? Even between different cultures here on Earth, you get into communication problems.","[problems, living, earth]",communication
17,Hideki Tojo,"However, even during the preparations for action, we laid our plans in such a manner that should there be progress through diplomatic negotiation, we would be well prepared to cancel operations at the latest moment that communication technology would have permitted.","[technology, progress, moment]",communication
18,Benjamin E. Mays,"Many well-meaning intelligent people have argued since the May 17, 1954, decision of the United States Supreme Court outlawing segregation in the public schools that communication between the races has broken down.","[decision, people, broken]",communication
19,Shepard Fairey,"The way I make art - the way a lot of people make art - is as an extension of language and communication, where references are incredibly important.","[art, language, people]",communication
20,Ethan Zuckerman,A common language is a first step towards communication across cultural boundaries.,"[language, step, first step]",communication
21,Jessamyn West,There are two barriers that often prevent communication between the young and their elders. The first is middle-aged forgetfulness of the fact that they themselves are no longer young. The second is youthful ignorance of the fact that the middle aged are still alive.,"[ignorance, young, elders]",communication
22,Randa Abdel-Fattah,"I wasn't rebellious. Other friends had far stricter parents and where there wasn't a relationship of respect and communication, they were usually the opposite; kids go to the other extreme.","[relationship, respect]",communication
23,Bertolt Brecht,Society cannot share a common communication system so long as it is split into warring factions.,"[society, long, system]",communication
24,Bill Gates,"I'm a great believer that any tool that enhances communication has profound effects in terms of how people can learn from each other, and how they can achieve the kind of freedoms that they're interested in.","[great, people, learn]",communication
25,Blaise Pascal,Eloquence is a painting of the thoughts.,"[thoughts, painting]",communication
