,0,1,2,3
0,Elayne Boosler,"I am thankful the most important key in history was invented. It's not the key to your house, your car, your boat, your safety deposit box, your bike lock or your private community. It's the key to order, sanity, and peace of mind. The key is 'Delete.'","[peace, history, thankful]",computers
1,Peter Drucker,The new information technology... Internet and e-mail... have practically eliminated the physical costs of communications.,"[technology, internet]",computers
2,Noam Chomsky,"The internet could be a very positive step towards education, organisation and participation in a meaningful society.","[positive, education, society]",computers
3,Emo Philips,"A computer once beat me at chess, but it was no match for me at kick boxing.","[me, chess, boxing]",computers
4,Norman Ralph Augustine,One of the most feared expressions in modern times is 'The computer is down.',"[down, modern, most]",computers
5,Pablo Picasso,Computers are useless. They can only give you answers.,"[you, answers, useless]",computers
6,Bill Gates,"I think it's fair to say that personal computers have become the most empowering tool we've ever created. They're tools of communication, they're tools of creativity, and they can be shaped by their user.","[communication, creativity]",computers
7,Edsger Dijkstra,Computer science is no more about computers than astronomy is about telescopes.,"[science, computer science]",computers
8,Prince,"Anyway, all these computers and digital gadgets are no good. They just fill your head with numbers and that can't be good for you.","[good, digital, you]",computers
9,Tony Hawk,"I was nerdy and really into computers. I was a good student until my senior year, when I started traveling and had a lot of absences.","[good, year, student]",computers
10,Stephen Hawking,I regard the brain as a computer which will stop working when its components fail. There is no heaven or afterlife for broken down computers; that is a fairy story for people afraid of the dark.,"[brain, people, dark]",computers
11,Thabo Mbeki,"Many of our own people here in this country do not ask about computers, telephones and television sets. They ask - when will we get a road to our village.","[road, people, television]",computers
12,John F. Kennedy,Man is still the most extraordinary computer of all.,"[man, extraordinary, most]",computers
13,Sarah Lacy,"As smartphones have allowed us to have our computers, emails, social media feeds, and a full surveillance system in our pockets at all times, stories of the law enforcement's unease with that have been popping up in the press. And of course, the ones that become viral videos aren't exactly flattering for law enforcement.","[social media, media, law]",computers
14,John Lasseter,Computers don't create computer animation any more than a pencil creates pencil animation. What creates computer animation is the artist.,"[artist, create, pencil]",computers
15,Dave Grohl,"Because you have things like 'American Idol' and you've got radio stations that play music made entirely by computers, it's easy to forget there are bands with actual people playing actual instruments that rock.","[music, people, american]",computers
16,Doug Larson,"Home computers are being called upon to perform many new functions, including the consumption of homework formerly eaten by the dog.","[home, dog, homework]",computers
17,Paul R. Ehrlich,"To err is human, but to really foul things up you need a computer.","[you, need, human]",computers
18,Eugene Jarvis,The only legitimate use of a computer is to play games.,"[play, computer, games]",computers
19,Alan Turing,The idea behind digital computers may be explained by saying that these machines are intended to carry out any operations which could be done by a human computer.,"[digital, may, done]",computers
20,George Nethercutt,"From computers to information technology to airplanes, it has been America's unique blend of republican government and free-market capitalism that has allowed us to surpass all other nations in history.","[technology, history, america]",computers
21,Peter Drucker,"Few companies that installed computers to reduce the employment of clerks have realized their expectations... They now need more, and more expensive clerks even though they call them 'operators' or 'programmers.'","[expectations, need]",computers
22,Tracey Ullman,"Why does everyone think the future is space helmets, silver foil, and talking like computers, like a bad episode of Star Trek?","[funny, future, space]",computers
23,Emilio Estevez,We've lost touch and allowed technology to take precedence over organic nature. But let's not forget that those microchips in our computers came from elements of the earth.,"[nature, technology, earth]",computers
24,Katherine Jenkins,"Beatbullying's 'The Big March 2012' is such a brilliant campaign and I am very proud to be a part of it. I have been a victim of cyber bullying myself and I know firsthand just how hurtful it can be. People think that they can hide behind computers and send nasty and hurtful comments to people, and this is wrong.","[myself, i am, bullying]",computers
25,Sunny Mabrey,"I think of myself as a Hollywood hillbilly, but I'm sick of all these questions people ask about Alabama. 'Do you have an outhouse?' 'Is there a lot of inbreeding in your family?' They think all Southerners don't have computers and TV sets and that we're all still living in 1862.","[family, myself, people]",computers
