,0,1,2,3
0,Bill Budge,"I started on an Apple II, which I had bought at the very end of 1978 for half of my annual income. I made $4,500 a year, and I spent half of it on the computer.","[end, year, apple]",computers
1,Tom Chatfield,"If computers remain far worse than us at image recognition, a certain over-confident combination of man and machine can elsewhere take inaccuracy to a whole new level.","[man, recognition, new]",computers
2,Alison Owen,"Movies began as a communal experience. Even though we now watch them as DVD's, sometimes alone on our computers, mostly in the history of cinema it has been a communal experience.","[history, experience, alone]",computers
3,Calvin Harris,"Right at the start, when I was about 13 or 14, I only had an Amiga 500 Plus running a bit of tracker software called OctaMED. My brother was big into his computers, and when he moved up to a proper PC, I took charge of the Amiga.","[brother, start, big]",computers
4,Miguel de Icaza,Every piece of software written today is likely going to infringe on someone else's patent.,"[today, someone, software]",computers
5,Timothy Murphy,"While the recent addition of the National Guard providing a support role manning computers and cameras has allowed more Border Patrol agents to work the field, more agents are still needed.","[work, support, role]",computers
6,John Maeda,I don't really love computers.,"[love, really]",computers
7,Carrie-Anne Moss,I'm a very simple person. I don't use computers.,"[simple, person]",computers
8,Stephen Root,"People are on their computers more than watching TV, because you can only watch voyeur TV, which is basically what reality shows are, for so long.","[people, reality, long]",computers
9,Kent Conrad,Access to computers and the Internet has become a basic need for education in our society.,"[education, society, internet]",computers
10,Jonathan Shapiro,"Gee, I am a complete Luddite when it comes to computers, I can barely log on!","[i am, i can, log]",computers
11,Dallas Roberts,I like computers as a tool. I like them as an instrument. I think they're just pretty.,"[think, pretty, like]",computers
12,Eric Allin Cornell,"After a semester or so, my infatuation with computers burnt out as quickly as it had begun.","[semester, infatuation]",computers
13,Niklaus Wirth,"In the practical world of computing, it is rather uncommon that a program, once it performs correctly and satisfactorily, remains unchanged forever.","[world, forever, practical]",computers
14,Dennis Ritchie,"My work was fairly theoretical. It was in recursive function theory. And in particular, hierarchies of functions in terms of computational complexity. I got involved in real computers and programming mainly by being - well, I was interested even as I came to graduate school.","[work, school, real]",computers
15,Gary Paulsen,I think that what computers have done is just disastrous to the language.,"[language, think, done]",computers
16,George Stephen,"I got up with my wife, I sat down at the computer when she went to work, and I didn't stop until she got home.","[work, home, wife]",computers
17,Issey Miyake,"Even when I work with computers, with high technology, I always try to put in the touch of the hand.","[work, technology, try]",computers
18,Terrance Hayes,"We can't really know ourselves because we have not created ourselves. But we can know computers, we can know cars, because anything that we made, we can understand.","[know, understand, ourselves]",computers
19,Robert B. Laughlin,"It is an interesting fact that during my tour I was never allowed access to computers, radios, or anything else that I might damage through curiosity, or perhaps something more sinister.","[curiosity, interesting]",computers
20,John Shadegg,"From cell phones to computers, quality is improving and costs are shrinking as companies fight to offer the public the best product at the best price. But this philosophy is sadly missing from our health-care insurance system.","[best, quality, philosophy]",computers
21,Ann McLane Kuster,"We've got to be delivering young people, and people that are getting reeducated, people who are getting reemployed, into the marketplace with skills to work together, to understand computers, and to be able to be a part of that 21st century economy.","[work, together, people]",computers
22,Robert Mankoff,"I'm pretty adept with computers and Photoshop for my blog, and I found my style with a conversational voice and an image-ready column.","[style, voice, pretty]",computers
23,Robert Moog,I happen to think that computers are the most important thing to happen to musicians since the invention of cat-gut which was a long time ago.,"[time, musicians, happen]",computers
24,Richard Dooling,"Over and over again, financial experts and wonkish talking heads endeavor to explain these mysterious, 'toxic' financial instruments to us lay folk. Over and over, they ignobly fail, because we all know that no one understands credit default obligations and derivatives, except perhaps Mr. Buffett and the computers who created them.","[financial, know, credit]",computers
25,Richard Dooling,"I'm always working. I don't really set limits. I tend to go in bursts. And in between, I'm doing my taxes, answering the phone, and all those kinds of things. I waste a lot of time. Computers take a lot of time. I love computers.","[love, time, limits]",computers
