,0,1,2,3
0,Vanessa Hudgens,"Being cool is being your own self, not doing something that someone else is telling you to do.","[self, doing, someone]",cool
1,Deng Xiaoping,Keep a cool head and maintain a low profile. Never take the lead - but aim to do something big.,"[aim, something, head]",cool
2,Rickie Fowler,"I don't want to be just known for the way I dress. I want to be known for how I play, how I treat people, and how I am as a role model. I don't just want to be, 'He dresses cool' or 'He dresses crazy.' You're going to have lovers and haters. I want my golf game to be the main thing.","[golf, i am, crazy]",cool
3,Langston Hughes,"Like a welcome summer rain, humor may suddenly cleanse and cool the earth, the air and you.","[rain, humor, welcome]",cool
4,Leonardo DiCaprio,"I'm not the kind of person who tries to be cool or trendy, I'm definitely an individual.","[kind, individual, person]",cool
5,Walt Whitman,Let your soul stand cool and composed before a million universes.,"[soul, stand, million]",cool
6,Prince,"Music is music, ultimately. If it makes you feel good, cool.","[music, good, feel good]",cool
7,Brendon Urie,It's cool to be different and just be who you are and shock people in a good way.,"[good, people, be different]",cool
8,Andy Cohen,"The Internet is for haters. Everyone wants to knock somebody down, but it's cool.","[internet, down, haters]",cool
9,Joyce Meyer,"It's so important to realize that every time you get upset, it drains your emotional energy. Losing your cool makes you tired. Getting angry a lot messes with your health.","[time, health, losing]",cool
10,Richard M. Nixon,"I can take it. The tougher it gets, the cooler I get.","[i can, cooler, get]",cool
11,Busta Rhymes,I want you to see that I'm looking. Look at me look at you. I'm cool with that.,"[looking, me, want]",cool
12,George Fox,Be still and cool in thine own mind and spirit.,"[mind, spirit, own]",cool
13,Steven Adler,"Nothing is cooler and more attractive than a big comeback, and that'll be me.","[me, nothing, comeback]",cool
14,Stephen Chbosky,"When you think back to your first kiss, your hair is perfect and she was wearing a cool outfit. We remember it with restraint and we remember it with style. We remember it as idealistically as you can think.","[style, kiss, hair]",cool
15,Snoop Dogg,"What people don't understand is joining a gang ain't bad, it's cool, it's fine. When you in the hood, joining a gang it's cool because all your friends are in the gang, all your family's in the gang. We're not just killing people every night, we're just hanging out, having a good time.","[family, time, good]",cool
16,Michelle Obama,"I never cut class. I loved getting A's, I liked being smart. I liked being on time. I thought being smart is cooler than anything in the world.","[time, smart, world]",cool
17,Adam Brody,"And in a world without heroes, as the movie trailer voice-over guy might say, the slightly awkward can be slightly cool.","[world, heroes, say]",cool
18,Michael Phelps,"I think sometimes I guess you see records, say you want to get there and use that as motivation. In a way, it's kind of cool if there is a possibility to rewrite history and be up there with the greats of Olympic history.","[history, motivation, want]",cool
19,Herbie Hancock,"The cool thing is that jazz is really a wonderful example of the great characteristics of Buddhism and great characteristics of the human spirit. Because in jazz we share, we listen to each other, we respect each other, we are creating in the moment. At our best, we're non-judgmental.","[best, respect, great]",cool
20,F. Sionil Jose,"November is auspicious in so many parts of the country: the rice harvest is already in, the weather starts to cool, and the festive glow which precedes Christmas has began to brighten the landscape.","[christmas, weather]",cool
21,J. Cole,"Rhyme patterns are nothing without meanings to the words. A lot of rappers can do those flows, but the raps aren't really about anything - which is cool sometimes, but to have the flow and the message is one of my favorite things.","[words, nothing, flow]",cool
22,Seann William Scott,"I'm cool with the way I look, I'm not an ugly dog, but I don't see myself as a stud or anything.","[myself, dog, ugly]",cool
23,Quentin Crisp,Manners are love in a cool climate.,"[love, manners, climate]",cool
24,Trent Reznor,"I wanted to escape Small Town U.S.A. To dismiss the boundaries, to explore. My life experience came from watching movies, TV, and reading books and magazines. When your culture comes from watching TV everyday, you're bombarded with images of things that seem cool, places that seem interesting, people who have jobs and careers and opportunities.","[life, experience, culture]",cool
25,Tony Dungy,"People look at me and see a calm, cool guy on the sidelines and I want them to know that my Christian faith affects my coaching and everything I do.","[faith, calm, people]",cool
