,0,1,2,3
0,Rachel Nichols,"How come foreign accents are so sexy? If I say, 'I'm going to the store,' it sounds boring, benign and rudimentary. But if it's said with an accent, it sounds fundamentally cool.","[sexy, said, boring]",cool
1,Rachel Nichols,"Short boots are cool, in my humble opinion. They say, 'Hey! Winter is over, but summer hasn't yet arrived - so enjoy this halfway point!'","[winter, humble, summer]",cool
2,Tim Kaine,"I have a sort of Catholic-slash-Calvinist view of human nature, but every day I meet somebody who is doing cool things. So people get you out of your solitude and do things that exceed your expectations every day.","[nature, day, people]",cool
3,Jill Soloway,"I love the Army-Navy surplus store Surplus Value Center. They have really good long underwear and multicolored bandanas, cool camo jackets, and really, really scary-looking knives. If you're into that sort of thing.","[love, good, value]",cool
4,Jill Soloway,"For clothes, I like this little store on Fountain, Matrushka Construction. Beth Ann Whittaker and Laura Howe make amazing things. You can get a designer skirt with cool embroidery for 40 bucks instead of $400 or $4,000.","[amazing, construction, you]",cool
5,Roxane Gay,"Pink is my favourite colour. I used to say my favourite colour was black to be cool, but it is pink - all shades of pink. If I have an accessory, it is probably pink.","[black, pink, say]",cool
6,Sarah Parcak,"I try to tell a lot of stories to make my students aware that the world is a very cool place with many problems that need solving, and that they all can help solve them.","[help, world, problems]",cool
7,Jennifer Garner,"In my teens, I was never part of the cool crowd.","[never, crowd, part]",cool
8,Christie Brinkley,I remember really loving the CoverGirl ads when I was younger - there was something very cool about how they always put the girls in white. It looked so clean.,"[remember, clean, something]",cool
9,Johnny Weir,"I suppose being fierce is a very good thing, and a very cool thing. But more than fierce, I think I'm a strong person and a strong individual. And that's what I take with me every day.","[good, strong, day]",cool
10,Amanda Seyfried,"The funny thing is, the girls that I'm always up against for roles are pretty nice and cool, like Emma Watson. She's awesome.","[funny, she, nice]",cool
11,Jim Carrey,Morgan Freeman is so class. He's so cool. He's so scary.,"[class, scary, he]",cool
12,Channing Tatum,"I think all jocks have a sensitive side. It's just, will they show it to anybody? Will they let their guard down and stop being tough and the cool jock guy around their friends, or just relax? I don't know if it's best to say opening up, but just relax and really say what you're actually thinking, and not what you think people want to hear.","[best, relax, thinking]",cool
13,Fiona Apple,There aren't many poster children for cool angst. Everybody thinks it's cool if you're the bad girl.,"[children, girl, you]",cool
14,Lenny Kravitz,"People see my photos and think I labor over my image and I'm this cool, brooding artist. But I'm just having fun with it.","[having fun, fun, people]",cool
15,Lenny Kravitz,"For the last few years, it's been so chic for everybody to be miserable. Like if you're in with the cool crowd, you can't be happy.","[happy, be happy, miserable]",cool
16,Adlai E. Stevenson,"To act coolly, intelligently and prudently in perilous circumstances is the test of a man - and also a nation.","[man, circumstances, test]",cool
17,Dave Chappelle,I'm cool with failing so long as I know that there are people around me that love me unconditionally.,"[love, people, me]",cool
18,Cher,"Some years I'm the coolest thing that ever happened, and then the next year everyone's so over me, and I'm just so past my sell date.","[past, year, me]",cool
19,Kelly Clarkson,"I'm cute - and God I hate that. Because that's not cool. I'm like your niece, and nobody wants to date their niece. It's the chubby cheeks. The whole reason people voted for me on American Idol is because I'm an everyday, normal girl.","[god, hate, cute]",cool
20,Chris Martin,I've never been cool and I don't really care about being cool. It's just an awful lot of time and hair gel wasted.,"[time, hair, care]",cool
21,Isla Fisher,"All I know is that I've ruled out wearing fairy wings. When I was nine I wanted to get married in fairy wings, and now I realize that's not cool anymore.","[wings, know, realize]",cool
22,Patricia Heaton,"Some people are cool with the fact that their bodies bear witness to this great thing they produced, their children, and I understand that. But on a personal level, it makes me feel better that my breasts are not down to my knees when I'm undressed in front of my husband.","[children, great, people]",cool
23,Barbara Kruger,"Prominence is cool, but when the delusion kicks in it can be a drag. Especially if you choose to surround yourself with friends and not acolytes.","[surround yourself, friends]",cool
24,Bill Watterson,"It seems like once people grow up, they have no idea what's cool.","[people, grow, grow up]",cool
25,Giada De Laurentiis,"These days it's cool to be ethnic and to be different, but when I was a kid, it was not cool - at all. My friends would come over and my mom would make crepes with eggs, stuffed with mozzarella cheese, tomatoes and spinach. And they'd be like, 'What is this?'","[mom, friends, cheese]",cool
