,0,1,2,3
0,Lao Tzu,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.","[love, strength, loved]",courage
1,Winston Churchill,"Success is not final, failure is not fatal: it is the courage to continue that counts.","[success, failure, final]",courage
2,Steve Jobs,"Your time is limited, so don't waste it living someone else's life. Don't be trapped by dogma - which is living with the results of other people's thinking. Don't let the noise of others' opinions drown out your own inner voice. And most important, have the courage to follow your heart and intuition.","[life, time, heart]",courage
3,Eleanor Roosevelt,"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I lived through this horror. I can take the next thing that comes along.'","[strength, experience, fear]",courage
4,Bruce Lee,"Mistakes are always forgivable, if one has the courage to admit them.","[forgiveness, mistakes, admit]",courage
5,Barbara De Angelis,We don't develop courage by being happy every day. We develop it by surviving difficult times and challenging adversity.,"[relationship, adversity]",courage
6,Earl Nightingale,"All you need is the plan, the road map, and the courage to press on to your destination.","[inspirational, destination]",courage
7,Walt Disney,"All our dreams can come true, if we have the courage to pursue them.","[dreams, true, pursue]",courage
8,Nelson Mandela,"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.","[fear, man, brave]",courage
9,Marcus Garvey,"If you have no confidence in self, you are twice defeated in the race of life.","[life, confidence, self]",courage
10,Dennis Prager,"Goodness is about character - integrity, honesty, kindness, generosity, moral courage, and the like. More than anything else, it is about how we treat other people.","[kindness, good, integrity]",courage
11,Muhammad Ali,He who is not courageous enough to take risks will accomplish nothing in life.,"[life, nothing, accomplish]",courage
12,Morihei Ueshiba,Loyalty and devotion lead to bravery. Bravery leads to the spirit of self-sacrifice. The spirit of self-sacrifice creates trust in the power of love.,"[love, trust, loyalty]",courage
13,Andrew Shue,"Life is the most exciting opportunity we have. But we have one shot. You graduate from college once, and that's it. You're going out of that nest. And you have to find that courage that's deep, deep, deep in there. Every step of the way.","[life, deep, graduation]",courage
14,Michelle Obama,You may not always have a comfortable life and you will not always be able to solve all of the world's problems at once but don't ever underestimate the importance you can have because history has shown us that courage can be contagious and hope can take on a life of its own.,"[life, hope, history]",courage
15,John F. Kennedy,Efforts and courage are not enough without purpose and direction.,"[purpose, direction, enough]",courage
16,Rabindranath Tagore,Let us not pray to be sheltered from dangers but to be fearless when facing them.,"[fearless, pray, us]",courage
17,T. S. Eliot,Only those who will risk going too far can possibly find out how far one can go.,"[risk, find, will]",courage
18,James E. Faust,"A grateful heart is a beginning of greatness. It is an expression of humility. It is a foundation for the development of such virtues as prayer, faith, courage, contentment, happiness, love, and well-being.","[love, happiness, faith]",courage
19,Mark Twain,"Courage is resistance to fear, mastery of fear, not absence of fear.","[fear, resistance, absence]",courage
20,Bethany Hamilton,"Courage, sacrifice, determination, commitment, toughness, heart, talent, guts. That's what little girls are made of.","[determination, heart]",courage
21,Ricky Martin,"Heroes represent the best of ourselves, respecting that we are human beings. A hero can be anyone from Gandhi to your classroom teacher, anyone who can show courage when faced with a problem. A hero is someone who is willing to help others in his or her best capacity.","[best, teacher, hero]",courage
22,Winston Churchill,Courage is what it takes to stand up and speak; courage is also what it takes to sit down and listen.,"[stand up, stand, speak]",courage
23,Mary Tyler Moore,"Take chances, make mistakes. That's how you grow. Pain nourishes your courage. You have to fail in order to practice being brave.","[mistakes, pain, brave]",courage
24,W. Clement Stone,Have the courage to say no. Have the courage to face the truth. Do the right thing because it is right. These are the magic keys to living your life with integrity.,"[life, truth, integrity]",courage
25,Harry S Truman,"America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand.","[fear, determination]",courage
