,0,1,2,3
0,Aaron Hill,"Courage is poorly housed that dwells in numbers; the lion never counts the herd that are about him, nor weighs how many flocks he has to scatter.","[lion, him, numbers]",courage
1,Virgil,In strife who inquires whether stratagem or courage was used?,"[used, strife, who]",courage
2,Joseph Addison,Courage that grows from constitution often forsakes a man when he has occasion for it; courage which arises from a sense of duty acts; in a uniform manner.,"[man, constitution, uniform]",courage
3,Al Gore,"While President Bush likes to project an image of strength and courage, the real truth is that in the presence of his large financial contributors, he is a moral coward.","[strength, truth, financial]",courage
4,Ian Mcewan,One has to have the courage of one's pessimism.,[pessimism],courage
5,Peggy Noonan,Part of courage is simple consistency.,"[simple, consistency, part]",courage
6,John W. Gardner,"Leaders come in many forms, with many styles and diverse qualities. There are quiet leaders and leaders one can hear in the next county. Some find strength in eloquence, some in judgment, some in courage.","[strength, find, leaders]",courage
7,Coventry Patmore,"To him that waits all things reveal themselves, provided that he has the courage not to deny, in the darkness, what he has seen in the light.","[light, darkness, him]",courage
8,Wallis Simpson,I have always had the courage for the new things that life sometimes offers.,"[life, new things, sometimes]",courage
9,William Wells Brown,"People don't follow titles, they follow courage.","[people, follow, titles]",courage
10,Janeane Garofalo,"To me, there is no greater act of courage than being the one who kisses first.","[me, first, act]",courage
11,Mike Ferguson,"Although the war in which you fought took place more than half-a-century ago, your courage, your sacrifice and your patriotism reaches through the decades and inspires us today.","[war, today, patriotism]",courage
12,George Crabbe,"To show the world what long experience gains, requires not courage, though it calls for pains; but at life's outset to inform mankind is a bold effort of a valiant mind.","[life, experience, mind]",courage
13,Della Reese,"When you really believe in God, it gives you a courage, a confidence that enables you to meet the things coming.","[god, confidence, believe]",courage
14,Edward Albert,"Courage is just fear, plus prayers, plus understanding.","[fear, understanding, prayers]",courage
15,Rebecca Harding Davis,"Our young people have come to look upon war as a kind of beneficent deity, which not only adds to the national honor but uplifts a nation and develops patriotism and courage.","[war, patriotism, honor]",courage
16,William L. Jenkins,Ronald Reagan's well documented final battles with Alzheimer's disease were fought with the same conviction and courage that his many public battles were fought.,"[conviction, same, alzheimer]",courage
17,Marvin Olasky,"On sensitive issues, talk isn't cheap - it takes real courage to pry open topics nailed shut.","[real, talk, open]",courage
18,John Doolittle,"With his trademark courage and conviction, President Reagan led us out of the Cold War, spreading his vision of freedom, resulting in the release of millions of people from the yoke of communism.","[war, freedom, vision]",courage
19,Gary Oldman,"Rather like Batman, I embody the themes of the movie which are the values of family, courage and compassion and a sense of right and wrong, good and bad and justice.","[family, good, justice]",courage
20,Geraldo Rivera,"The courage in journalism is sticking up for the unpopular, not the popular.","[journalism, popular, up]",courage
21,Gerry Adams,"Your determination, selflessness and courage have brought the freedom struggle towards its fulfilment.","[freedom, determination]",courage
22,Rene Cassin,"And as a child I was filled with passionate admiration for acts of civic courage I had seen performed by an elderly military doctor, who was a friend of my family.","[family, doctor, child]",courage
23,Peter Fonda,"The word courage - God, I love that word. Words are so important to me.","[love, god, words]",courage
24,Oriana Fallaci,I have reached the conclusion that those who have physical courage also have moral courage. Physical courage is a great test.,"[great, moral, test]",courage
25,Ray Stannard Baker,But steel bars have never yet kept out a mob; it takes something a good deal stronger: human courage backed up by the consciousness of being right.,"[good, stronger, something]",courage
