,0,1,2,3
0,Jim DeMint,"One of the greatest titles in the world is parent, and one of the biggest blessings in the world is to have parents to call mom and dad.","[mom, greatest, parents]",dad
1,Dawn French,It was my father who taught me to value myself. He told me that I was uncommonly beautiful and that I was the most precious thing in his life.,"[life, father, myself]",dad
2,Frank A. Clark,A father is a man who expects his son to be as good a man as he meant to be.,"[father, good, man]",dad
3,Beau Bridges,My father was my teacher. But most importantly he was a great dad.,"[teacher, father, great]",dad
4,Luke Bryan,"From my dad I learned to be good to people, to always be honest and straightforward. I learned hard work and perseverance.","[work, hard work, good]",dad
5,Mitt Romney,"Mom and Dad were married 64 years. And if you wondered what their secret was, you could have asked the local florist - because every day Dad gave Mom a rose, which he put on her bedside table. That's how she found out what happened on the day my father died - she went looking for him because that morning, there was no rose.","[morning, father, anniversary]",dad
6,Tiger Woods,"My dad was my best friend and greatest role model. He was an amazing dad, coach, mentor, soldier, husband and friend.","[best, greatest, best friend]",dad
7,Hugh Jackman,"When I come home, my daughter will run to the door and give me a big hug, and everything that's happened that day just melts away.","[home, daughter, day]",dad
8,Joe Biden,"My dad always said, 'Champ, the measure of a man is not how often he is knocked down, but how quickly he gets up.'","[man, measure of a man, said]",dad
9,William Wordsworth,The child is father of the man.,"[father, man, child]",dad
10,Halle Berry,"I know that I will never find my father in any other man who comes into my life, because it is a void in my life that can only be filled by him.","[life, father, man]",dad
11,Kevin Connolly,"Nowadays, if you have a mustache, people look at you like you're crazy. But when I was growing up, I never saw my dad without a mustache.","[crazy, people, growing up]",dad
12,Thierry Henry,"My dad always taught me to never be satisfied, to want more and know that what is done is done.","[me, know, want]",dad
13,Tom Brady,"We all have experiences in our lives that change us, and we all learn from people, like my dad, but at the end of the day, it's only us. And we're only responsible to make ourselves happy.","[change, happy, end]",dad
14,Oliver North,"The lesson of Pearl Harbor ought never to be forgotten, and of course the motto that came from that, 69 years ago, the war which my dad fought, was 'Remember Pearl Harbor, never again.' We need to keep that to mind.","[war, motto, pearl harbor]",dad
15,Ashton Kutcher,"My parents couldn't give me a whole lot of financial support, but they gave me good genes. My dad is a handsome son-of-a-gun, and my mom is beautiful. And I've definitely been the lucky recipient. So, thank you, Mom and Dad.","[mom, good, beautiful]",dad
16,Justin Bieber,"I want to be a young dad. By 25 or 26 I want to see myself, like, married or start looking for a family.","[family, myself, looking]",dad
17,Luke Bryan,"Growing up in Georgia, my dad was a farmer and we worked in agriculture, so we were always looking up at the sky, checking if rain was in the forecast. That always set the tone for the mood in my household, whether we had rain coming in or not - we knew the crops would be good and it was going to be a good week around the Bryan household.","[good, rain, sky]",dad
18,Margaret Mead,"Fathers are biological necessities, but social accidents.","[accidents, social, fathers]",dad
19,Patrick Swayze,I like to believe that I've got a lot of guardian warriors sittin' on my shoulder including my dad.,"[believe, shoulder, warriors]",dad
20,Paul Theroux,"When I started writing, I did have some idealised notion of my dad as a writer. But I have less and less of a literary rivalry with him as I've gone on. I certainly don't feel I need his approval, although maybe that's because I'm confident that I've got it.","[writing, feel, rivalry]",dad
21,Oliver North,All of my high school male teachers were WWII and/or Korean War veterans. They taught my brothers and me the value of service to our country and reinforced what our dad had shown us about the meaning of service.,"[war, school, service]",dad
22,Leonardo DiCaprio,My dad's probably one of the kindest people in the world. When I was younger that's not how I was- I was a little spoiled brat.,"[world, people, spoiled]",dad
23,Wilt Chamberlain,"And I remember leaving my place in L.A. and - my father is a big fight fan - and I said, 'Dad, I got a couple of days off and I'm getting ready to go to Houston to sign to fight Muhammad Ali.","[father, fight, leaving]",dad
24,Steve Irwin,"My dad taught me from my youngest childhood memories through these connections with Aboriginal and tribal people that you must always protect people's sacred status, regardless of the past.","[memories, past, childhood]",dad
25,Ron White,"When I was about 12 years old back in Houston, my Dad used to take us to the driving range.","[driving, back, old]",dad
