,0,1,2,3
0,Gary Kemp,In the '80s the band was 24/7. You were only as good as what you were producing at any given moment. Now my family is more important. I also think having the shock of your mum and dad dying humbles you slightly.,"[family, good, moment]",dad
1,Arthur Darvill,"My dad bought me a guitar when I was very young, and I never looked back.","[me, guitar, young]",dad
2,Jill McCorkle,"I was with my dad 20 years ago as he was dying. I was there at the moment of his death, and I kept wondering the whole while what it must feel like from his point of view to still be there thinking, hearing all that was going on as people came and went, and life continued all around him.","[life, death, thinking]",dad
3,Amy Chua,"I was raised by extremely strict - but also extremely loving - Chinese immigrant parents, and I had the most wonderful childhood! I remember laughing constantly with my parents - my dad is a real character and very funny. I certainly did wish they allowed to me do more things!","[funny, character, parents]",dad
4,Alice Eve,"My dad, in particular, was adamant that I should finish my education. He encouraged me to go to Oxford, for instance, and I rather doubt I'd have gone if he hadn't. I would have gone straight back to L.A. and tried to start my career.","[education, finish, me]",dad
5,David Einhorn,"On my best days, I fancy myself a combination of Dad's persistence/patience and Mom's toughness/skepticism.","[best, mom, myself]",dad
6,Walter Dean Myers,"My dad was a janitor for U.S. Radium Corporation, and he stayed there for 37 years. So he didn't read.","[years, corporation, he]",dad
7,Martha Wainwright,"I'm in hotel rooms night after night, playing a lot of the same venues as my dad and carrying the guitar that used to be his. We're the same person. I don't know if he realises how much of a legacy he has left to his children.","[children, legacy, night]",dad
8,Hayley Atwell,"Although I grew up in London, I spent summers in Missouri, where my dad lived. It's quite a liberal town, Kansas City. You'd be surprised.","[london, city, you]",dad
9,Erin Andrews,"My dad used to call me 'the human pretzel' because I was able to bend my body, and because my legs are very long.","[me, body, long]",dad
10,Jamie Johnson,"I remember I was in grade school, the fourth grade, in a free reading period in the library. Someone in my class found a copy of the Forbes 400, a list of the richest people in America, and my dad's name was on it.","[school, america, reading]",dad
11,Sam Abell,"My dad had been an ardent amateur photographer, and he taught me to compose a photograph from the back to the front, and then populate the picture.","[me, picture, back]",dad
12,Kate Burton,"I made a very concerted decision to go to drama school in the United States. But I did have the opportunity to go to Britain's Central School of Speech and Drama, and my dad and I had a few tense words about that. He wanted me to go to British drama school.","[opportunity, school]",dad
13,Nicholas Jarecki,"My dad used to sell a type of commodity contract. It was so complicated, he was certain his sales people didn't understand what they were selling.","[sales, people, complicated]",dad
14,Sanaa Lathan,"My dad is a director/producer and my mom is a dancer; she performed with Alvin Ailey, but I didn't even think about becoming an actress.","[mom, she, think]",dad
15,Willem Dafoe,"The Midwest isn't somewhere you mix with those from the performing arts. But my mum and dad would go off to Chicago every so often to see shows. They would bring back the albums and the movies, those little eight metres, and we would all watch. I think that was when I fell in love with acting.","[love, movies, acting]",dad
16,Willem Dafoe,"My dad was a surgeon, my mom a nurse, and they were always out working. I had five sisters and a brother. They didn't care what I got up to.","[mom, brother, care]",dad
17,John Collison,"My brother and I were born in an Irish county called Tipperary. We were both very math- and science-inclined in high school. My dad trained as an electrical engineer, and my mom is in microbiology.","[mom, school, brother]",dad
18,Apolo Ohno,"My dad's great. He's my biggest supporter. He's always told me that whatever I choose to do, I can do it. I just gotta put my mind to it.","[great, mind, me]",dad
19,Apolo Ohno,"As I grow older, I have a growing curiosity about my other half. My dad did a wonderful job raising me, and I wouldn't change it for the world, but at the same time there is a growing curiosity about my other half.","[change, time, curiosity]",dad
20,Lucas Black,"I've never been one to throw clubs, break clubs, or use bad language on the golf course. I've played with golfers who've done that, and I really hate to see it. If I did something like that, my dad would come get the putter and hit me upside the head with it. I knew better.","[hate, golf, language]",dad
21,Danielle de Niese,"My dad's in banking, my mum manages the American branch of a Swiss vitamin company; they're really busy, but they still come to all my premieres.","[busy, american, company]",dad
22,Melissa Etheridge,"I can be a rock star with a television show and still have a self-esteem problem. So it's nice to have your dad go, 'Hey Melissa, I'm proud of you - you're doing good.'","[good, proud, problem]",dad
23,Matt Roper,"I like a decent funeral, and God knows in my family we've seen enough of them. Looking through family photographs now is like watching an episode of 'Dad's Army.'","[family, god, looking]",dad
24,Susana Martinez,"At 18, I guarded the parking lot at the Catholic Church bingos. Now, my dad made sure I could take care of myself. I carried a Smith and Wesson .357 Magnum - that gun weighed more than I did!","[myself, gun, care]",dad
25,Woody Harrelson,"I try not to spend too much time with regret, although I wish I'd had more hang time with my dad.","[time, regret, wish]",dad
