,0,1,2,3
0,Ausonius,"Let us never know what old age is. Let us know the happiness time brings, not count the years.","[happiness, birthday, time]",age
1,Abhishek Bachchan,"A birthday is just another day where you go to work and people give you love. Age is just a state of mind, and you are as old as you think you are. You have to count your blessings and be happy.","[love, birthday, work]",age
2,Stanislaw Jerzy Lec,"Youth is the gift of nature, but age is a work of art.","[work, nature, art]",age
3,Satchel Paige,"Age is a case of mind over matter. If you don't mind, it don't matter.","[birthday, mind, matter]",age
4,Dylan Thomas,"Do not go gentle into that good night but rage, rage against the dying of the light.","[light, good, night]",age
5,Pablo Picasso,Youth has no age.,"[birthday, youth]",age
6,Francis Bacon,"Age appears to be best in four things; old wood best to burn, old wine to drink, old friends to trust, and old authors to read.","[best, trust, old friends]",age
7,Aldous Huxley,"The secret of genius is to carry the spirit of the child into old age, which means never losing your enthusiasm.","[attitude, losing, old age]",age
8,George Burns,"You can't help getting older, but you don't have to get old.","[getting older, help, you]",age
9,Pope John XXIII,"Men are like wine - some turn to vinegar, but the best improve with age.","[best, wine, men]",age
10,Bo Bennett,"Those who improve with age embrace the power of personal growth and personal achievement and begin to replace youth with wisdom, innocence with understanding, and lack of purpose with self-actualization.","[wisdom, power, growth]",age
11,Princess Diana,"I think the biggest disease the world suffers from in this day and age is the disease of people feeling unloved. I know that I can give love for a minute, for half an hour, for a day, for a month, but I can give. I am very happy to do that, I want to do that.","[love, happy, day]",age
12,John Adams,Old minds are like old horses; you must exercise them if you wish to keep them in working order.,"[exercise, wish, you]",age
13,Sophia Loren,"There is a fountain of youth: it is your mind, your talents, the creativity you bring to your life and the lives of people you love. When you learn to tap this source, you will truly have defeated age.","[life, love, creativity]",age
14,Seth Meyers,"My mother is an incredibly beautiful woman who has laughed at every single thing my father's ever said. At a young age, my brother and I understood that if you can make girls laugh, you can punch well above your weight class.","[father, mother]",age
15,Andrew Carnegie,"As I grow older, I pay less attention to what men say. I just watch what they do.","[men, attention, grow]",age
16,Arthur Schopenhauer,"Just remember, once you're over the hill you begin to pick up speed.","[remember, you, speed]",age
17,Sharron Angle,"There is a plan and a purpose, a value to every life, no matter what its location, age, gender or disability.","[life, gender, disability]",age
18,Rick Bass,"My life, I realize suddenly, is July. Childhood is June, and old age is August, but here it is, July, and my life, this year, is July inside of July.","[life, childhood, old age]",age
19,Walter Scott,Each age has deemed the new-born year the fittest time for festal cheer.,"[new year's, time, cheer]",age
20,Donald Trump,"My father was very energetic; my mother was very energetic. He lived to a very old age, and so did my mother. I believe that I just have it from my father, from my parents. They had wonderful energy.","[father, mother, parents]",age
21,Luis Bunuel,"Age is something that doesn't matter, unless you are a cheese.","[funny, cheese, matter]",age
22,Clarence Day,"Age should not have its face lifted, but it should rather teach the world to admire wrinkles as the etchings of experience and the firm line of character.","[experience, character, world]",age
23,Terry Pratchett,"We have been so successful in the past century at the art of living longer and staying alive that we have forgotten how to die. Too often we learn the hard way. As soon as the baby boomers pass pensionable age, their lesson will be harsher still.","[art, past, baby]",age
24,Randy Bachman,"When one knows at an early age that their gift, talent and direction is musical, one tends to focus on that and let nothing interfere or impede the forward motion toward the end of that rainbow. And after 50-something years of rockin' out, you still realise there is no end to that distant rainbow until one's last sunset.","[sunset, end, gift]",age
25,Mark Twain,"Age is an issue of mind over matter. If you don't mind, it doesn't matter.","[mind, matter, you]",age
