,0,1,2,3
0,Nicole Scherzinger,"I love a man with a great sense of humor and who is intelligent - a man who has a great smile. He has to make me laugh. I like a man who is very ambitious and driven and who has a good heart and makes me feel safe. I like a man who is very strong and independent and confident - that is very sexy - but at the same time, he's very kind to people.","[love, time, smile]",dating
1,William Shakespeare,"Good night, good night! Parting is such sweet sorrow, that I shall say good night till it be morrow.","[good, night, sweet]",dating
2,Jack Nicholson,There's only two people in your life you should lie to... the police and your girlfriend.,"[life, police, people]",dating
3,Mae West,"Save a boyfriend for a rainy day - and another, in case it doesn't rain.","[rain, day, save]",dating
4,Maya Angelou,Love is like a virus. It can happen to anybody at any time.,"[love, time, love is]",dating
5,Mitch Hedberg,I don't have a girlfriend. But I do know a woman who'd be mad at me for saying that.,"[woman, me, know]",dating
6,Gloria Allred,"I'm not interested in dating. I like being with my own best friend, me. Certain women, particularly older women, cannot believe I like going to a social event by myself. But I do.","[best, women, alone]",dating
7,Wayne Dyer,Real magic in relationships means an absence of judgment of others.,"[magic, relationships, real]",dating
8,Orson Welles,"If there hadn't been women we'd still be squatting in a cave eating raw meat, because we made civilization in order to impress our girlfriends.","[women, eating, civilization]",dating
9,Leonardo DiCaprio,"I prefer ordinary girls - you know, college students, waitresses, that sort of thing. Most of the girls I go out with are just good friends. Just because I go out to the cinema with a girl, it doesn't mean we are dating.","[good, college, friends]",dating
10,Anne Hathaway,Kindness is really important to me in finding my own prince - so are patience and a sense of humor. Without those qualities he's no Prince Charming!,"[kindness, patience, humor]",dating
11,William Camden,The sea hath fish for every man.,"[sea, man, fish]",dating
12,John Mayer,"I hate being the heartbreaker. Hate it. If I date somebody and it doesn't work out, it's another nightmare for me.","[work, hate, me]",dating
13,Mark Ronson,"My grandmother always used to wear this English perfume called Tuberose and then she died and then I dated this girl who wore the same thing. Every time I hung out with her, I could only think of my recently deceased grandmother. So sometimes a signature scent can be good and sometimes it can be bad.","[time, good, girl]",dating
14,Chris Pine,"I enjoy dating. I love first dates. I think they're incredibly fascinating studies in human psychology. When you sit down across from someone on a first date and things are going alright, you talk objectives. We want to win each other over, so how do you win someone over? You have to put the best foot forward.","[love, best, forward]",dating
15,Jennifer Lopez,"If you kiss on the first date and it's not right, then there will be no second date. Sometimes it's better to hold out and not kiss for a long time. I am a strong believer in kissing being very intimate, and the minute you kiss, the floodgates open for everything else.","[time, strong, i am]",dating
16,Adam Levine,I don't date my girlfriend because she's a model. I date her because I love her.,"[love, she, girlfriend]",dating
17,Wendy Liebman,"I've been on so many blind dates, I should get a free dog.","[dog, blind, free]",dating
18,Pink,I change my mind so much I need two boyfriends and a girlfriend.,"[change, mind, girlfriend]",dating
19,Larry David,Golf and dating don't mix.,"[golf, mix]",dating
20,Zig Ziglar,"We all prospect, and don't even know we're doing it. When you start the dating process, you are actually prospecting for the person you want to marry. When you're interviewing employees, you are prospecting for someone who will best fit your needs.","[best, employees, doing]",dating
21,Scott Westerfeld,"The difference between being a part-time writer and a full-time writer is like the difference between dating someone and living with them. Some of the romance is gone, but you learn things you'd never know just by dating.","[living, learn, know]",dating
22,Albert Ellis,People could rationally decide that prolonged relationships take up too much time and effort and that they'd much rather do other kinds of things. But most people are afraid of rejection.,"[time, effort, people]",dating
23,Joyce Brothers,"No matter how love-sick a woman is, she shouldn't take the first pill that comes along.","[woman, she, matter]",dating
24,William Congreve,"Courtship is to marriage, as a very witty prologue to a very dull play.","[marriage, play, witty]",dating
25,Tim Allen,"Women are like cars: we all want a Ferrari, sometimes want a pickup truck, and end up with a station wagon.","[women, end, want]",dating
