,0,1,2,3
0,Rachel Bilson,"Dating co-stars is natural. When you're working with someone, it's habit.","[someone, you, habit]",dating
1,Mickey Rooney,"I tried to make up for being 5 ft. 3 in. by affecting a strut and adopting the voice of a much bigger man... dating tall, beautiful women... But nothing I could do, after Ava had left me, would add a single inch to my height.","[women, beautiful, man]",dating
2,Rachael Ray,"When men I have dated over the years whined about, 'Oh, you make no time for me' - see ya! I just dumped them. I don't need that pressure in my life.","[life, time, men]",dating
3,Minnie Driver,Last year my boyfriend gave me a painting - a very personal one. I really prefer personal gifts or ones made by someone for me. Except diamonds. That's the exception to the rule.,"[diamonds, year, me]",dating
4,Carmen Electra,"If you don't have a valentine, hang out with your girlfriends, don't go looking for someone. When it's right, they'll come to you.","[looking, someone, you]",dating
5,Carmen Electra,"Am I still interested in a guy's body? Now that I have grown up, I am much more of a 'vibe' kind of person! If a man has a good body, that is an added plus.","[good, man, i am]",dating
6,Corbin Bernsen,"'Christian Mingle' is about a young, modern, single woman. She's trying to achieve it all - a successful career, amazing friends, and finding Mr. Right. She stumbles into the world of online dating looking for an instant 'soul mate solution,' but ultimately ends up taking a personal journey transforming her life.","[life, journey, woman]",dating
7,America Ferrera,"I've never been speed dating! I sort of wish I had, just for the experience of it.","[experience, wish, speed]",dating
8,Gary Weiss,"Insider trading by hedge funds has a long and distinguished history, dating to the days when people didn't know that there was such a thing as a hedge fund.","[history, people, know]",dating
9,Ryan Seacrest,"I've dated some women who have turned me on to some funny things that are strange for men to actually do, but these things have become part of my process. I think the things I do for my appearance help make me look better. I even colour my hair because I like how it makes me look.","[funny, women, men]",dating
10,Rachel Bloom,"While actors are great and awesome, writers literally create new worlds from scratch. What is sexier than that? Personally, I don't know why every last person out there isn't dating a writer.","[great, know, awesome]",dating
11,Steve Albini,"The woman I am currently crazy about was a vegetarian for a year until I started dating her. As is the case with most vegetarians, she had never eaten properly prepared meat, only commercially packaged or otherwise abused flesh.","[woman, i am, crazy]",dating
12,Nigel Hamilton,"That's the miracle of Amazon! It's like Internet dating. In the early days, you could get slimed as an author on Amazon by someone bearing a grudge, or jealous, or whatever. And because there were so few reviews posted, this stank.","[internet, jealous, someone]",dating
13,Judy Greer,"I'd been dating my husband for about a year, and I'd already kissed George Clooney, Ashton Kutcher and Gerard Butler. Awesome year, right?","[year, husband, awesome]",dating
14,Anna Held,You'll never catch a man if you let him think you are too smart.,"[man, smart, think]",dating
15,Eric Stonestreet,"I have a Tinder account. Now I've done Bumble, and I've tried this other one, and the way I justified it is that... because I'm on TV, I shouldn't be eliminated from participating in what's going on in the world. But people are always like, 'I can't believe you're on a dating app!'","[believe, world, people]",dating
16,Hannah Simone,The thing about dating someone who listens to a totally different genre than you is they can help you find things to appreciate in that genre.,"[help, appreciate, find]",dating
17,Hannah Simone,I guess there are all these women with a big secret - they're hiding men they are ashamed of. They come up to me and say: 'I've been dating this guy for six months in secret but none of my friends know. I can't give him up even though he's embarrassing.',"[women, men, friends]",dating
18,Bill Keller,I don't have dating tips.,[tips],dating
19,Alicia Silverstone,"My boyfriend calls me 'princess', but I think of myself more along the lines of 'monkey' and 'retard'.","[myself, me, princess]",dating
20,Kurt Braunohler,Who would want to get back together with Taylor Swift after having dated her? I'm sure dating her is like talking to a white sheet of paper with a little bit of vanilla ice cream on it that doesn't say anything.,"[together, want, ice cream]",dating
21,Tamsin Egerton,I'm not interested in serial dating; I'd honestly rather be single.,"[single, not interested]",dating
22,Georgina Bloomberg,"I'm not traditional at all. It's not that I'm against marriage; it just never mattered that much to me. If I was dating someone who getting married was very important to them, then absolutely. I'd have no problem. I love the idea of finding someone to be a great father figure to Jasper and to share my life with.","[life, love, marriage]",dating
23,Julie Klausner,"Oh, yeah, I did the online dating thing. I did Nerve, I did Match. On Nerve there was this one guy who, when I asked him what he did for a living, said he 'used to be in a band.' I was like, 'That is not an occupation.'","[living, said, band]",dating
24,Julie Klausner,"I didn't write my book, 'I Don't Care About Your Band,' in order to give women a brand-new set of dating rules they need to feel terrible about not abiding. I wrote my book to make the women who read it feel good about themselves, and a little more entitled to be treated well by the guys they go out with.","[women, good, book]",dating
25,Kristin Davis,I've been dating since I was fifteen. I'm exhausted. Where is he?,"[exhausted, where, been]",dating
