,0,1,2,3
0,Norman Cousins,Death is not the greatest loss in life. The greatest loss is what dies inside us while we live.,"[life, sympathy, greatest]",death
1,Leonardo da Vinci,"I love those who can smile in trouble, who can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but they whose heart is firm, and whose conscience approves their conduct, will pursue their principles unto death.","[love, smile, strength]",death
2,Robert Fulghum,I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,"[love, hope, knowledge]",death
3,Joseph Stalin,Death is the solution to all problems. No man - no problem.,"[man, problem, problems]",death
4,Mark Twain,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,"[life, time, fear]",death
5,Steve Jobs,"No one wants to die. Even people who want to go to heaven don't want to die to get there. And yet death is the destination we all share. No one has ever escaped it. And that is as it should be, because Death is very likely the single best invention of Life. It is Life's change agent. It clears out the old to make way for the new.","[life, change, best]",death
6,Benjamin Franklin,"In this world nothing can be said to be certain, except death and taxes.","[finance, world, nothing]",death
7,Buddha,Without health life is not life; it is only a state of langour and suffering - an image of death.,"[life, health, suffering]",death
8,Thomas Paine,"I love the man that can smile in trouble, that can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but he whose heart is firm, and whose conscience approves his conduct, will pursue his principles unto death.","[love, smile, strength]",death
9,Albert Einstein,Intellectual growth should commence at birth and cease only at death.,"[education, growth]",death
10,Napoleon Bonaparte,"Death is nothing, but to live defeated and inglorious is to die daily.","[daily, die, live]",death
11,Khalil Gibran,"For life and death are one, even as the river and the sea are one.","[life, sea, river]",death
12,Brian Clough,"Don't send me flowers when I'm dead. If you like me, send them while I'm alive.","[flowers, me, you]",death
13,Marcus Tullius Cicero,The life of the dead is placed in the memory of the living.,"[life, memory, living]",death
14,Tecumseh,"When your time comes to die, be not like those whose hearts are filled with fear of death, so that when their time comes they weep and pray for a little more time to live their lives over again in a different way. Sing your death song, and die like a hero going home.","[time, home, fear]",death
15,Steve Jobs,"Remembering that I'll be dead soon is the most important tool I've ever encountered to help me make the big choices in life. Because almost everything - all external expectations, all pride, all fear of embarrassment or failure - these things just fall away in the face of death, leaving only what is truly important.","[life, fear, failure]",death
16,Jean-Jacques Rousseau,Absolute silence leads to sadness. It is the image of death.,"[silence, sadness, image]",death
17,Kanye West,Nothing in life is promised except death.,"[life, nothing, promised]",death
18,Fidel Castro,A revolution is a struggle to the death between the future and the past.,"[future, struggle, past]",death
19,Leonardo da Vinci,"As a well-spent day brings happy sleep, so a life well spent brings happy death.","[life, happy, sleep]",death
20,Eliot Spitzer,"Yes, people pull the trigger - but guns are the instrument of death. Gun control is necessary, and delay means more death and horror.","[gun control, people, control]",death
21,Jim Morrison,"People fear death even more than pain. It's strange that they fear death. Life hurts a lot more than death. At the point of death, the pain is over. Yeah, I guess it is a friend.","[life, fear, pain]",death
22,Emily Dickinson,"Love is anterior to life, posterior to death, initial of creation, and the exponent of breath.","[life, love, love is]",death
23,Arthur Koestler,Nothing is more sad than the death of an illusion.,"[sad, nothing, illusion]",death
24,Tupac Shakur,I don't have no fear of death. My only fear is coming back reincarnated.,"[fear, no fear, back]",death
25,George MacDonald,How strange this fear of death is! We are never frightened at a sunset.,"[fear, sunset, strange]",death
