,0,1,2,3
0,William Goldman,"Life isn't fair. It's just fairer than death, that's all.","[life, fair, just]",death
1,Kevin Spacey,"Success is like death. The more successful you become, the higher the houses in the hills get and the higher the fences get.","[success, successful, you]",death
2,Isaac Bashevis Singer,"The very essence of literature is the war between emotion and intellect, between life and death. When literature becomes too intellectual - when it begins to ignore the passions, the emotions - it becomes sterile, silly, and actually without substance.","[life, war, literature]",death
3,Duffy Daugherty,"When your are playing for the national championship, it's not a matter of life or death. It's more important than that.","[life, important, matter]",death
4,Che Guevara,"Whenever death may surprise us, let it be welcome if our battle cry has reached even one receptive ear and another hand reaches out to take up our arms.","[battle, welcome, surprise]",death
5,P. J. O'Rourke,"In our brief national history we have shot four of our presidents, worried five of them to death, impeached one and hounded another out of office. And when all else fails, we hold an election and assassinate their character.","[history, character, election]",death
6,Epictetus,"It is not death or pain that is to be dreaded, but the fear of pain or death.","[fear, pain, dreaded]",death
7,Berenice Abbott,"Does not the very word 'creative' mean to build, to initiate, to give out, to act - rather than to be acted upon, to be subjective? Living photography is positive in its approach, it sings a song of life - not death.","[life, positive, photography]",death
8,Simone de Beauvoir,"It is old age, rather than death, that is to be contrasted with life. Old age is life's parody, whereas death transforms life into a destiny: in a way it preserves it by giving it the absolute dimension. Death does away with time.","[life, time, age]",death
9,Napoleon Bonaparte,"You must not fear death, my lads; defy him, and you drive him into the enemy's ranks.","[fear, enemy, you]",death
10,Jean-Paul Sartre,"One is still what one is going to cease to be and already what one is going to become. One lives one's death, one dies one's life.","[life, going, become]",death
11,William Gilmore Simms,The dread of criticism is the death of genius.,"[criticism, genius, dread]",death
12,Albert Camus,"Men are convinced of your arguments, your sincerity, and the seriousness of your efforts only by your death.","[men, sincerity, only]",death
13,Albert Camus,"We get into the habit of living before acquiring the habit of thinking. In that race which daily hastens us towards death, the body maintains its irreparable lead.","[daily, thinking, living]",death
14,Luigi Pirandello,"Whoever has the luck to be born a character can laugh even at death. Because a character will never die! A man will die, a writer, the instrument of creation: but what he has created will never die!","[character, man, luck]",death
15,Mahatma Gandhi,Fear of death makes us devoid both of valour and religion. For want of valour is want of religious faith.,"[fear, faith, religion]",death
16,Siegfried Sassoon,"Soldiers are citizens of death's grey land, drawing no dividend from time's tomorrows.","[time, drawing, soldiers]",death
17,Louise Erdrich,"I got well by talking. Death could not get a word in edgewise, grew discouraged, and traveled on.","[talking, word, discouraged]",death
18,Ella Wheeler Wilcox,"It has ever been since time began, and ever will be, till time lose breath, that love is a mood - no more - to man, and love to a woman is life or death.","[life, love, time]",death
19,Thomas Browne,"Life itself is but the shadow of death, and souls departed but the shadows of the living.","[life, living, shadow]",death
20,Abbie Hoffman,Become an internationalist and learn to respect all life. Make war on machines. And in particular the sterile machines of corporate death and the robots that guard them.,"[life, war, respect]",death
21,Lewis Mumford,"Misery, mutilation, destruction, terror, starvation and death characterize the process of war and form a principal part of the product.","[war, process, product]",death
22,Angus Young,"I'm sick to death of people saying we've made 11 albums that sounds exactly the same, Infact, we've made 12 albums that sound exactly the same.","[people, sick, sound]",death
23,D. H. Lawrence,"The human consciousness is really homogeneous. There is no complete forgetting, even in death.","[consciousness, human]",death
24,Dean Smith,"If you make every game a life and death proposition, you're going to have problems. For one thing, you'll be dead a lot.","[life, problems, game]",death
25,George Pierce Baker,"What then is tragedy? In the Elizabethan period it was assumed that a play ending in death was a tragedy, but in recent years we have come to understand that to live on is sometimes far more tragic than death.","[tragedy, ending, live]",death
