,0,1,2,3
0,Jim Rohn,Happiness is not something you postpone for the future; it is something you design for the present.,"[inspirational, happiness]",design
1,Coco Chanel,"Fashion fades, only style remains the same.","[style, fashion, same]",design
2,Jim Rohn,"If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much.","[motivational, life, plan]",design
3,Walt Disney,"You can design and create, and build the most wonderful place in the world. But it takes people to make the dream a reality.","[world, people, reality]",design
4,Ivanka Trump,"In both business and personal life, I've always found that travel inspires me more than anything else I do. Evidence of the languages, cultures, scenery, food, and design sensibilities that I discover all over the world can be found in every piece of my jewelry.","[life, travel, business]",design
5,Coco Chanel,Fashion is architecture: it is a matter of proportions.,"[architecture, fashion]",design
6,John Malkovich,"I like design, I like details, to me it is just another form of self-expression.","[me, details, self-expression]",design
7,Steve Jobs,Design is not just what it looks like and feels like. Design is how it works.,"[looks, like, how]",design
8,Herbert Simon,"Engineering, medicine, business, architecture and painting are concerned not with the necessary but with the contingent - not with how things are but with how they might be - in short, with design.","[business, architecture]",design
9,Steve Jobs,"Design is a funny word. Some people think design means how it looks. But of course, if you dig deeper, it's really how it works.","[funny, people, think]",design
10,Charles Eames,"Eventually everything connects - people, ideas, objects. The quality of the connections is the key to quality per se.","[quality, people, ideas]",design
11,Christian Louboutin,"A shoe is not only a design, but it's a part of your body language, the way you walk. The way you're going to move is quite dictated by your shoes.","[language, shoes, body]",design
12,Bob Dylan,"I paint mostly from real life. It has to start with that. Real people, real street scenes, behind the curtain scenes, live models, paintings, photographs, staged setups, architecture, grids, graphic design. Whatever it takes to make it work.","[life, work, architecture]",design
13,Eric Carle,"That's something I learned in art school. I studied graphic design in Germany, and my professor emphasized the responsibility that designers and illustrators have towards the people they create things for.","[art, school, responsibility]",design
14,Antoine de Saint-Exupery,"A designer knows he has achieved perfection not when there is nothing left to add, but when there is nothing left to take away.","[perfection, nothing, away]",design
15,Daniel Libeskind,"I think there is a new awareness in this 21st century that design is as important to where and how we live as it is for museums, concert halls and civic buildings.","[live, important, awareness]",design
16,Alexander Wang,"I'm not like most designers, who have to set sail on an exotic getaway to get inspired. Most of the time, it's on my walk to work, or sitting in the subway and seeing something random or out of context.","[work, time, walk]",design
17,Cameron Sinclair,"Design is about creating spaces for people to enjoy and of course, creating moments where you elevate the spirit, but 'design for good' is figuring out a program that not only creates better spaces, but creates jobs, creates new industry and really kind of raises the conversation about how we rebuild.","[good, people, moments]",design
18,Venus Williams,Interior design is a business of trust.,"[business, trust, interior]",design
19,Colleen Haskell,"I love graphic design. I love working with design, and I love storytelling, so I've been working on a children's book for a while, and I'd like to see that through.","[love, children, book]",design
20,Frank Zappa,"The computer can't tell you the emotional story. It can give you the exact mathematical design, but what's missing is the eyebrows.","[story, missing, you]",design
21,Olivia Newton-John,"I love to design and remodel houses, from working with the contractors to picking the colours, materials, kitchen and bathroom accessories to finally what furniture goes where.","[love, kitchen, furniture]",design
22,Jonathan Ive,Eight years of work can be copied in six months. It wasn't inevitable that it was going to work. A stolen design is stolen time.,"[work, time, inevitable]",design
23,Matt Mullenweg,"There are two main methodologies of open source development. There's the Apache model, which is design by committee - great for things like web servers. Then you have the benevolent dictator model. That's what Ubuntu is doing, with Mark Shuttleworth.","[great, doing, development]",design
24,Jonathan Ive,It is sad that so many designers don't know how to make. CAD software can make a bad design look palatable! It is sad that four years can be spent on a 3D design course without making anything! People who are great at designing and making have a great advantage.,"[sad, great, people]",design
25,Richard Dawkins,"Design can never be an ultimate explanation for anything. It can only be a proximate explanation. A plane or a car is explained by a designer but that's because the designer himself, the engineer, is explained by natural selection.","[car, engineer, explained]",design
