,0,1,2,3
0,J. A. Konrath,"I can hire out for editing, proofreading, formatting, and cover design, and those are fixed, sunk costs. Once those are paid, I can earn 70% on a self-pubbed ebook.","[editing, i can, hire]",design
1,Ren Ng,"Like many people out there, I'm inspired by the level of attention to detail, design and execution of Apple products.","[people, attention, execution]",design
2,Marshall Curry,"After college, I did a bunch of different jobs - taught English in Mexico, worked in public radio, worked for a web design company - but there was something about documentaries that really attracted me.","[college, me, company]",design
3,Douglas Wilson,"I look at each episode in two ways - from a design standpoint and from an entertainment standpoint - this is TV, after all. We usually succeed on at least one of the levels.","[succeed, look, entertainment]",design
4,Douglas Wilson,"Throughout the country, I see the same design problems and solutions over and over.","[problems, see, country]",design
5,Douglas Wilson,"I gave the couple a hint of a design that would work great with the bones of their home. They weren't ready for it, and they embarrassed themselves and that's too bad.","[work, home, great]",design
6,Ralph Bakshi,"One of the best animated films I've seen come out of Disney was the Tarzan movie. I wasn't crazy about the story or the design on Tarzan's face, but the traditional animation was spectacular.","[best, crazy, face]",design
7,Erin Wasson,"I don't have a background in design, so I think it's always about what I see in the world and what inspires me. So yes, I am designing for myself. I'm going through this whole evolution, which is a process of growing up and going from modeling to styling to designing.","[myself, i am, world]",design
8,Brit Morin,"At Brit + Co, our mission is to unlock creativity, so we look for future employees that actively flex their creative muscles. The design of your resume is the first way to let me know more about your aesthetic.","[future, creativity, creative]",design
9,Tory Burch,"For me, if I can design beautiful things that have the price be lower, I am thrilled.","[beautiful, i am, me]",design
10,Deb Caletti,"When your arms are out wide, you'll capture love and joy and golden moments but other things, too. Mistrust will sneak in on a wave of that joy, and complications will ride the backs of the golden moments, and there will be both love and the risks of love. That's the way it is. That's the design.","[love, joy, moments]",design
11,Daniel Keys Moran,The federal debt in this country is principally of Republican design.,"[country, debt, republican]",design
12,Harold E. Varmus,Science can improve lives in ways that are elegant in design and moving in practice.,"[science, moving, practice]",design
13,Paul Rand,"Graphic Design, which fulfills aesthetic needs, complies with the laws of form and exigencies of two-dimensional space; which speaks in semiotics, sans-serifs, and geometrics; which abstracts, transforms, translates, rotates, dilates, repeats, mirrors, groups, and regroups, is not good design if it is irrelevant.","[good, space, mirrors]",design
14,Paul Rand,"If I was influenced by anything, it was architecture: structure having to do with logic. If you don't do it right, the whole thing is going to cave in. In a certain sense, you can carry that to graphic design. Fortunately, however, nobody is going to die if you do it wrong.","[architecture, logic, die]",design
15,Paul Rand,"Pictures, abstract symbols, materials, and colors are among the ingredients with which a designer or engineer works. To design is to discover relationships and to make arrangements and rearrangements among these ingredients.","[colors, pictures]",design
16,Michael Hirst,"When you're making a TV drama, the showrunner is God, and so however onerous and difficult and consuming that responsibility is, you're being treated with respect, so it changes your whole outlook to the production. You're being asked about costumes, set design, music, every aspect of the show.","[music, respect, god]",design
17,Daniel H. Pink,"Studying design has made me a much, much more astute observer of this aspect of business. And I'm working mightily to improve my empathic skills. I've dramatically improved my ability to read facial expressions - and I'm trying to be a better, more attentive listener.","[business, me, trying]",design
18,Ken Jennings,"The Final Jeopardy! questions seem to be, by design, things you can't know. And so it's not about who knows them, but who can figure them out in thirty seconds.","[questions, know, you]",design
19,Ursula Andress,I wanted to be a decorator. I wanted to interior design homes and do everything myself.,"[myself, interior, everything]",design
20,Hedi Slimane,"Just like zillions of children, album covers educated and informed me, and certainly did I later transpose organically, rather than by intent, those principles both in fashion design and photography.","[children, photography, me]",design
21,Hedi Slimane,"I'm going to design again, but I come back when it's the right project, so I keep my passion for it intact.","[passion, project, back]",design
22,Donald Norman,"In my opinion, no single design is apt to be optimal for everyone.","[opinion, everyone, single]",design
23,Donald Norman,Everyday people are not very good designers.,"[good, people, everyday]",design
24,Mary Barra,"When I am there at our global product development centers, I am meeting with the design team and reviewing design work being done there and meeting with engineers responsible for work being done specific to that region, meeting with purchasing team.","[work, team, i am]",design
25,John Galliano,"Above all, John Galliano menswear is all about good design. And men have been short-changed by good design for too long.","[good, men, long]",design
