,0,1,2,3
0,Bethenny Frankel,Your diet is a bank account. Good food choices are good investments.,"[food, good, choices]",diet
1,Jim Davis,"Vegetables are a must on a diet. I suggest carrot cake, zucchini bread, and pumpkin pie.","[thanksgiving, cake]",diet
2,Jason Statham,"Looking good and feeling good go hand in hand. If you have a healthy lifestyle, your diet and nutrition are set, and you're working out, you're going to feel good.","[good, looking, healthy]",diet
3,Tom Colicchio,"This is what people don't understand: obesity is a symptom of poverty. It's not a lifestyle choice where people are just eating and not exercising. It's because kids - and this is the problem with school lunch right now - are getting sugar, fat, empty calories - lots of calories - but no nutrition.","[school, poverty, people]",diet
4,Dave Attell,"What's the two things they tell you are healthiest to eat? Chicken and fish. You know what you should do? Combine them, eat a penguin.","[fish, know, you]",diet
5,Suze Orman,"People have got to learn: if they don't have cookies in the cookie jar, they can't eat cookies.","[people, learn, cookies]",diet
6,Cat Cora,I believe that parents need to make nutrition education a priority in their home environment. It's crucial for good health and longevity to instill in your children sound eating habits from an early age.,"[education, home, health]",diet
7,Todd English,"All the pre-made sauces in a jar, and frozen and canned vegetables, processed meats, and cheeses which are loaded with artificial ingredients and sodium can get in the way of a healthy diet. My number one advice is to eat fresh, and seasonally.","[advice, healthy, way]",diet
8,Kaley Cuoco,"Diet cola is my absolute favorite drink in the world; I used to drink four cans a day. But to help me cut down, I've turned it into a treat. Now, instead of having dessert, I'll have a can of diet soda. Putting a limit on how often I can drink it has helped me appreciate it more.","[day, help, world]",diet
9,John Gokongwei,"The most important factors for a long life, I think, are partly in the genes; number two is lifestyle, which includes healthy diet and regular exercise. I walk, run and swim every day. However, I think too much exercise is also unhealthy because of over-stress; sometimes people who exercise too many hours per day die early.","[life, day, people]",diet
10,Jack LaLanne,The only way you get that fat off is to eat less and exercise more.,"[exercise, fat, way]",diet
11,Louis C. K.,I don't stop eating when I'm full. The meal isn't over when I'm full. It's over when I hate myself.,"[myself, hate, eating]",diet
12,Bob Filner,"Childhood obesity is best tackled at home through improved parental involvement, increased physical exercise, better diet and restraint from eating.","[best, home, parenting]",diet
13,Matt Cartwright,"A balanced diet and physical activity are vital to academic performance. A healthy diet has a direct link to increased cognitive function and memory skills, decreased absenteeism from school, and improved mood. These advantages can help students stay focused and complete their coursework.","[school, memory, help]",diet
14,Dolly Parton,Every single diet I ever fell off of was because of potatoes and gravy of some sort.,"[single, potatoes, every]",diet
15,Arnold Schwarzenegger,"Bodybuilding is much like any other sport. To be successful, you must dedicate yourself 100% to your training, diet and mental approach.","[fitness, training, yourself]",diet
16,Nathan Myhrvold,"Software-industry battles are fought by highly paid and out-of-shape nerds furiously pounding computer keyboards while they guzzle diet Coke. The stakes aren't very dramatic. Life? Liberty? The pursuit of happiness? Nope, it's about stock options.","[life, happiness, liberty]",diet
17,Mireille Guiliano,"Once you have to start counting calories, it takes away from the joy of eating.","[joy, start, eating]",diet
18,Ron White,"There were years when I was a beer and tequila guy, then I got real fat. And then I found that you could actually go on a diet and drink scotch. Then I got hooked on scotch, and if you get hooked on scotch, then everything else just tastes wrong.","[beer, fat, you]",diet
19,Julie Bowen,"I'm on a strict gossip diet. No gossip websites, no gossip magazines. Otherwise, I find it paralyzing to exist.","[gossip, find, websites]",diet
20,Fergie,"In L.A., I get a meal delivery service called Diet Designs. I like a nice butter lettuce salad with some avocado, fresh grapefruit, shredded chicken breast and raw almond slices with a sesame vinaigrette dressing. I also love juicing and am kind of obsessed with it.","[love, service, nice]",diet
21,Zadie Smith,"I think of reading like a balanced diet; if your sentences are too baggy, too baroque, cut back on fatty Foster Wallace, say, and pick up Kafka as roughage.","[reading, think, say]",diet
22,Henry Rollins,"When I'm off the road, and I can really control my diet down to the calorie, I juice seven days a week. Every afternoon, whatever I have at hand, beets, carrots, ginger, whatever. I juice, literally, every single day. And on the road, I try to find fresh juice wherever I can.","[day, week, road]",diet
23,Kim Shaw,Everyone's been on a ramen noodle diet once or twice.,"[everyone, noodle, twice]",diet
24,Suzanne Somers,"I stopped dieting on plain, boring, unsatisfying food and started eating rich, delicious meals full of flavor and, yes... fat. I got skinny on fat and realized I would never have to diet again.","[food, rich, fat]",diet
25,Mae West,I never worry about diets. The only carrots that interest me are the number you get in a diamond.,"[me, worry, you]",diet
