,0,1,2,3
0,Colin Powell,"A dream doesn't become reality through magic; it takes sweat, determination and hard work.","[work, hard work]",dreams
1,Harriet Tubman,"Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.","[change, strength, patience]",dreams
2,Phillip Sweet,"Stay true to yourself, yet always be open to learn. Work hard, and never give up on your dreams, even when nobody else believes they can come true but you. These are not cliches but real tools you need no matter what you do in life to stay focused on your path.","[life, work, never give up]",dreams
3,Gail Devers,"Keep your dreams alive. Understand to achieve anything requires faith and belief in yourself, vision, hard work, determination, and dedication. Remember all things are possible for those who believe.","[work, hard work, faith]",dreams
4,Sarah Ban Breathnach,"New Year's Day. A fresh start. A new chapter in life waiting to be written. New questions to be asked, embraced, and loved. Answers to be discovered and then lived in this transformative year of delight and self-discovery. Today carve out a quiet interlude for yourself in which to dream, pen in hand. Only dreams give birth to change.","[life, change, new year's]",dreams
5,Eleanor Roosevelt,The future belongs to those who believe in the beauty of their dreams.,"[beauty, future, believe]",dreams
6,Robert Fulghum,I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,"[love, hope, death]",dreams
7,Donovan Bailey,"Follow your passion, be prepared to work hard and sacrifice, and, above all, don't let anyone limit your dreams.","[work, passion, work hard]",dreams
8,Ashley Smith,"Life is full of beauty. Notice it. Notice the bumble bee, the small child, and the smiling faces. Smell the rain, and feel the wind. Live your life to the fullest potential, and fight for your dreams.","[life, beauty, rain]",dreams
9,LL Cool J,"Stay focused, go after your dreams and keep moving toward your goals.","[goals, moving, your dreams]",dreams
10,Edgar Allan Poe,"Deep into that darkness peering, long I stood there, wondering, fearing, doubting, dreaming dreams no mortal ever dared to dream before.","[deep, darkness, dream]",dreams
11,Oprah Winfrey,The biggest adventure you can take is to live the life of your dreams.,"[life, adventure, your dreams]",dreams
12,Sarah Ban Breathnach,Take a leap of faith and begin this wondrous new year by believing. Believe in yourself. And believe that there is a loving Source - a Sower of Dreams - just waiting to be asked to help you make your dreams come true.,"[new year's, faith]",dreams
13,"H. Jackson Brown, Jr.",Never give up on what you really want to do. The person with big dreams is more powerful than the one with all the facts.,"[never give up, facts, want]",dreams
14,Walt Disney,"All our dreams can come true, if we have the courage to pursue them.","[courage, true, pursue]",dreams
15,Khalil Gibran,"Trust in dreams, for in them is hidden the gate to eternity.","[positive, trust, eternity]",dreams
16,Jon Bon Jovi,"Believe in love. Believe in magic. Hell, believe in Santa Clause. Believe in others. Believe in yourself. Believe in your dreams. If you don't, who will?","[love, santa]",dreams
17,Tupac Shakur,Reality is wrong. Dreams are for real.,"[reality, real, wrong]",dreams
18,William Shakespeare,We are such stuff as dreams are made on; and our little life is rounded with a sleep.,"[life, sleep, little]",dreams
19,Mike Tyson,"I'm a dreamer. I have to dream and reach for the stars, and if I miss a star then I grab a handful of clouds.","[stars, clouds, dream]",dreams
20,Donald Trump,"When I am president, I will work to ensure that all of our kids are treated equally and protected equally. Every action I take, I will ask myself, 'Does this make life better for young Americans in Baltimore, Chicago, Detroit, Ferguson, who have as much of a right to live out their dreams as any other child America?'","[life, work, myself]",dreams
21,Thomas Jefferson,I like the dreams of the future better than the history of the past.,"[future, history, past]",dreams
22,Khalil Gibran,"Yesterday is but today's memory, and tomorrow is today's dream.","[today, memory, tomorrow]",dreams
23,Pam Brown,"A horse is the projection of peoples' dreams about themselves - strong, powerful, beautiful - and it has the capability of giving us escape from our mundane existence.","[giving, beautiful, horse]",dreams
24,Langston Hughes,"Hold fast to dreams, for if dreams die, life is a broken-winged bird that cannot fly.","[life, bird, fly]",dreams
25,Pope John XXIII,"Consult not your fears but your hopes and your dreams. Think not about your frustrations, but about your unfulfilled potential. Concern yourself not with what you tried and failed in, but with what it is still possible for you to do.","[motivational, yourself]",dreams
