,0,1,2,3
0,Mariella Frostrup,"For most of us, when our 'dreams' - I use the word with reservations - came true, and marriage and motherhood became a reality, the romcoms, like horoscopes, swiftly lost their allure.","[marriage, reality]",dreams
1,Paul Bloom,"Even in the most peaceful communities, an appetite for violence shows up in dreams, fantasies, sports, play, literature, movies and television. And, so long as we don't transform into angels, violence and the threat of violence - as in punishment and deterrence - is needed to rein in our worst instincts.","[sports, violence, literature]",dreams
2,McKayla Maroney,"If you're following your dreams, you're doing something you love and that you believe in yourself for.","[love, believe in yourself]",dreams
3,Annette Bening,"We all get lost along the way, but hopefully we figure out some sort of path. It helps if you can imagine the process as well as the goal. Those kinds of dreams are easier to achieve.","[goal, path, lost]",dreams
4,Siri Hustvedt,There is no reason we should expect young children to enter the nocturnal darkness of sleep and dreams without help.,"[children, sleep, darkness]",dreams
5,Óscar Arias,"The Central American isthmus is a region of great contrasts, but also of heartening unison. Millions of men and women share dreams of freedom and progress.","[women, freedom, great]",dreams
6,Orison Swett Marden,"If our dreams are sincere desires to achieve, not mere pipe-dreams, there is something deep within ourselves which comes out to meet them and helps to make them realities.","[deep, achieve, something]",dreams
7,Andre Leon Talley,"I'd like to be remembered as someone who made a difference in the lives of young people - that I nurtured someone and taught them to pursue their dreams and their careers, to leave a legacy.","[legacy, people, someone]",dreams
8,D. H. Lawrence,"The world of men is dreaming, it has gone mad in its sleep, and a snake is strangling it, but it can't wake up.","[sleep, men, world]",dreams
9,Poorna Jagannathan,"I think the best thing I ever did was never tell anyone I wanted to be an actor. I find if you tell people what you're dreaming about, they'll usually come up with lots of reasons to not chase your dreams.","[best, people, your dreams]",dreams
10,Kim Yuna,"For an athlete myself, it is especially meaningful for our country to host an Olympics. Every athlete hopes to participate in an Olympics, so I still can't believe the games of dreams is going to take place in Korea.","[myself, believe, meaningful]",dreams
11,Leonor Varela,"Ask any parent what we want for our children, and invariably we say 'a better life.' To that end, we give our time, our sleep, our money, and our dreams, much as our parents did before us. We all want a better life for our children. But what we want for them ceases to matter if we leave them an unlivable world.","[life, time, money]",dreams
12,Jawaharlal Nehru,"Without peace, all other dreams vanish and are reduced to ashes.","[peace, ashes, without]",dreams
13,Tika Sumpter,"I know it's cliche to say, 'When you do something you love you never work a day in your life.' But it is true: When you do something you love, life gets to be a little bit easier and enjoyable. So I just want people to follow their dreams.","[life, love, work]",dreams
14,Sarah Louise Delany,In our dreams we are always young.,"[young, always, our dreams]",dreams
15,Djuna Barnes,Dreams have only the pigmentation of fact.,"[fact, only]",dreams
16,Louis Aragon,"O reason, reason, abstract phantom of the waking state, I had already expelled you from my dreams, now I have reached a point where those dreams are about to become fused with apparent realities: now there is only room here for myself.","[myself, reason, you]",dreams
17,Burt Rutan,"We need affordable space travel to inspire our youth, to let them know that they can experience their dreams, can set significant goals and be in a position to lead all of us to future progress in exploration, discovery and fun. Thanks to the X Prize for the inspiration.","[travel, future, experience]",dreams
18,Blanche Lincoln,It's not my job to dream your dreams. It's my job to make your dreams become a reality.,"[job, reality, your dreams]",dreams
19,John Agyekum Kufuor,"There has been enough suffering in our country, there has been enough of children whose dreams die before they have a chance to grow and there has been enough of our elders who, having served their nation, are forced into indignity in their old age.","[age, children, suffering]",dreams
20,Juliette Lewis,The worst thing you can do to a kid is tell them that their dreams are invalid.,"[you, worst, kid]",dreams
21,Ayumi Hamasaki,I don't have dreams. How can I say it? I myself am a dream.,"[myself, dream, say]",dreams
22,Edward Moore,I am rich beyond the dreams of avarice.,"[i am, rich, beyond]",dreams
23,Bruce Dickinson,"I enjoy making solo albums because over the years it's evolved into more of a genuine personal expression of story-telling and day dreams, and I work in a way that has more control.","[work, day, control]",dreams
24,Peter Arno,"Tell me about yourself - your struggles, your dreams, your telephone number.","[yourself, your dreams, me]",dreams
25,Amy Jo Johnson,My mom taught me to go after my dreams. I have this faith in myself that I must have gotten from her.,"[mom, faith, myself]",dreams
