,0,1,2,3
0,Billy Graham,"God proved His love on the Cross. When Christ hung, and bled, and died, it was God saying to the world, 'I love you.'","[love, god, i love you]",easter
1,Saint Augustine,God loves each of us as if there were only one of us.,"[god, us, only]",easter
2,Deepak Chopra,The symbolic language of the crucifixion is the death of the old paradigm; resurrection is a leap into a whole new way of thinking.,"[death, language, thinking]",easter
3,Trey Parker,"Even if you're not Christian, just from being in our culture you know Jesus and resurrection and redemption.","[culture, christian, know]",easter
4,Chuck Palahniuk,"What is the real purpose behind the Tooth Fairy, the Easter Bunny and Santa Claus? They seem like greater steps toward faith and imagination, each with a payoff. Like cognitive training exercises.","[faith, santa, imagination]",easter
5,Pope John Paul II,Do not abandon yourselves to despair. We are the Easter people and hallelujah is our song.,"[people, song, despair]",easter
6,Charles Stanley,"There is only one secure foundation: a genuine, deep relationship with Jesus Christ, which will carry you through any and all turmoil. No matter what storms are raging all around, you'll stand firm if you stand on His love.","[love, relationship, deep]",easter
7,Joel Osteen,"People respond when you tell them there is a great future in front of you, you can leave your past behind.","[future, great, past]",easter
8,Amy Sedaris,My mom used to say that Greek Easter was later because then you get stuff cheaper.,"[mom, you, say]",easter
9,Basil Hume,"The great gift of Easter is hope - Christian hope which makes us have that confidence in God, in his ultimate triumph, and in his goodness and love, which nothing can shake.","[love, hope, god]",easter
10,Gordon B. Hinckley,There would be no Christmas if there was no Easter.,"[christmas, would]",easter
11,William P. Young,"I really do believe that God is love, one of deep affection and grace and forgiveness and inspiration.","[love, forgiveness, god]",easter
12,Ravi Zacharias,"Outside of the cross of Jesus Christ, there is no hope in this world. That cross and resurrection at the core of the Gospel is the only hope for humanity. Wherever you go, ask God for wisdom on how to get that Gospel in, even in the toughest situations of life.","[life, hope, wisdom]",easter
13,Dwight L. Moody,"We are told to let our light shine, and if it does, we won't need to tell anybody it does. Lighthouses don't fire cannons to call attention to their shining - they just shine.","[light, fire, shine]",easter
14,Ezra Taft Benson,"Faith in the Lord Jesus Christ is the foundation upon which sincere and meaningful repentance must be built. If we truly seek to put away sin, we must first look to Him who is the Author of our salvation.","[faith, foundation, look]",easter
15,Phillips Brooks,"Let every man and woman count himself immortal. Let him catch the revelation of Jesus in his resurrection. Let him say not merely, 'Christ is risen,' but 'I shall rise.'","[woman, man, rise]",easter
16,Ethel Merman,"At one time I smoked, but in 1959 I couldn't think of anything else to give up for Lent so I stopped - and I haven't had a cigarette since.","[time, think, cigarette]",easter
17,Joel Osteen,We were old sinners - but when we came to Christ we are not sinners anymore.,"[old, sinners, anymore]",easter
18,Charles Stanley,"The moment someone chooses to trust in Jesus Christ, his sins are wiped away, and he is adopted into God's family. That individual is set apart as a child of God, with a sacred purpose.","[family, trust, god]",easter
19,Rick Warren,"The Bible tells us that Jesus Christ came to do three things. He came to have my past forgiven, you get a purpose for living and a home in Heaven.","[home, past, purpose]",easter
20,Bede Griffiths,"God had brought me to my knees and made me acknowledge my own nothingness, and out of that knowledge I had been reborn. I was no longer the centre of my life and therefore I could see God in everything.","[life, knowledge, god]",easter
21,William Barclay,"Love always involves responsibility, and love always involves sacrifice. And we do not really love Christ unless we are prepared to face His task and to take up His Cross.","[love, responsibility, face]",easter
22,Daniel Morgan,"I believe in one God, the first and great cause of goodness. I also believe in Jesus Christ, the rebirth of the world. I also believe in the Holy Ghost, the comforter.","[god, great, believe]",easter
23,Bernhard Langer,"To a Christian, Easter Sunday means everything, when we celebrate the resurrection of Jesus Christ.","[celebrate, christian, jesus]",easter
24,Basil Hume,"Christ shared our experience; he suffered as we suffer; he died as we shall die, and for forty days in the desert he underwent the struggle between good and evil.","[experience, good, struggle]",easter
25,Keith O'Brien,"I know that many of you do wear such a cross of Christ, not in any ostentatious way, not in a way that might harm you at your work or recreation, but a simple indication that you value the role of Jesus Christ in the history of the world, that you are trying to live by Christ's standards in your own daily life.","[life, work, history]",easter
