,0,1,2,3
0,Lea DeLaria,"What do you mean you don't believe in homosexuality? It's not like the Easter Bunny, your belief isn't necessary.","[believe, belief, you]",easter
1,William Weld,"Do we believe that there is equal economic opportunity out there in the real world, right now, for each and every one of these groups? If we believed in the tooth fairy, if we believed in the Easter Bunny, we might well believe that.","[opportunity, believe, world]",easter
2,Jacques Pepin,"I cooked at the White House for Easter, last year, with Michelle Obama. But it more had to do with cooking from the organic garden, and her message. I took my daughter and granddaughter there, and they were really charming, it was great.","[cooking, great, daughter]",easter
3,Jane Elliot,"I loved raising my kids. I loved the process, the dirt of it, the tears of it, the frustration of it, Christmas, Easter, birthdays, growth charts, pediatrician appointments. I loved all of it.","[christmas, mom, growth]",easter
4,Kaley Cuoco,"I wasn't allowed to have sugar as a kid. We didn't have candy or soda or anything, so Easter and Halloween were my favorite times 'cause I could eat as much candy as I wanted.","[candy, halloween, sugar]",easter
5,Josh McDowell,Christ appeared alive on several occasions after the cataclysmic events of that first Easter.,"[alive, first, events]",easter
6,Robert South,"God expects from men something more than at such times, and that it were much to be wished for the credit of their religion as well as the satisfaction of their conscience that their Easter devotions would in some measure come up to their Easter dress.","[god, religion, men]",easter
7,Dennis Crowley,"Between the three, Facebook is literally everyone I've ever shaken hands with at a conference or kissed on the cheek at Easter. Twitter seems to be everyone I am entertained by or I wish to meet some day. Foursquare seems to be everyone I run into on a regular basis. All three of those social graphs are powerful in their own.","[day, i am, hands]",easter
8,Benjamin Franklin,Those have a short Lent who owe money to be paid at Easter.,"[money, short, owe]",easter
9,Joseph B. Wirthlin,During my life I have heard many sermons on the Resurrection. I can recite the events of that first Easter Sunday. I have marked in my scriptures passages regarding the Resurrection.,"[life, my life, resurrection]",easter
10,Nicolas Cage,"Personally, my interests are ancient history and ancient civilizations. In my own life, I'd like to go to places like Easter Island.","[life, history, island]",easter
11,Michael Leunig,"Easter is reflecting upon suffering for one thing, but it also reflects upon Jesus and his non compliance in the face of great authority where he holds to his truth - so there's two stories there.","[truth, great, suffering]",easter
12,Michael Leunig,"It is at Easter that Jesus is most human, and like all humans, he fails and is failed. His is not an all-powerful God, it is an all-vulnerable God.","[god, jesus, human]",easter
13,Michael Leunig,"Easter is not limited to the passion and death of Christ; it also includes the dismal tragedy of life unlived by the many, and all the loss of passion and truth that goes with it.","[life, death, truth]",easter
14,Bono,"But with Christ, we have access in a one-to-one relationship, for, as in the Old Testament, it was more one of worship and awe, a vertical relationship. The New Testament, on the other hand, we look across at a Jesus who looks familiar, horizontal. The combination is what makes the Cross.","[relationship, look, jesus]",easter
15,Victoria Beckham,"I've got great people who handle my schedule, and everything does revolve around the children. If there's a parents' night or an Easter bonnet parade or a Nativity play, whatever it might be, then I plan everything around that.","[children, great, parents]",easter
16,Julie Burchill,"I don't really care what people tell children - when you believe in Santa Claus, the Easter Bunny and the Tooth Fairy, one more fib won't hurt. But I am infuriated by the growing notion, posited in some touchy-feely quarters, that all women are, or can be, beautiful.","[women, children, beautiful]",easter
17,Jay Parini,"Each year in early spring, during the season of Lent, which begins on Ash Wednesday and concludes on Easter, a plenitude of books, magazine articles, and television shows about Jesus appear.","[season, year, spring]",easter
18,Robert H. Schuller,"I built my church on Easter services, Christmas Eve services, and Norman Vincent Peale.","[christmas, church, services]",easter
19,Kate Christensen,"Country ham is baked whole, usually with a glaze, sometimes studded with cloves, and served as the centerpiece of Christmas and Easter feasts.","[christmas, country]",easter
20,Camila Alves,"Easter is one of my favorite holidays with the kids. They get to run loose, and we always have our family and loved ones all around us!","[family, holidays, loved]",easter
21,Marc Guggenheim,"Fortunately, the DC Universe is full enough and replete enough with every kind of character that you could want, that it's not that hard to find the right character. Sometimes it's nothing more than an Easter egg, or a name drop, and sometimes it's someone like 'Deathstroke,' who is a huge part of the DC Universe.","[character, universe, find]",easter
22,Frederica Mathewes-Green,"Easter tells us of something children can't understand, because it addresses things they don't yet have to know: the weariness of life, the pain, the profound loneliness and hovering fear of meaninglessness.","[life, fear, children]",easter
23,Frederica Mathewes-Green,"Easter may seem boring to children, and it is blessedly unencumbered by the silly fun that plagues Christmas. Yet it contains the one thing needful for every human life: the good news of Resurrection.","[christmas, life, children]",easter
24,Frederica Mathewes-Green,"Somehow we just don't make the same boisterous fun of Holy Week that we do of Christmas. No one plans to have a holly, jolly Easter.","[christmas, week, fun]",easter
25,Thomas Mallon,"I was raised - and still consider myself to be - Catholic, though I'm non-practicing and haven't fulfilled my Easter duty since sometime during the Nixon years. I'm assailed by all kinds of stimulating doubts, but I do believe in God.","[god, myself, believe]",easter
