,0,1,2,3
0,Aristotle,"The roots of education are bitter, but the fruit is sweet.","[roots, sweet, fruit]",education
1,Nelson Mandela,Education is the most powerful weapon which you can use to change the world.,"[change, change the world]",education
2,Benjamin Franklin,An investment in knowledge pays the best interest.,"[best, knowledge, investment]",education
3,Malcolm X,"Education is the passport to the future, for tomorrow belongs to those who prepare for it today.","[future, today, tomorrow]",education
4,Sydney J. Harris,The whole purpose of education is to turn mirrors into windows.,"[purpose, mirrors, turn]",education
5,John Dewey,Education is not preparation for life; education is life itself.,"[life, preparation, itself]",education
6,"Martin Luther King, Jr.",The function of education is to teach one to think intensively and to think critically. Intelligence plus character - that is the goal of true education.,"[intelligence, character]",education
7,Calvin Coolidge,Nothing in this world can take the place of persistence. Talent will not: nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not: the world is full of educated derelicts. Persistence and determination alone are omnipotent.,"[failure, determination]",education
8,Albert Einstein,Education is what remains after one has forgotten what one has learned in school.,"[learning, school, forgotten]",education
9,Leo Buscaglia,Change is the end result of all true learning.,"[change, learning, end]",education
10,Solomon Ortiz,"Education is the key to success in life, and teachers make a lasting impact in the lives of their students.","[life, success, teacher]",education
11,Kofi Annan,"Knowledge is power. Information is liberating. Education is the premise of progress, in every society, in every family.","[family, knowledge, power]",education
12,Herbert Spencer,The great aim of education is not knowledge but action.,"[knowledge, great, action]",education
13,Jiddu Krishnamurti,"There is no end to education. It is not that you read a book, pass an examination, and finish with education. The whole of life, from the moment you are born to the moment you die, is a process of learning.","[life, learning, end]",education
14,Anthony J. D'Angelo,"Develop a passion for learning. If you do, you will never cease to grow.","[learning, passion, grow]",education
15,Aristotle,It is the mark of an educated mind to be able to entertain a thought without accepting it.,"[mind, thought, educated]",education
16,Plato,Music is the movement of sound to reach the soul for the education of its virtue.,"[music, soul, sound]",education
17,Albert Einstein,Intellectual growth should commence at birth and cease only at death.,"[death, growth, intellectual]",education
18,Maimonides,Give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime.,"[day, man, fish]",education
19,Carl Rogers,The only person who is educated is the one who has learned how to learn and change.,"[change, learn, educated]",education
20,Ronaldinho,"My family is everything. I am what I am thanks to my mother, my father, my brother, my sister... because they have given me everything. The education I have is thanks to them.","[family, father, mother]",education
21,Chanakya,Education is the best friend. An educated person is respected everywhere. Education beats the beauty and the youth.,"[best, beauty, best friend]",education
22,Daniel J. Boorstin,Education is learning what you didn't even know you didn't know.,"[learning, know, you]",education
23,Allan Bloom,Education is the movement from darkness to light.,"[light, darkness, movement]",education
24,Neil deGrasse Tyson,"Humans aren't as good as we should be in our capacity to empathize with feelings and thoughts of others, be they humans or other animals on Earth. So maybe part of our formal education should be training in empathy. Imagine how different the world would be if, in fact, that were 'reading, writing, arithmetic, empathy.'","[good, empathy, training]",education
25,Albert Einstein,It is a miracle that curiosity survives formal education.,"[curiosity, miracle, formal]",education
