,0,1,2,3
0,Heinrich Heine,"If the Romans had been obliged to learn Latin, they would never have found time to conquer the world.","[time, world, conquer]",education
1,Jane Byrne,Our universities and museums are respected around the country.,"[country, museums, respected]",education
2,Horace Mann,"Resolve to edge in a little reading every day, if it is but a single sentence. If you gain fifteen minutes a day, it will make itself felt at the end of the year.","[end, day, reading]",education
3,Tammy Faye Bakker,You can educate yourself right out of a relationship with God.,"[relationship, god, yourself]",education
4,Tallulah Bankhead,"I read Shakespeare and the Bible, and I can shoot dice. That's what I call a liberal education.","[bible, i can, liberal]",education
5,A. Bartlett Giamatti,"A liberal education is at the heart of a civil society, and at the heart of a liberal education is the act of teaching.","[heart, society]",education
6,Ernest Renan,The simplest schoolboy is now familiar with truths for which Archimedes would have sacrificed his life.,"[life, now, which]",education
7,Pauline Phillips,"True, a little learning is a dangerous thing, but it still beats total ignorance.","[learning, ignorance, true]",education
8,G. M. Trevelyan,Education... has produced a vast population able to read but unable to distinguish what is worth reading.,"[reading, worth, population]",education
9,Roger Ascham,Learning teacheth more in one year than experience in twenty.,"[learning, experience, year]",education
10,Alan K. Simpson,"An educated man is thoroughly inoculated against humbug, thinks for himself and tries to give his thoughts, in speech or on paper, some style.","[man, style, thoughts]",education
11,Gail Godwin,Good teaching is one-fourth preparation and three-fourths pure theatre.,"[good, preparation, theatre]",education
