,0,1,2,3
0,John Muir,"Keep close to Nature's heart... and break clear away, once in awhile, and climb a mountain or spend a week in the woods. Wash your spirit clean.","[nature, mountain, heart]",environmental
1,Ban Ki-moon,"Saving our planet, lifting people out of poverty, advancing economic growth... these are one and the same fight. We must connect the dots between climate change, water scarcity, energy shortages, global health, food security and women's empowerment. Solutions to one problem must be solutions for all.","[change, food, health]",environmental
2,Margaret Mead,We won't have a society if we destroy the environment.,"[society, environment]",environmental
3,Madeleine M. Kunin,"When all the world appears to be in a tumult, and nature itself is feeling the assault of climate change, the seasons retain their essential rhythm. Yes, fall gives us a premonition of winter, but then, winter, will be forced to relent, once again, to the new beginnings of soft greens, longer light, and the sweet air of spring.","[change, winter, nature]",environmental
4,Evo Morales,"Sooner or later, we will have to recognise that the Earth has rights, too, to live without pollution. What mankind must know is that human beings cannot live without Mother Earth, but the planet can live without humans.","[mother, earth, pollution]",environmental
5,Mike Huckabee,"The most important thing about global warming is this. Whether humans are responsible for the bulk of climate change is going to be left to the scientists, but it's all of our responsibility to leave this planet in better shape for the future generations than we found it.","[change, future]",environmental
6,Bill Nye,"Climate change is happening, humans are causing it, and I think this is perhaps the most serious environmental issue facing us.","[change, climate change]",environmental
7,Anna Freud,"We are aware only of the empty space in the forest, which only yesterday was filled with trees.","[space, trees, forest]",environmental
8,Barry Commoner,Environmental pollution is an incurable disease. It can only be prevented.,"[pollution, disease, only]",environmental
9,Michael Burgess,Nuclear power will help provide the electricity that our growing economy needs without increasing emissions. This is truly an environmentally responsible source of energy.,"[power, help, energy]",environmental
10,Margaret Mead,"Never doubt that a small group of thoughtful, committed citizens can change the world; indeed, it's the only thing that ever has.","[change, change the world]",environmental
11,Norm Dicks,The Endangered Species Act is the strongest and most effective tool we have to repair the environmental harm that is causing a species to decline.,"[endangered species, repair]",environmental
12,Russel Honore,People need to be cautious because anything built by man can be destroyed by Mother Nature.,"[nature, mother, man]",environmental
13,John Muir,"When we try to pick out anything by itself, we find it hitched to everything else in the universe.","[universe, find, try]",environmental
14,Sidney Sheldon,Try to leave the Earth a better place than when you arrived.,"[earth, better, try]",environmental
15,Elon Musk,"We're running the most dangerous experiment in history right now, which is to see how much carbon dioxide the atmosphere... can handle before there is an environmental catastrophe.","[history, see, dangerous]",environmental
16,Ban Ki-moon,"Sustainable development is the pathway to the future we want for all. It offers a framework to generate economic growth, achieve social justice, exercise environmental stewardship and strengthen governance.","[future, growth, justice]",environmental
17,Renee James,"Develop resilience and be brave. There are days when it is very discouraging. You have to develop personal resilience to environmental things that come along. If you let every single environmental challenge knock you off your game, it's going to be very, very hard.","[resilience, challenge, brave]",environmental
18,Susan George,"If you cut down a forest, it doesn't matter how many sawmills you have if there are no more trees.","[trees, forest, down]",environmental
19,Isaac Bashevis Singer,"I did not become a vegetarian for my health, I did it for the health of the chickens.","[health, vegetarian, chickens]",environmental
20,Al Gore,I think the cost of energy will come down when we make this transition to renewable energy.,"[renewable energy, energy]",environmental
21,Sitting Bull,"They claim this mother of ours, the Earth, for their own use, and fence their neighbors away from her, and deface her with their buildings and their refuse.","[mother, earth, neighbors]",environmental
22,Richard Lamm,"Our globe is under new dramatic environmental pressure: our globe is warming, our ice caps melting, our glaciers receding, our coral is dying, our soils are eroding, our water tables falling, our fisheries are being depleted, our remaining rainforests shrinking. Something is very, very wrong with our eco-system.","[water, pressure, dying]",environmental
23,Pat Buckley,"I can find God in nature, in animals, in birds and the environment.","[nature, god, environment]",environmental
24,Henry David Thoreau,"Every creature is better alive than dead, men and moose and pine trees, and he who understands it aright will rather preserve its life than destroy it.","[life, men, trees]",environmental
25,Dan Lipinski,"Yet, despite our many advances, our environment is still threatened by a range of problems, including global climate change, energy dependence on unsustainable fossil fuels, and loss of biodiversity.","[change, climate change, loss]",environmental
