,0,1,2,3
0,Richard Trumka,"Time after time we're told corporations should have freedom from pesky job safety regulations, environmental protections and labor standards - giving working people the freedom to be crushed in collapsing mines, choke on filthy air and get paid too little to live on.","[time, freedom, giving]",environmental
1,Ellen DeGeneres,"If we're destroying our trees and destroying our environment and hurting animals and hurting one another and all that stuff, there's got to be a very powerful energy to fight that. I think we need more love in the world. We need more kindness, more compassion, more joy, more laughter. I definitely want to contribute to that.","[love, kindness, joy]",environmental
2,E. O. Wilson,Destroying rainforest for economic gain is like burning a Renaissance painting to cook a meal.,"[painting, renaissance]",environmental
3,Kurt Vonnegut,We could have saved the Earth but we were too damned cheap.,"[earth, cheap, saved]",environmental
4,O. Henry,"We may achieve climate, but weather is thrust upon us.","[weather, achieve, may]",environmental
5,Christopher Dodd,We learned that economic growth and environmental protection can and should go hand in hand.,"[growth, protection, economic]",environmental
6,Alex Trebek,"If you can't be in awe of Mother Nature, there's something wrong with you.","[nature, mother, you]",environmental
7,Will Steger,Within 10 years it will be impossible to travel to the North Pole by dog team. There will be too much open water.,"[travel, water, dog]",environmental
8,John James Audubon,"A true conservationist is a man who knows that the world is not given by his fathers, but borrowed from his children.","[children, man, world]",environmental
9,Dennis Weaver,We don't have to sacrifice a strong economy for a healthy environment.,"[strong, sacrifice]",environmental
10,Peter Benchley,Without the oceans there would be no life on Earth.,"[life, earth, without]",environmental
11,Jim Fowler,"The quicker we humans learn that saving open space and wildlife is critical to our welfare and quality of life, maybe we'll start thinking of doing something about it.","[life, quality, thinking]",environmental
12,John Garamendi,"Mother Nature comes up against reality, and the reality is that the system doesn't work.","[work, nature, mother]",environmental
13,Ban Ki-moon,"Grave security concerns can arise as a result of demographic trends, chronic poverty, economic inequality, environmental degradation, pandemic diseases, organized crime, repressive governance and other developments no state can control alone. Arms can't address such concerns.","[alone, poverty, security]",environmental
14,Barry Commoner,Earth Day 1970 was irrefutable evidence that the American people understood the environmental threat and wanted action to resolve it.,"[day, people, american]",environmental
15,Jay Inslee,"We had some major successes and we did so because the country embraced the spirit of Earth Day and embraced this concept that we have to have forward-looking, visionary environmental policy and energy policy in this country.","[day, earth, energy]",environmental
16,Sigmar Gabriel,"But, as environment minister, I am very interested in a thriving German automobile industry, because I can only pay for the rising costs of environmental protection at home and abroad if there are people in Germany with jobs and who pay taxes.","[home, i am, environment]",environmental
17,Muhammad Yunus,"Unprecedented technological capabilities combined with unlimited human creativity have given us tremendous power to take on intractable problems like poverty, unemployment, disease, and environmental degradation. Our challenge is to translate this extraordinary potential into meaningful change.","[change, creativity, power]",environmental
18,David Attenborough,All our environmental problems become easier to solve with fewer people and harder - and ultimately impossible to solve - with ever more people.,"[people, problems, impossible]",environmental
19,Li Keqiang,"The growth that we want is one that brings real benefits to the people, raises quality and efficiency of development, and contributes to energy conservation and environmental protection.","[growth, quality, people]",environmental
20,Josh Fox,"The Safe Drinking Water Act, the safety provisions of the Clean Water Acts, the Clean Air Act, the Superfund Law - the gas industry is exempt from all these basic environmental and worker protections. They don't have to disclose the chemicals they use. They don't have to play by the same rules as anybody else.","[water, safety, law]",environmental
21,Albert Einstein,The environment is everything that isn't me.,"[environment, me, everything]",environmental
22,Aldo Leopold,Conservation is a state of harmony between men and land.,"[men, harmony, land]",environmental
23,E. O. Wilson,"If all mankind were to disappear, the world would regenerate back to the rich state of equilibrium that existed ten thousand years ago. If insects were to vanish, the environment would collapse into chaos.","[environment, world, chaos]",environmental
24,Henry David Thoreau,"If a man walks in the woods for love of them half of each day, he is in danger of being regarded as a loafer. But if he spends his days as a speculator, shearing off those woods and making the earth bald before her time, he is deemed an industrious and enterprising citizen.","[love, time, day]",environmental
25,Jacques Yves Cousteau,"Water and air, the two essential fluids on which all life depends, have become global garbage cans.","[life, water, garbage]",environmental
