,0,1,2,3
0,Rosa Parks,"Racism is still with us. But it is up to us to prepare our children for what they have to meet, and, hopefully, we shall overcome.","[children, racism, meet]",equality
1,Malala Yousafzai,"I speak not for myself but for those without voice... those who have fought for their rights... their right to live in peace, their right to be treated with dignity, their right to equality of opportunity, their right to be educated.","[peace, myself, opportunity]",equality
2,"Martin Luther King, Jr.","I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin, but by the content of their character.","[children, character, day]",equality
3,Muhammad Ali Jinnah,No struggle can ever succeed without women participating side by side with men.,"[women, struggle, men]",equality
4,John F. Kennedy,"If we cannot now end our differences, at least we can help make the world safe for diversity.","[diversity, end, help]",equality
5,Monica Crowley,"True equality means holding everyone accountable in the same way, regardless of race, gender, faith, ethnicity - or political ideology.","[faith, gender, political]",equality
6,George Orwell,"All animals are equal, but some animals are more equal than others.","[animals, equal, others]",equality
7,W. C. Fields,I am free of all prejudices. I hate everyone equally.,"[hate, i am, free]",equality
8,Chief Joseph,"The earth is the mother of all people, and all people should have equal rights upon it.","[mother, people, earth]",equality
9,George Mason,"We came equals into this world, and equals shall we go out of it.","[world, go, equals]",equality
10,Aristotle,The worst form of inequality is to try to make unequal things equal.,"[inequality, equal, try]",equality
11,Malcolm X,"Nobody can give you freedom. Nobody can give you equality or justice or anything. If you're a man, you take it.","[freedom, justice, man]",equality
12,Ellen DeGeneres,"Here are the values that I stand for: honesty, equality, kindness, compassion, treating people the way you want to be treated and helping those in need. To me, those are traditional values.","[kindness, honesty]",equality
13,Thomas Jefferson,"Rightful liberty is unobstructed action according to our will within limits drawn around us by the equal rights of others. I do not add 'within the limits of the law' because law is often but the tyrant's will, and always so when it violates the rights of the individual.","[law, action, limits]",equality
14,Kofi Annan,"Gender equality is more than a goal in itself. It is a precondition for meeting the challenge of reducing poverty, promoting sustainable development and building good governance.","[good, goal, poverty]",equality
15,Mahatma Gandhi,"I believe in equality for everyone, except reporters and photographers.","[believe, i believe, everyone]",equality
16,Friedrich August von Hayek,Even the striving for equality by means of a directed economy can result only in an officially enforced inequality - an authoritarian determination of the status of each individual in the new hierarchical order.,"[determination, inequality]",equality
17,B. R. Ambedkar,"Indians today are governed by two different ideologies. Their political ideal set in the preamble of the Constitution affirms a life of liberty, equality and fraternity. Their social ideal embodied in their religion denies them.","[life, today, religion]",equality
18,W. E. B. Du Bois,"From the day of its birth, the anomaly of slavery plagued a nation which asserted the equality of all men, and sought to derive powers of government from the consent of the governed. Within sound of the voices of those who said this lived more than half a million black slaves, forming nearly one-fifth of the population of a new nation.","[day, slavery, government]",equality
19,Robert Casey,The advocates of abortion on demand falsely assume two things: that women must suffer if the lives of unborn children are legally protected; and that women can only attain equality by having the legal option of destroying their innocent offspring in the womb.,"[women, children, legal]",equality
20,Evo Morales,"The most important thing is the indigenous people are not vindictive by nature. We are not here to oppress anybody - but to join together and build Bolivia, with justice and equality.","[nature, justice, together]",equality
21,Rosa Parks,"I have never been what you would call just an integrationist. I know I've been called that... Integrating that bus wouldn't mean more equality. Even when there was segregation, there was plenty of integration in the South, but it was for the benefit and convenience of the white person, not us.","[segregation, know, you]",equality
22,Sarah MacLean,"The best partnerships aren't dependent on a mere common goal but on a shared path of equality, desire, and no small amount of passion.","[best, passion, goal]",equality
23,Malala Yousafzai,"There should be no discrimination against languages people speak, skin color, or religion.","[religion, discrimination]",equality
24,Tsai Ing-wen,"In the face of love, everyone is equal. Let everyone have the freedom to love and to pursue their happiness. I am Tsai Ing-wen, and I support marriage equality.","[love, happiness, marriage]",equality
25,Mao Zedong,Genuine equality between the sexes can only be realized in the process of the socialist transformation of society as a whole.,"[society, transformation]",equality
