,0,1,2,3
0,Hugo Chavez,"We want to be brothers and sisters. We want respect and equality. Simon Bolivar, our father, said a balanced world - a universe - a balanced universe in order to have peace and development.","[peace, respect, father]",equality
1,Hugo Chavez,I'm a Christian. I want the world of justice and equality. This is the only way to achieve peace.,"[peace, justice, world]",equality
2,Kaley Cuoco,"I know a lot of the work that paved the way for women happened before I was around... I was never that feminist girl demanding equality, but maybe that's because I've never really faced inequality.","[work, women, girl]",equality
3,Reuven Rivlin,"I believe that our democratic values are also born out of our Jewish faith, a 'love for the stranger,' and equality before the law - these are not foreign values: this is Judaism.","[love, faith, believe]",equality
4,Sonia Sotomayor,"Until we get equality in education, we won't have an equal society.","[education, society, equal]",equality
5,Emmanuel Macron,"It's about our ability precisely to integrate a people and offer jobs, and that, for me, is one of the key rationales of the reforms I'm pushing, and I'm a strong believer in that when you lift barriers, when you deregulate a lot of stuff, basically you improve the equality of opportunities.","[strong, opportunities]",equality
6,Jenny Slate,"I think that there have been a lot of fear-based assertions that feminism is about aggression, and that is incorrect and untrue. Feminism is about equality; that's what it's about.","[feminism, think, aggression]",equality
7,John Delaney,"I'm immensely proud to be a Democrat because of our party's history of fighting for justice, fairness, and equality. From Roosevelt to Obama, we've worked to bring seniors and children out of poverty, expanded civil rights, supported science and research, and pushed for equality of opportunity.","[history, science, children]",equality
8,Katie Taylor,I wouldn't really call myself a feminist. I obviously want equality and equal opportunities to the men.,"[myself, men, opportunities]",equality
9,Lizzie Armitstead,"Outside the Olympics, there are massive discrepancies within all sports. But the positive side for me is that the Olympics are the biggest platform there is, and there's total equality across all sports.","[positive, sports, me]",equality
10,Jay Parini,"We should never forget that Americans continue to advocate for individual liberty, equality and self-governance. We often step in when it's necessary to help countries in need. But our history needs no whitewashing. To attempt this does us a terrible disservice.","[history, help, step]",equality
11,John Ridley,"Old white guys can be a funny bunch, can't they? The same anti-same-sex marriage, anti-affirmative action cadre can flower into the biggest supporters of 'equality' the minute they get a whiff of minority empowerment.","[funny, marriage, flower]",equality
12,Jay Samit,"I never understood why women wanted equality in the workplace when in fact, that would be selling them short.","[women, short, why]",equality
13,Joan Jett,"The media says that equality for women has arrived, but if you look around, you still don't see girls playing guitars and having success with it.","[success, women, media]",equality
14,Yair Lapid,"I want to do everything in my power to ensure the equality between all movements of Judaism in the state of Israel: Orthodox, Conservative, or Reform. In conversions, in budgets, in the eyes of the law. No one can claim ownership over the Jewish God.","[god, power, eyes]",equality
15,Shelly-Ann Fraser-Pryce,"The only thing I advocate for is for equality for female athletes because we train just as hard, and we're always having a lot of head-to-head clashes, always competing against each other.","[train, always, advocate]",equality
16,Andrew Cuomo,I am fiscally prudent and socially progressive. I believe in protecting a woman's right to choose. I believe in marriage equality.,"[marriage, woman, believe]",equality
17,Andrew Cuomo,Marriage equality changed life for people.,"[life, marriage, people]",equality
18,Elizabeth Esty,"My brother had the courage to come out in 1978, when equality was still a distant dream.","[courage, brother, dream]",equality
19,Roxane Gay,"Feminism is just an idea. It's a philosophy. It's about the equality of women in all realms. It's not about man-hating. It's not about being humorless. We have to let go of these misconceptions that have plagued feminism for 40, 50 years.","[women, philosophy, feminism]",equality
20,Roxane Gay,"I support anything that broadens the message of gender equality and tempers the stigma of the feminist label. We run into trouble, though, when we celebrate celebrity feminism while avoiding the actual work of feminism.","[work, support, gender]",equality
21,Rick Perlstein,"Liberals tend to stress how marvelous education is, in and of itself, and also adore it as a vessel for genuine equality. (That's me, by the way: Hell, I think we should be spending $50 billion a year to make college education free).","[education, stress, college]",equality
22,Pankaj Mishra,"In 1919, at the Paris Peace Conference, Japan had put forward a proposal to guarantee racial equality at the League of Nations, but Woodrow Wilson overturned it in the face of majority support.","[peace, support, racial]",equality
23,Abby Wambach,"I'm going to do anything I can do - whether that's being part of FIFA or creating some sort of movement that can actually impart real equality across all lines - in every country, every city, every sector all over the world, that's what I'm going to do.","[world, city, country]",equality
24,Ken Livingstone,There needs to be radical development in equality law to create the environment to allow women to stay in work.,"[work, women, law]",equality
25,Scott Weiland,"There's a beauty in being part of a band, when there's equality and trust.","[beauty, trust, band]",equality
