,0,1,2,3
0,Heidi Hayes Jacobs,"Too often, teachers assume that they are introducing a book or concept to students for the first time. In fact, many units are repeated over the course of a student's K-12 experience.","[time, book, student]",experience
1,Miriam Toews,"Writing helps me to create order out of chaos and make sense of things. It helps me to understand what I've experienced, what I've felt and seen, so it becomes a little easier to handle. On the other hand, I don't want it to be just a cathartic experience, an outpouring of grief or whatever it is.","[writing, grief, me]",experience
2,James Horner,You have to make an audience experience with the ears as well as their eyes.,"[eyes, you, audience]",experience
3,Frank Quattrone,"I thought I was kind of a hotshot because I had had two years of work experience at Morgan Stanley, and I was about to get my Stanford M.B.A.","[work, thought, kind]",experience
4,Vince Staples,"My cares come from a very selfish place 'cause in reality I'm young, and I haven't had the experience to be mature yet.","[selfish, reality, young]",experience
5,John Krasinski,"All relationships are a learning experience, even ones you continue to be in. If you don't see them as that, then that's a problem.","[learning, problem, see]",experience
6,Connor Franta,"When a moment in front of me appears to be particularly special, whether it be by beauty or experience, I capture it. I usually find a reason to justify taking that photo - symmetry, or color, or contrast - and it's my hope that my photography sheds light onto what I see and do on a daily basis.","[hope, beauty, light]",experience
7,Katherine Schwarzenegger,"Shopping is a great way to bond with the girls, but it definitely makes us focus on our bodies and compare ourselves to others. Something that should be a fun outing with the girls can turn into an uncomfortable experience.","[great, focus, fun]",experience
8,Marquis de Lafayette,"I experience for the American officers and soldiers that friendship which arises from having shared with them for a length of time dangers, sufferings, and both good and evil fortune.","[friendship, time, good]",experience
9,Nicola Sturgeon,"I am quite driven. I know what I think, and I know what I want to achieve, but I also hope that people who are asked to describe me would describe me as pretty down-to-earth, loyal, friendly. The more experience I have got in politics, I think the more I have allowed me to shine through.","[hope, politics, i am]",experience
10,Sharon Salzberg,"Someone who has experienced trauma also has gifts to offer all of us - in their depth, their knowledge of our universal vulnerability, and their experience of the power of compassion.","[knowledge, power, compassion]",experience
11,Sam Harris,"Human experience depends on everything that can influence states of the human brain, ranging from changes in our genome to changes in the global economy.","[brain, influence, changes]",experience
12,Taiye Selasi,"When I'm working, I'm so narrowly focused on sound, language, rhythm, flow, that I rarely feel the emotion of the text. It's only after - long after - I've finished a piece that I can experience in any way its emotional charge.","[language, flow, way]",experience
13,Aesop,Adventure is worthwhile.,"[adventure, worthwhile]",experience
14,Andre Gide,"Everything has been said before, but since nobody listens we have to keep going back and beginning all over again.","[beginning, keep going, said]",experience
15,Immanuel Kant,"Experience without theory is blind, but theory without experience is mere intellectual play.","[blind, intellectual, play]",experience
16,Marianne Williamson,"I deepen my experience of God through prayer, meditation, and forgiveness.","[forgiveness, god, prayer]",experience
17,Saint Augustine,The words printed here are concepts. You must go through the experiences.,"[words, you, experiences]",experience
18,Samuel Johnson,What is easy is seldom excellent.,"[easy, excellent, seldom]",experience
19,Saint Teresa of Avila,"To reach something good it is very useful to have gone astray, and thus acquire experience.","[good, something, reach]",experience
20,Henrik Ibsen,The spectacles of experience; through them you will see clearly a second time.,"[time, see, you]",experience
21,Russell Hoban,Explorers have to be ready to die lost.,"[lost, die, ready]",experience
22,Louise L. Hay,We are each responsible for all of our experiences.,"[responsible, experiences]",experience
23,Steve Jobs,"A lot of people in our industry haven't had very diverse experiences. So they don't have enough dots to connect, and they end up with very linear solutions without a broad perspective on the problem. The broader one's understanding of the human experience, the better design we will have.","[end, design, perspective]",experience
24,Umberto Eco,"To read a paper book is another experience: you can do it on a ship, on the branch of a tree, on your bed, even if there is a blackout.","[tree, book, you can do it]",experience
25,Thomas Bailey Aldrich,"The dead play a very prominent part in the experience of the wanderer abroad. The houses in which they were born, the tombs in which they lie, the localities they made famous by their good or evil deeds, and the works their genius left behind them are necessarily the chief shrines of his pilgrimage.","[good, evil, lie]",experience
