,0,1,2,3
0,Og Mandino,Failure will never overtake me if my determination to succeed is strong enough.,"[motivational, strong]",failure
1,Colin Powell,"Success is the result of perfection, hard work, learning from failure, loyalty, and persistence.","[success, work, hard work]",failure
2,Winston Churchill,"Success is not final, failure is not fatal: it is the courage to continue that counts.","[success, courage, final]",failure
3,Colin Powell,"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.","[success, work, hard work]",failure
4,Donald Trump,Sometimes by losing a battle you find a new way to win the war.,"[war, battle, losing]",failure
5,Theodore Roosevelt,"Far better is it to dare mighty things, to win glorious triumphs, even though checkered by failure... than to rank with those poor spirits who neither enjoy nor suffer much, because they live in a gray twilight that knows not victory nor defeat.","[victory, defeat, win]",failure
6,Oprah Winfrey,Think like a queen. A queen is not afraid to fail. Failure is another steppingstone to greatness.,"[women, greatness, queen]",failure
7,Winston Churchill,Success consists of going from failure to failure without loss of enthusiasm.,"[success, loss, enthusiasm]",failure
8,Calvin Coolidge,Nothing in this world can take the place of persistence. Talent will not: nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not: the world is full of educated derelicts. Persistence and determination alone are omnipotent.,"[education, determination]",failure
9,Michael Jordan,"I can accept failure, everyone fails at something. But I can't accept not trying.","[trying, accept, everyone]",failure
10,Henry Ford,"Failure is simply the opportunity to begin again, this time more intelligently.","[time, intelligence]",failure
11,Thomas A. Edison,"I have not failed. I've just found 10,000 ways that won't work.","[work, ways, found]",failure
12,Bill Gates,It's fine to celebrate success but it is more important to heed the lessons of failure.,"[success, celebrate]",failure
13,Johnny Cash,"You build on failure. You use it as a stepping stone. Close the door on the past. You don't try to forget the mistakes, but you don't dwell on it. You don't let it have any of your energy, or any of your time, or any of your space.","[time, moving on, past]",failure
14,Steve Jobs,"Remembering that I'll be dead soon is the most important tool I've ever encountered to help me make the big choices in life. Because almost everything - all external expectations, all pride, all fear of embarrassment or failure - these things just fall away in the face of death, leaving only what is truly important.","[life, death, fear]",failure
15,Christopher Morley,A man who has never made a woman angry is a failure in life.,"[life, anger, woman]",failure
16,Paulo Coelho,Remember your dreams and fight for them. You must know what you want from life. There is just one thing that makes your dream become impossible: the fear of failure.,"[life, dreams, fear]",failure
17,Colin Powell,Leadership is solving problems. The day soldiers stop bringing you their problems is the day you have stopped leading them. They have either lost confidence that you can help or concluded you do not care. Either case is a failure of leadership.,"[leadership, confidence, day]",failure
18,Rosalynn Carter,"You must accept that you might fail; then, if you do your best and still don't win, at least you can be satisfied that you've tried. If you don't accept failure as a possibility, you don't set high goals, you don't branch out, you don't try - you don't take the risk.","[best, goals, risk]",failure
19,Shah Rukh Khan,"Success is not a good teacher, failure makes you humble.","[success, teacher, good]",failure
20,Conor McGregor,"I'm not going to get somewhere and say, 'OK, I'm done.' Success is never final; I'll just keep on going. The same way as failure never being fatal. Just keep going. I'm going to the stars and then past them.","[success, stars, past]",failure
21,Buddha,The only real failure in life is not to be true to the best one knows.,"[life, best, true]",failure
22,Michael J. Fox,"There's always failure. And there's always disappointment. And there's always loss. But the secret is learning from the loss, and realizing that none of those holes are vacuums.","[learning, loss]",failure
23,Winston Churchill,"Socialism is a philosophy of failure, the creed of ignorance, and the gospel of envy, its inherent virtue is the equal sharing of misery.","[ignorance, philosophy]",failure
24,Morihei Ueshiba,Failure is the key to success; each mistake teaches us something.,"[success, key to success]",failure
25,James Altucher,Honesty is the fastest way to prevent a mistake from turning into a failure.,"[honesty, mistake, way]",failure
