,0,1,2,3
0,Amy Tan,I didn't fear failure. I expected failure.,"[fear, expected]",failure
1,Kurt Student,"After that he turned to the question of invading England. Hitler said that during the previous year he could not afford to risk a possible failure; apart from that, he had not wished to provoke the British, as he hoped to arrange peace talks.","[peace, risk, year]",failure
2,Michael Baden,"I saw why people died and how they died. I saw gunshot wounds and liver failure. It was a good learning experience, so I came regularly on weekends and holidays.","[learning, holidays]",failure
3,William Irwin Thompson,"Catastrophes are often stimulated by the failure to feel the emergence of a domain, and so what cannot be felt in the imagination is experienced as embodied sensation in the catastrophe.","[imagination, feel, embodied]",failure
4,Steven Soderbergh,I'm very comfortable with failure. I'm very comfortable being the guy who disappoints people.,"[people, comfortable, being]",failure
5,James Taylor,"It's probably foolish to expect relationships to go on forever and to say that because something only lasts 10 years, it's a failure.","[relationships, something]",failure
6,Robin Tunney,A film's success or failure is strictly on the director's shoulders.,"[success, film, director]",failure
7,Koichi Tanaka,Most of the work performed by a development engineer results in failure.,"[work, results, development]",failure
8,Zbigniew Brzezinski,In Iraq we must succeed. Failure is not an option.,"[succeed, iraq, must]",failure
9,Marvin Minsky,"There was a failure to recognize the deep problems in AI; for instance, those captured in Blocks World. The people building physical robots learned nothing.","[deep, world, people]",failure
10,Margaret Drabble,Nothing fails like failure.,"[nothing, like, fails]",failure
11,Johann Most,Is anarchism possible? The failure of attempts to attain freedom does not mean the cause is lost.,"[freedom, lost, possible]",failure
12,Anna Garlin Spencer,The failure of women to produce genius of the first rank in most of the supreme forms of human effort has been used to block the way of all women of talent and ambition for intellectual achievement.,"[women, achievement, effort]",failure
13,Ben Okri,"The higher the artist, the fewer the gestures. The fewer the tools, the greater the imagination. The greater the will, the greater the secret failure.","[imagination, artist, tools]",failure
14,Mason Cooley,I read less and less. I have not forgiven books for their failure to tell me the truth and make me happy.,"[truth, happy, me]",failure
15,Andrew Vachss,I believe my publisher has shown a great deal of faith in me over a lot of years but I'm not prepared to be so arrogant to say that the long-term literary value of my work would compensate them for a financial failure.,"[work, faith, great]",failure
16,Morris West,"None of us is guaranteed against failure or corruption of any kind; witness what's going on in the world in this moment, the follies of human nature and the failures of human nature.","[nature, corruption, world]",failure
17,P. J. O'Rourke,"Ideology, politics and journalism, which luxuriate in failure, are impotent in the face of hope and joy.","[hope, joy, politics]",failure
18,Alice Foote MacDougall,"I simply don't believe in failure. In itself, it doesn't exist. We create it. We make ourselves fail.","[believe, create, fail]",failure
19,Ron Dellums,Failure is not a crime. The crime is not trying.,"[trying, crime]",failure
20,Tiki Barber,I grew up playing sports. There is a clear line between success and failure.,"[success, sports, clear]",failure
21,Toby Young,"I've become a professional failure - in order to pay the mortgage I have to remain unemployed. Luckily, a disaster always seems to befall me at exactly the right moment.","[moment, me, professional]",failure
22,Toby Young,"America thinks of itself as a meritocracy, so people have more respect for success and more contempt for failure.","[success, respect, america]",failure
23,Roddy Doyle,"Schools don't really allow failure and yet it's a valid part of any endeavour, not just writing.","[writing, allow, just]",failure
24,David Limbaugh,"Some of the reasons John McCain lost in 2008 were his lackluster campaign, his refusal to showcase Obama's extreme liberalism and, thus, his failure to demonstrate why he would make a better president than Obama.","[lost, better, why]",failure
25,Jamie Moyer,"If you're a doctor or a lawyer or teacher, if you only get three things right out of 10, you're considered a failure.","[teacher, lawyer, doctor]",failure
