,0,1,2,3
0,"Martin Luther King, Jr.",Faith is taking the first step even when you don't see the whole staircase.,"[step, first step, see]",faith
1,Helen Keller,Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,"[motivational, hope]",faith
2,Norman Vincent Peale,Believe in yourself! Have faith in your abilities! Without a humble but reasonable confidence in your own powers you cannot be successful or happy.,"[motivational, happy]",faith
3,Joel Osteen,"I believe if you keep your faith, you keep your trust, you keep the right attitude, if you're grateful, you'll see God open up new doors.","[positive, trust, god]",faith
4,Gail Devers,"Keep your dreams alive. Understand to achieve anything requires faith and belief in yourself, vision, hard work, determination, and dedication. Remember all things are possible for those who believe.","[work, hard work, dreams]",faith
5,Bruce Lee,"Always be yourself, express yourself, have faith in yourself, do not go out and look for a successful personality and duplicate it.","[success, be yourself]",faith
6,Joel Osteen,"When you focus on being a blessing, God makes sure that you are always blessed in abundance.","[god, focus, blessed]",faith
7,Rabindranath Tagore,Faith is the bird that feels the light when the dawn is still dark.,"[light, bird, dark]",faith
8,Mahatma Gandhi,"You must not lose faith in humanity. Humanity is an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.","[society, humanity, ocean]",faith
9,Billy Graham,"The greatest legacy one can pass on to one's children and grandchildren is not money or other material things accumulated in one's life, but rather a legacy of character and faith.","[life, money, children]",faith
10,Iyanla Vanzant,"In my deepest, darkest moments, what really got me through was a prayer. Sometimes my prayer was 'Help me.' Sometimes a prayer was 'Thank you.' What I've discovered is that intimate connection and communication with my creator will always get me through because I know my support, my help, is just a prayer away.","[communication, prayer]",faith
11,Sarah Ban Breathnach,Take a leap of faith and begin this wondrous new year by believing. Believe in yourself. And believe that there is a loving Source - a Sower of Dreams - just waiting to be asked to help you make your dreams come true.,"[new year's, dreams]",faith
12,Muhammad Ali,"It's lack of faith that makes people afraid of meeting challenges, and I believed in myself.","[myself, challenges, people]",faith
13,Bernie Siegel,"Feelings aroused by the touch of someone's hand, the sound of music, the smell of a flower, a beautiful sunset, a work of art, love, laughter, hope and faith - all work on both the unconscious and the conscious aspects of the self, and they have physiological consequences as well.","[love, music, work]",faith
14,Mother Teresa,Be faithful in small things because it is in them that your strength lies.,"[strength, small]",faith
15,Khalil Gibran,Doubt is a pain too lonely to know that faith is his twin brother.,"[pain, brother, lonely]",faith
16,Christopher Hitchens,"Religion is part of the human make-up. It's also part of our cultural and intellectual history. Religion was our first attempt at literature, the texts, our first attempt at cosmology, making sense of where we are in the universe, our first attempt at health care, believing in faith healing, our first attempt at philosophy.","[history, health, religion]",faith
17,Kelly Clarkson,"God will never give you anything you can't handle, so don't stress.","[god, stress, you]",faith
18,Steve Jobs,"Technology is nothing. What's important is that you have a faith in people, that they're basically good and smart, and if you give them tools, they'll do wonderful things with them.","[technology, good, smart]",faith
19,Steve Jobs,Sometimes life hits you in the head with a brick. Don't lose faith.,"[life, brick, you]",faith
20,James E. Faust,"A grateful heart is a beginning of greatness. It is an expression of humility. It is a foundation for the development of such virtues as prayer, faith, courage, contentment, happiness, love, and well-being.","[love, happiness, courage]",faith
21,Brad Henry,"Believe in yourself, and the rest will fall into place. Have faith in your own abilities, work hard, and there is nothing you cannot accomplish.","[work, work hard]",faith
22,Thomas Aquinas,"To one who has faith, no explanation is necessary. To one without faith, no explanation is possible.","[possible, without]",faith
23,George Washington,Observe good faith and justice toward all nations. Cultivate peace and harmony with all.,"[peace, history, good]",faith
24,Ben Carson,"Through hard work, perseverance and a faith in God, you can live your dreams.","[work, hard work, dreams]",faith
25,Monica Crowley,"True equality means holding everyone accountable in the same way, regardless of race, gender, faith, ethnicity - or political ideology.","[equality, gender, political]",faith
