,0,1,2,3
0,Mahatma Gandhi,"If patience is worth anything, it must endure to the end of time. And a living faith will last in the midst of the blackest storm.","[time, patience, end]",faith
1,Jud Wilhite,"We have all sinned and fall short of the glory of God. So when we are in the mess, remember Jesus made it right. We got to hang on to that by faith.","[god, short, fall]",faith
2,James L. Buckley,"In the last analysis, of course, an oath will encourage fidelity in office only to the degree that officeholders continue to believe that they cannot escape ultimate accountability for a breach of faith.","[believe, accountability]",faith
3,Elizabeth I,Do not tell secrets to those whose faith and silence you have not already tested.,"[silence, secrets, you]",faith
4,Karen Armstrong,"Ever since the Crusades, when Christians from western Europe were fighting holy wars against Muslims in the near east, western people have often perceived Islam as a violent and intolerant faith - even though when this prejudice took root Islam had a better record of tolerance than Christianity.","[people, prejudice, islam]",faith
5,Eric Schlosser,"Different people, in good faith, can look at the same fact and interpret it differently. But that's where an interesting conversation begins.","[good, people, conversation]",faith
6,John Wycliffe,"It is certain that the truth of the Christian faith becomes more evident the more the faith itself is known. Therefore, the doctrine should not only be in Latin but also in the common tongue, and as the faith of the Church is contained in the Scriptures, the more these are known in the true sense, the better.","[truth, christian, better]",faith
7,Robert Baden-Powell,"Scoutcraft is a means through which the veriest hooligan can be brought to higher thought and to the elements of faith in God; and, coupled with the Scout's obligation to do a good turn every day, it gives the base of Duty to God and to Neighbour on which the parent or pastor can build with greater ease the form of belief that is desired.","[god, good, day]",faith
8,Robin Wright,Hollywood is a suction for your confidence or your faith or your togetherness. Just walking on the street you can feel it.,"[confidence, walking, you]",faith
9,Blaise Pascal,"Belief is a wise wager. Granted that faith cannot be proved, what harm will come to you if you gamble on its truth and it proves false? If you gain, you gain all; if you lose, you lose nothing. Wager, then, without hesitation, that He exists.","[truth, wise, belief]",faith
10,Ralph Marston,"The keys to patience are acceptance and faith. Accept things as they are, and look realistically at the world around you. Have faith in yourself and in the direction you have chosen.","[patience, yourself, world]",faith
11,Joseph Conrad,"Each blade of grass has its spot on earth whence it draws its life, its strength; and so is man rooted to the land from which he draws his faith together with his life.","[life, nature, strength]",faith
12,Jonathan Sacks,"Jews survived all the defeats, expulsions, persecutions and pogroms, the centuries in which they were regarded as a pariah people, even the Holocaust itself, because they never gave up the faith that one day they would be free to live as Jews without fear.","[fear, day, people]",faith
13,Ravi Zacharias,"Only through repentance and faith in Christ can anyone be saved. No religious activity will be sufficient, only true faith in Jesus Christ alone.","[alone, true, jesus]",faith
14,Ishmael Beah,"I believe in having a more open mind and including others who don't share your faith and having dialogue with them. And just having a pure heart and being a good person can bring you closer to God. Because once you believe in one particular religion fully and not others, that requires you to start disliking people who don't share your views.","[god, good, religion]",faith
15,Wendy Kopp,"The U.S. has a long history of walking up to the precipice of rigor and then walking away. As voters, let's support leaders who were courageous enough to make the hard decisions necessary to move our system forward. And as parents, let's put our faith in our educators, our children and tests that hold them to their highest potential.","[history, children, parents]",faith
16,Ann Cotton,Have faith in your intuition and listen to your gut feeling.,"[listen, intuition, feeling]",faith
17,Vincent Van Gogh,"Painting is a faith, and it imposes the duty to disregard public opinion.","[painting, opinion, duty]",faith
18,Jeremy Lin,"When you think about your relationship with Christ, it really just affects every aspect of your life. I think a lot of people try to segment off, like, 'This is church, so this is God, this is my daily life, this is my job,' but I think true faith is when it manifests itself in every single aspect of your life.","[life, relationship, god]",faith
19,Chuck Close,"My mother was a piano teacher, my father an inventor. He invented the reflective paint they still use on airstrips. They had faith in my ambition, and I think that made all the difference.","[teacher, father, mother]",faith
20,Lord Acton,"Machiavelli's teaching would hardly have stood the test of Parliamentary government, for public discussion demands at least the profession of good faith.","[good, government, test]",faith
21,Saint Bernard,"I believe though I do not comprehend, and I hold by faith what I cannot grasp with the mind.","[mind, believe, i believe]",faith
22,Reza Aslan,"It is the job of the historian to say what is likely, and of faith to say what is possible.","[job, possible, say]",faith
23,Adoniram Judson,"Christ commands those who believe to be baptized. Pedobaptists adopt a system which tends to preclude the baptism of believers. They baptize the involuntary infant and deprive him of the privilege of ever professing his faith in the appointed way. If this system were universally adopted, it would banish believers' baptism out of the world.","[believe, world, way]",faith
24,Martha Graham,"Practice means to perform, over and over again in the face of all obstacles, some act of vision, of faith, of desire. Practice is a means of inviting the perfection desired.","[obstacles, vision]",faith
25,John D. Rockefeller,"We can never learn too much of His will towards us, too much of His messages and His advice. The Bible is His word and its study gives at once the foundation for our faith and an inspiration to battle onward in the fight against the tempter.","[battle, foundation, fight]",faith
